SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-16-2021,Single Family Residential,1871 Anamor St,REDWOOD CITY,CA,94061,1750000,3,2.0,REDWOOD CITY,1170,6550,1952,41,1496,,Sold,,,http://www.redfin.com/CA/Redwood-City/1871-Anamor-St-94061/home/1231918,MLSListings,ML81847848,N,Y,37.4601961,-122.2280517
PAST SALE,April-19-2021,Single Family Residential,40 Selby Ln,ATHERTON,CA,94027,5200000,5,4.0,ATHERTON,4075,44030,1939,129,1276,,Sold,,,http://www.redfin.com/CA/Atherton/40-Selby-Ln-94027/home/1735710,MLSListings,ML81832198,N,Y,37.466203,-122.2130468
PAST SALE,May-14-2021,Single Family Residential,2685 Halsey Ave,REDWOOD CITY,CA,94063,1420000,5,4.0,REDWOOD CITY,1607,5000,1951,104,884,,Sold,,,http://www.redfin.com/CA/Redwood-City/2685-Halsey-Ave-94063/home/1830473,MLSListings,ML81834849,N,Y,37.4797155,-122.2097884
PAST SALE,May-10-2021,Single Family Residential,522 Bay Rd,REDWOOD CITY,CA,94063,1175000,2,1.0,REDWOOD CITY,790,5000,1941,108,1487,,Sold,,,http://www.redfin.com/CA/Redwood-City/522-Bay-Rd-94063/home/1864233,MLSListings,ML81836609,N,Y,37.485886,-122.2203833
PAST SALE,June-23-2021,Single Family Residential,218 Brighton Ln,REDWOOD CITY,CA,94061,2300000,4,2.5,REDWOOD CITY,2060,4410,1986,64,1117,211,Sold,,,http://www.redfin.com/CA/Redwood-City/218-Brighton-Ln-94061/home/1567625,MLSListings,ML81843180,N,Y,37.4614575,-122.2203389
PAST SALE,August-9-2021,Single Family Residential,500 Stanford Ave,Redwood City,CA,94063,745000,2,1.0,Redwood City,760,2500,1964,17,,,Sold,,,http://www.redfin.com/CA/Redwood-City/500-Stanford-Ave-94063/home/2054325,MetroList,421570588,N,Y,37.477579,-122.2096443
PAST SALE,August-13-2021,Single Family Residential,237 Orchard Ave,Redwood City,CA,94061,2376000,4,3.0,Redwood City,2703,10150,1956,13,879,,Sold,,,http://www.redfin.com/CA/Redwood-City/237-Orchard-Ave-94061/home/2058111,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40950603,N,Y,37.465351,-122.2197848
PAST SALE,August-11-2021,Single Family Residential,2799 Devonshire Ave,REDWOOD CITY,CA,94063,895000,2,1.0,REDWOOD CITY,790,4000,1948,15,1133,,Sold,,,http://www.redfin.com/CA/Redwood-City/2799-Devonshire-Ave-94063/home/1550784,MLSListings,ML81852929,N,Y,37.4726165,-122.2119606
PAST SALE,March-19-2021,Single Family Residential,50 Columbia Ave,REDWOOD CITY,CA,94063,1580000,4,2.0,REDWOOD CITY,1660,6000,1946,160,952,,Sold,,,http://www.redfin.com/CA/Redwood-City/50-Columbia-Ave-94063/home/1144802,MLSListings,ML81829617,N,Y,37.4685472,-122.2087244
PAST SALE,May-19-2021,Single Family Residential,1112 Clinton St,REDWOOD CITY,CA,94061,1440000,3,2.0,REDWOOD CITY,2000,5700,1931,99,720,,Sold,,,http://www.redfin.com/CA/Redwood-City/1112-Clinton-St-94061/home/1153656,MLSListings,ML81833776,N,Y,37.4766687,-122.2279187
