SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-30-2021,Single Family Residential,42 Camino Por Los Arboles,ATHERTON,CA,94027,12300000,5,4.0,ATHERTON,7104,63162,2001,152,1731,,Sold,,,http://www.redfin.com/CA/Atherton/42-Camino-Por-Los-Arboles-94027/home/1072436,MLSListings,ML81830301,N,Y,37.4395613,-122.2033822
PAST SALE,May-27-2021,Single Family Residential,1385 Delfino Way,MENLO PARK,CA,94025,3500000,4,2.0,MENLO PARK,1981,7544,1963,94,1767,,Sold,,,http://www.redfin.com/CA/Menlo-Park/1385-Delfino-Way-94025/home/1837288,MLSListings,ML81843912,N,Y,37.4381993,-122.201764
PAST SALE,May-12-2021,Single Family Residential,3122 Barney Ave,MENLO PARK,CA,94025,4400000,4,4.5,MENLO PARK,2625,5869,2021,109,1676,,Sold,,,http://www.redfin.com/CA/Menlo-Park/3122-Barney-Ave-94025/home/168639370,MLSListings,ML81843508,N,Y,37.4369581,-122.2086801
PAST SALE,July-1-2021,Single Family Residential,291 Atherton Ave,ATHERTON,CA,94027,15500000,7,7.5,ATHERTON,11300,87512,1995,59,1372,,Sold,,,http://www.redfin.com/CA/Atherton/291-Atherton-Ave-94027/home/896408,MLSListings,ML81773553,N,Y,37.4405264,-122.2159726
PAST SALE,,Single Family Residential,1831 Cam De Los Robles,Menlo Park,CA,94025,4350000,4,5.0,,2360,11020,1951,,1843,,,,,http://www.redfin.com/CA/Menlo-Park/1831-Cam-De-Los-Robles-94025/home/1082685,,,N,Y,37.4391658,-122.203759
PAST SALE,May-28-2021,Single Family Residential,1898 Camino A Los Cerros,MENLO PARK,CA,94025,4150000,4,3.5,MENLO PARK,2465,5940,2017,93,1684,,Sold,,,http://www.redfin.com/CA/Menlo-Park/1898-Cno-A-Los-Cerros-94025/home/2009565,MLSListings,ML81844283,N,Y,37.439277,-122.2065964
PAST SALE,August-20-2021,Single Family Residential,25 Vasilakos Way,MENLO PARK,CA,94025,3325725,3,2.5,MENLO PARK,2270,11400,1961,9,1465,,Sold,,,http://www.redfin.com/CA/Menlo-Park/25-Vasilakos-Way-94025/home/884615,MLSListings,ML81838101,N,Y,37.4380636,-122.2072614
PAST SALE,August-22-2021,Single Family Residential,1420 Franks Ln,MENLO PARK,CA,94025,2400000,2,1.0,MENLO PARK,1010,5000,1941,7,2376,,Sold,,,http://www.redfin.com/CA/Menlo-Park/1420-Franks-Ln-94025/home/884690,MLSListings,ML81854530,N,Y,37.4374778,-122.2037065
PAST SALE,August-23-2021,Single Family Residential,445 Walsh Rd,ATHERTON,CA,94027,5800000,4,3.5,ATHERTON,2940,41818,1965,6,1973,,Sold,,,http://www.redfin.com/CA/Atherton/445-Walsh-Rd-94027/home/1754250,MLSListings,ML81842266,N,Y,37.4277781,-122.2221785
PAST SALE,August-25-2021,Single Family Residential,2141 Mills Ave,MENLO PARK,CA,94025,4154000,4,3.5,MENLO PARK,2419,5027,2021,4,1717,,Sold,,,http://www.redfin.com/CA/Menlo-Park/2141-Mills-Ave-94025/home/172809460,MLSListings,ML81852935,N,Y,37.4354392,-122.2118277
PAST SALE,April-27-2021,Single Family Residential,55 Irving Ave,ATHERTON,CA,94027,12200000,8,10.0,ATHERTON,10557,42267,2021,124,1156,,Sold,,,http://www.redfin.com/CA/Atherton/55-Irving-Ave-94027/home/853100,MLSListings,ML81831880,N,Y,37.472624,-122.188667
PAST SALE,June-23-2021,Single Family Residential,433 Encina Ave,MENLO PARK,CA,94025,3825000,4,4.5,MENLO PARK,3765,10500,2002,67,1016,,Sold,,,http://www.redfin.com/CA/Menlo-Park/433-Encina-Ave-94025/home/1466993,MLSListings,ML81833680,N,Y,37.4711973,-122.1991481
PAST SALE,May-26-2021,Single Family Residential,185 Fair Oaks Ln,ATHERTON,CA,94027,8820000,5,6.0,ATHERTON,5685,45600,2013,95,1551,,Sold,,,http://www.redfin.com/CA/Atherton/185-Fair-Oaks-Ln-94027/home/1823771,MLSListings,ML81840644,N,Y,37.4690455,-122.1955125
PAST SALE,April-9-2021,Single Family Residential,603 Palmer Ln,MENLO PARK,CA,94025,1815000,3,2.0,MENLO PARK,1520,4066,1949,142,1194,,Sold,,,http://www.redfin.com/CA/Menlo-Park/603-Palmer-Ln-94025/home/1926547,MLSListings,ML81833921,N,Y,37.4733135,-122.1932955
PAST SALE,July-6-2021,Single Family Residential,1 Heritage Ct,ATHERTON,CA,94027,4375000,6,7.5,ATHERTON,4500,21504,1912,54,972,,Sold,,,http://www.redfin.com/CA/Atherton/1-Heritage-Ct-94027/home/848396,MLSListings,ML81837918,N,Y,37.4694514,-122.1924531
PAST SALE,July-9-2021,Single Family Residential,417 9th Ave,MENLO PARK,CA,94025,2000000,3,2.0,MENLO PARK,1420,5350,1950,51,1408,,Sold,,,http://www.redfin.com/CA/Menlo-Park/417-9th-Ave-94025/home/1991978,MLSListings,ML81845283,Y,Y,37.4710429,-122.2010102
PAST SALE,August-20-2021,Single Family Residential,552 Marsh Rd,MENLO PARK,CA,94025,1395000,3,2.0,MENLO PARK,1410,6100,1952,9,989,,Sold,,,http://www.redfin.com/CA/Menlo-Park/552-Marsh-Rd-94025/home/2020151,MLSListings,ML81853064,N,Y,37.4726142,-122.189438
PAST SALE,May-14-2021,Single Family Residential,96 Laburnum Rd,ATHERTON,CA,94027,8250000,4,4.0,ATHERTON,5875,40850,1940,107,1404,,Sold,,,http://www.redfin.com/CA/Atherton/96-Laburnum-Rd-94027/home/851354,MLSListings,ML81841621,N,Y,37.4718199,-122.1820106
PAST SALE,,Single Family Residential,35 Edge Rd,Atherton,CA,94027,6350000,7,4.0,,3710,47861,1958,,1712,,,,,http://www.redfin.com/CA/Atherton/35-Edge-Rd-94027/home/852134,,,N,Y,37.467532,-122.1739398
PAST SALE,March-29-2021,Single Family Residential,600 Ringwood Ave,MENLO PARK,CA,94025,5235000,3,3.0,MENLO PARK,3050,31250,1936,153,1716,,Sold,,,http://www.redfin.com/CA/Menlo-Park/600-Ringwood-Ave-94025/home/856460,MLSListings,ML81832227,N,Y,37.4663222,-122.1699706
PAST SALE,March-22-2021,Single Family Residential,46 Lilac Dr,ATHERTON,CA,94027,6500000,3,2.0,ATHERTON,2680,41800,1954,160,2425,,Sold,,,http://www.redfin.com/CA/Atherton/46-Lilac-Dr-94027/home/1027283,MLSListings,ML81825174,N,Y,37.4743718,-122.1817446
PAST SALE,May-28-2021,Single Family Residential,242 Oak Grove Ave,ATHERTON,CA,94027,8500000,5,6.5,ATHERTON,5770,56856,2003,93,1473,,Sold,,,http://www.redfin.com/CA/Atherton/242-Oak-Grove-Ave-94027/home/1162508,MLSListings,ML81826411,N,Y,37.4650519,-122.1754476
PAST SALE,June-1-2021,Single Family Residential,2 Fredrick Ave,ATHERTON,CA,94027,6700000,4,3.5,ATHERTON,4335,38700,1941,89,1546,,Sold,,,http://www.redfin.com/CA/Atherton/2-Fredrick-Ave-94027/home/1425017,MLSListings,ML81836802,N,Y,37.4719934,-122.1720107
PAST SALE,,Single Family Residential,944 Timothy Ln,Menlo Park,CA,94025,1600000,3,1.0,,1080,5668,1948,,1481,,,,,http://www.redfin.com/CA/Menlo-Park/944-Timothy-Ln-94025/home/1643809,,,N,Y,37.4778907,-122.1778644
PAST SALE,,Single Family Residential,28 Laburnum Rd,Atherton,CA,94027,7200000,4,4.0,,3620,40533,1951,,1989,,,,,http://www.redfin.com/CA/Atherton/28-Laburnum-Rd-94027/home/1667860,,,N,Y,37.4685792,-122.1840504
PAST SALE,April-23-2021,Single Family Residential,936 Peggy Ln,MENLO PARK,CA,94025,2500000,4,2.0,MENLO PARK,1831,5450,1948,128,1365,,Sold,,,http://www.redfin.com/CA/Menlo-Park/936-Peggy-Ln-94025/home/1871062,MLSListings,ML81834476,Y,Y,37.477792,-122.1789287
PAST SALE,April-14-2021,Single Family Residential,248 Greenoaks Dr,ATHERTON,CA,94027,7300000,6,4.5,ATHERTON,4635,40205,1951,137,1575,,Sold,,,http://www.redfin.com/CA/Atherton/248-Greenoaks-Dr-94027/home/2006016,MLSListings,ML81832324,N,Y,37.4741039,-122.173075
PAST SALE,July-12-2021,Single Family Residential,391 Hedge Rd,MENLO PARK,CA,94025,2600000,3,2.5,MENLO PARK,1738,6048,1950,48,1496,,Sold,,,http://www.redfin.com/CA/Menlo-Park/391-Hedge-Rd-94025/home/2014760,MLSListings,ML81853000,N,Y,37.4757965,-122.1744054
PAST SALE,July-13-2021,Single Family Residential,202 Ravenswood Ave,MENLO PARK,CA,94025,2050000,4,3.0,MENLO PARK,1840,2500,1964,47,1114,300,Sold,,,http://www.redfin.com/CA/Menlo-Park/202-Ravenswood-Ave-94025/home/2043099,MLSListings,ML81846987,Y,Y,37.45879938246213,-122.17825772359004
PAST SALE,August-20-2021,Single Family Residential,152 Dunsmuir Way,MENLO PARK,CA,94025,2827500,3,3.0,MENLO PARK,1771,5600,1950,9,1597,,Sold,,,http://www.redfin.com/CA/Menlo-Park/152-Dunsmuir-Way-94025/home/2019988,MLSListings,ML81851662,N,Y,37.4762969,-122.1754697
PAST SALE,June-25-2021,Single Family Residential,191 Selby Ln,ATHERTON,CA,94027,6700000,4,4.0,ATHERTON,3619,48800,1939,65,1851,,Sold,,,http://www.redfin.com/CA/Atherton/191-Selby-Ln-94027/home/1397838,MLSListings,ML81841314,N,Y,37.4561504,-122.21994
PAST SALE,April-7-2021,Single Family Residential,89 Park Dr,ATHERTON,CA,94027,3650000,4,3.0,ATHERTON,3745,8415,1978,144,975,,Sold,,,http://www.redfin.com/CA/Atherton/89-Park-Dr-94027/home/889245,MLSListings,ML81825815,N,Y,37.4615572,-122.2054881
PAST SALE,,Single Family Residential,54 Tuscaloosa Ave,Atherton,CA,94027,13200000,5,6.5,,6950,54450,2003,,1899,,,,,http://www.redfin.com/CA/Atherton/54-Tuscaloosa-Ave-94027/home/1038481,,,N,Y,37.4608308,-122.2055989
PAST SALE,May-26-2021,Single Family Residential,464 Selby Ln,ATHERTON,CA,94027,8650000,4,3.0,ATHERTON,3881,31875,2003,95,2229,,Sold,,,http://www.redfin.com/CA/Atherton/464-Selby-Ln-94027/home/1061354,MLSListings,ML81842070,N,Y,37.4499961,-122.2111848
PAST SALE,March-16-2021,Single Family Residential,43 Amador Ave,ATHERTON,CA,94027,13250000,5,5.5,ATHERTON,6720,33750,1998,166,1972,,Sold,,,http://www.redfin.com/CA/Atherton/43-Amador-Ave-94027/home/1268824,MLSListings,ML81832279,N,Y,37.4552498,-122.2145318
PAST SALE,April-21-2021,Single Family Residential,446 E Oakwood Blvd,REDWOOD CITY,CA,94061,2200000,3,2.5,REDWOOD CITY,2000,7380,1949,130,1100,,Sold,,,http://www.redfin.com/CA/Redwood-City/446-E-Oakwood-Blvd-94061/home/1307169,MLSListings,ML81834040,N,Y,37.4669244,-122.2147978
PAST SALE,March-4-2021,Single Family Residential,1 Atherwood Pl,REDWOOD CITY,CA,94061,2567000,5,3.0,REDWOOD CITY,2840,8075,1975,178,904,,Sold,,,http://www.redfin.com/CA/Redwood-City/1-Atherwood-Pl-94061/home/1633713,MLSListings,ML81817560,N,Y,37.4588966,-122.221558
PAST SALE,April-29-2021,Single Family Residential,348 W Oakwood Blvd,REDWOOD CITY,CA,94061,3450000,4,4.5,REDWOOD CITY,4110,11020,1994,122,839,,Sold,,,http://www.redfin.com/CA/Redwood-City/348-W-Oakwood-Blvd-94061/home/1677930,MLSListings,ML81831958,N,Y,37.4663805,-122.2162164
PAST SALE,April-19-2021,Single Family Residential,40 Selby Ln,ATHERTON,CA,94027,5200000,5,4.0,ATHERTON,4075,44030,1939,132,1276,,Sold,,,http://www.redfin.com/CA/Atherton/40-Selby-Ln-94027/home/1735710,MLSListings,ML81832198,N,Y,37.466203,-122.2130468
PAST SALE,March-29-2021,Single Family Residential,143 Selby Ln,ATHERTON,CA,94027,5400000,3,4.0,ATHERTON,3640,36710,1949,153,1484,,Sold,,,http://www.redfin.com/CA/Atherton/143-Selby-Ln-94027/home/1809100,MLSListings,ML81830941,N,Y,37.4592508,-122.2175019
PAST SALE,,Single Family Residential,98 Stevenson Ln,Atherton,CA,94027,30500000,5,7.0,,11575,61920,2011,,2635,,,,,http://www.redfin.com/CA/Atherton/98-Stevenson-Ln-94027/home/1926900,,,N,Y,37.4551756,-122.2017861
PAST SALE,April-12-2021,Single Family Residential,345 Selby Ln,ATHERTON,CA,94027,8300000,5,5.0,ATHERTON,4690,53250,1979,139,1770,,Sold,,,http://www.redfin.com/CA/Atherton/345-Selby-Ln-94027/home/1979893,MLSListings,ML81827724,N,Y,37.4540725,-122.2152633
PAST SALE,May-26-2021,Single Family Residential,50 Barry Ln,ATHERTON,CA,94027,11500000,5,4.5,ATHERTON,4090,43124,1960,95,2812,,Sold,,,http://www.redfin.com/CA/Atherton/50-Barry-Ln-94027/home/2039441,MLSListings,ML81841005,N,Y,37.4497715,-122.2067516
PAST SALE,June-1-2021,Single Family Residential,5 Faxon Frst,ATHERTON,CA,94027,23050000,5,6.0,ATHERTON,9587,43791,2007,89,2404,,Sold,,,http://www.redfin.com/CA/Atherton/5-Faxon-Frst-94027/home/2100127,MLSListings,ML81845207,N,Y,37.4452539,-122.2055989
PAST SALE,July-6-2021,Single Family Residential,43 Tuscaloosa Ave,ATHERTON,CA,94027,23500000,6,7.0,ATHERTON,10559,47331,2016,54,2226,,Sold,,,http://www.redfin.com/CA/Atherton/43-Tuscaloosa-Ave-94027/home/2050688,MLSListings,ML81847224,N,Y,37.4604296,-122.2034709
PAST SALE,July-6-2021,Single Family Residential,88 Park Dr,ATHERTON,CA,94027,5600000,3,3.5,ATHERTON,3636,6750,2019,54,1540,,Sold,,,http://www.redfin.com/CA/Atherton/88-Park-Dr-94027/home/1943140,MLSListings,ML81845750,N,Y,37.4619495,-122.2057984
PAST SALE,,Single Family Residential,585 Beresford Ave,Redwood City,CA,94061,1825000,3,2.0,,1500,6002,1957,,1217,,,,,http://www.redfin.com/CA/Redwood-City/585-Beresford-Ave-94061/home/2047218,,,N,Y,37.4509732,-122.2198513
PAST SALE,July-29-2021,Single Family Residential,312 Nimitz Ave,REDWOOD CITY,CA,94061,1590000,3,2.0,REDWOOD CITY,1480,4590,1948,31,1074,,Sold,,,http://www.redfin.com/CA/Redwood-City/312-Nimitz-Ave-94061/home/1735758,MLSListings,ML81849498,N,Y,37.4565453,-122.2223337
PAST SALE,,Single Family Residential,340 W Oakwood Blvd,Redwood City,CA,94061,2947500,4,2.0,,1682,6341,1936,,1752,,,,,http://www.redfin.com/CA/Redwood-City/340-W-Oakwood-Blvd-94061/home/168639079,,,N,Y,37.4669225,-122.2165267
PAST SALE,August-4-2021,Single Family Residential,1 Nora Way,Atherton,CA,94027,3960000,3,2.0,699 - Not Defined,2200,21904,1953,25,1800,,Sold,,,http://www.redfin.com/CA/Atherton/1-Nora-Way-94027/home/1753566,CRMLS,OR21132151,N,Y,37.4655899,-122.2076161
PAST SALE,March-11-2021,Single Family Residential,6 Patterson Ave,MENLO PARK,CA,94025,3600000,4,3.0,MENLO PARK,2940,7800,1988,171,1224,,Sold,,,http://www.redfin.com/CA/Menlo-Park/6-Patterson-Ave-94025/home/884531,MLSListings,ML81826804,N,Y,37.4400484,-122.2061531
PAST SALE,April-16-2021,Single Family Residential,2140 Mills Ave,MENLO PARK,CA,94025,4350000,4,4.5,MENLO PARK,2661,6000,2021,135,1635,,Sold,,,http://www.redfin.com/CA/Menlo-Park/2140-Mills-Ave-94025/home/1091689,MLSListings,ML81833917,N,Y,37.4358317,-122.212138
PAST SALE,June-7-2021,Single Family Residential,381 E Oakwood Blvd,REDWOOD CITY,CA,94061,2555000,4,2.5,REDWOOD CITY,2587,10302,1940,83,988,,Sold,,,http://www.redfin.com/CA/Redwood-City/381-E-Oakwood-Blvd-94061/home/1162345,MLSListings,ML81841211,N,Y,37.4678468,-122.2148421
PAST SALE,,Single Family Residential,7 Faxon Frst,Atherton,CA,94027,16000000,6,7.0,,9887,46217,2008,,1618,,,,,http://www.redfin.com/CA/Atherton/7-Faxon-Frst-94027/home/12228194,,,N,Y,37.4448315,-122.2060644
PAST SALE,,Single Family Residential,70 Amador Ave,Atherton,CA,94027,6220000,3,3.0,,2800,35100,1961,,2221,,,,,http://www.redfin.com/CA/Atherton/70-Amador-Ave-94027/home/851460,,,N,Y,37.4541985,-122.2141107
PAST SALE,June-21-2021,Single Family Residential,1758 Stockbridge Ave,REDWOOD CITY,CA,94061,4450000,6,4.5,REDWOOD CITY,3836,9779,2021,69,1160,,Sold,,,http://www.redfin.com/CA/Redwood-City/1758-Stockbridge-Ave-94061/home/885218,MLSListings,ML81836306,N,Y,37.4489286,-122.2214028
PAST SALE,,Single Family Residential,183 Almendral Ave,Atherton,CA,94027,7900000,5,6.0,,4930,40660,1948,,1602,,,,,http://www.redfin.com/CA/Atherton/183-Almendral-Ave-94027/home/887643,,,N,Y,37.4528626,-122.2130246
PAST SALE,,Single Family Residential,140 Atherton Ave,Atherton,CA,94027,7050000,3,4.0,,3420,43775,1929,,2061,,,,,http://www.redfin.com/CA/Atherton/140-Atherton-Ave-94027/home/1286455,,,N,Y,37.4535115,-122.2069511
PAST SALE,May-25-2021,Single Family Residential,459 Walsh Rd,ATHERTON,CA,94027,7400000,5,5.0,ATHERTON,4067,48636,1974,96,1820,,Sold,,,http://www.redfin.com/CA/Atherton/459-Walsh-Rd-94027/home/1390062,MLSListings,ML81838713,N,Y,37.4269811,-122.2220899
PAST SALE,June-15-2021,Single Family Residential,55 Belbrook Way,ATHERTON,CA,94027,15250000,6,6.5,ATHERTON,8665,44300,1949,75,1760,,Sold,,,http://www.redfin.com/CA/Atherton/55-Belbrook-Way-94027/home/1435979,MLSListings,ML81840888,N,Y,37.4317076,-122.2206492
PAST SALE,April-20-2021,Single Family Residential,2120 Stockbridge Ave,WOODSIDE,CA,94062,4950000,5,3.5,WOODSIDE,5036,18731,2003,131,983,,Sold,,,http://www.redfin.com/CA/Woodside/2120-Stockbridge-Ave-94062/home/1498320,MLSListings,ML81828650,N,Y,37.4434612,-122.2258355
PAST SALE,,Single Family Residential,401 Fletcher Dr,Atherton,CA,94027,7550000,4,3.0,,2370,59724,1955,,3186,,,,,http://www.redfin.com/CA/Atherton/401-Fletcher-Dr-94027/home/1525045,,,N,Y,37.4371464,-122.224683
PAST SALE,April-9-2021,Single Family Residential,128 Atherton Ave,ATHERTON,CA,94027,9900000,5,6.0,ATHERTON,6800,42250,1974,142,1456,,Sold,,,http://www.redfin.com/CA/Atherton/128-Atherton-Ave-94027/home/1575584,MLSListings,ML81826534,N,Y,37.4538425,-122.2066629
PAST SALE,March-9-2021,Single Family Residential,269 Stockbridge Ave,ATHERTON,CA,94027,6350000,5,4.0,ATHERTON,4200,45144,1958,173,1512,,Sold,,,http://www.redfin.com/CA/Atherton/269-Stockbridge-Ave-94027/home/1857622,MLSListings,ML81826288,N,Y,37.4458821,-122.2220012
PAST SALE,,Single Family Residential,7 Betty Ln,Atherton,CA,94027,2079000,4,4.0,,3270,51925,1966,,636,,,,,http://www.redfin.com/CA/Atherton/7-Betty-Ln-94027/home/1892858,,,N,Y,37.4496122,-122.2171251
PAST SALE,,Single Family Residential,2025 Cam Al Lago,Menlo Park,CA,94027,3900000,4,3.0,,4440,15000,1924,,878,,,,,http://www.redfin.com/CA/Menlo-Park/2025-Cam-Al-Lago-94027/home/1898773,,,N,Y,37.437905,-122.2109854
PAST SALE,July-26-2021,Single Family Residential,1860 Camino De Los Robles,MENLO PARK,CA,94025,4800000,4,2.0,MENLO PARK,2020,17800,1963,34,2376,,Sold,,,http://www.redfin.com/CA/Menlo-Park/1860-Cam-De-Los-Robles-94025/home/883967,MLSListings,ML81849988,N,Y,37.4388094,-122.2046236
PAST SALE,July-29-2021,Single Family Residential,1200 Stockbridge Ave,REDWOOD CITY,CA,94061,2260000,3,2.0,REDWOOD CITY,1580,8515,1946,31,1430,,Sold,,,http://www.redfin.com/CA/Redwood-City/1200-Stockbridge-Ave-94061/home/1162490,MLSListings,ML81852075,N,Y,37.4529968,-122.2181225
PAST SALE,August-5-2021,Single Family Residential,33 Barry Ln,ATHERTON,CA,94027,11500000,5,6.0,ATHERTON,5457,42600,1960,24,2107,,Sold,,,http://www.redfin.com/CA/Atherton/33-Barry-Ln-94027/home/883307,MLSListings,ML81851681,N,Y,37.4510926,-122.2068403
PAST SALE,June-1-2021,Single Family Residential,78 Alejandra Ave,ATHERTON,CA,94027,19500000,6,8.5,ATHERTON,9685,42720,2008,89,2013,,Sold,,,http://www.redfin.com/CA/Atherton/78-Alejandra-Ave-94027/home/1753969,MLSListings,ML81840344,N,Y,37.4544594,-122.1964436
PAST SALE,May-13-2021,Single Family Residential,1330 Cotton St,MENLO PARK,CA,94025,4150000,4,3.0,MENLO PARK,2640,10920,1950,108,1572,,Sold,,,http://www.redfin.com/CA/Menlo-Park/1330-Cotton-St-94025/home/1845688,MLSListings,ML81832785,N,Y,37.4438328,-122.1954903
PAST SALE,,Single Family Residential,89 Alejandra Ave,Atherton,CA,94027,12000000,3,3.0,,2680,42600,1956,,4478,,,,,http://www.redfin.com/CA/Atherton/89-Alejandra-Ave-94027/home/2024980,,,N,Y,37.4537059,-122.1960889
PAST SALE,August-16-2021,Single Family Residential,1360 Garden Ln,MENLO PARK,CA,94025,9800000,5,5.5,MENLO PARK,5590,23500,2001,13,1753,,Sold,,,http://www.redfin.com/CA/Menlo-Park/1360-Garden-Ln-94025/home/884483,MLSListings,ML81843516,N,Y,37.4478082,-122.1930073
PAST SALE,,Single Family Residential,78 Normandy Ln,Atherton,CA,94027,5000000,2,2.0,,2542,17763,2016,,1967,,,,,http://www.redfin.com/CA/Atherton/78-Normandy-Ln-94027/home/849784,,,N,Y,37.4638682,-122.2015201
PAST SALE,June-10-2021,Single Family Residential,137 Spruce Ave,Menlo Park,CA,94025,2100000,3,2.5,699 - Not Defined,2040,8122,1940,80,1029,,Sold,,,http://www.redfin.com/CA/Menlo-Park/137-Spruce-Ave-94025/home/850791,CRMLS,OC21092270,Y,Y,37.4602842,-122.194404
PAST SALE,April-14-2021,Single Family Residential,320 Lennox Ave,MENLO PARK,CA,94025,5555000,4,4.5,MENLO PARK,3900,12870,1937,137,1424,,Sold,,,http://www.redfin.com/CA/Menlo-Park/320-Lennox-Ave-94025/home/1407489,MLSListings,ML81831530,N,Y,37.4615284,-122.1890167
PAST SALE,March-2-2021,Single Family Residential,172 Stone Pne,Menlo Park,CA,94025,2100888,3,3.5,Menlo Park,2540,1872,1964,180,827,183,Sold,,,http://www.redfin.com/CA/Menlo-Park/172-Stone-Pine-Ln-94025/home/1454465,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40933533,N,Y,37.4592909,-122.1908347
PAST SALE,April-1-2021,Single Family Residential,4 Maple Ave,ATHERTON,CA,94027,5000000,4,3.5,ATHERTON,2274,8700,1930,150,2199,,Sold,,,http://www.redfin.com/CA/Atherton/4-Maple-Ave-94027/home/1892806,MLSListings,ML81834230,N,Y,37.4605,-122.1981284
PAST SALE,June-18-2021,Single Family Residential,192 Spruce Ave,MENLO PARK,CA,94025,2125000,4,3.0,MENLO PARK,1460,6550,1955,72,1455,,Sold,,,http://www.redfin.com/CA/Menlo-Park/192-Spruce-Ave-94025/home/1904334,MLSListings,ML81833371,Y,Y,37.4610525,-122.1929852
