SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-29-2021,Single Family Residential,19160 Cozette Ln,CUPERTINO,CA,95014,2105000,3,1.0,CUPERTINO,1544,13595,1949,153,1363,,Sold,,,http://www.redfin.com/CA/Cupertino/19160-Cozette-Ln-95014/home/598234,MLSListings,ML81836478,N,Y,37.3202711,-122.0077101
PAST SALE,April-7-2021,Single Family Residential,20187 Las Ondas Way,CUPERTINO,CA,95014,2940000,4,2.0,CUPERTINO,2056,7201,1963,144,1430,,Sold,,,http://www.redfin.com/CA/Cupertino/20187-Las-Ondas-Way-95014/home/1281949,MLSListings,ML81831290,N,Y,37.3190574,-122.0268735
PAST SALE,July-29-2021,Single Family Residential,20955 Pepper Tree Ln,CUPERTINO,CA,95014,2920000,4,3.0,CUPERTINO,2327,7524,1961,31,1255,,Sold,,,http://www.redfin.com/CA/Cupertino/20955-Pepper-Tree-Ln-95014/home/783983,MLSListings,ML81850369,N,Y,37.3198905,-122.0404835
PAST SALE,,Single Family Residential,10301 Creston Dr,Cupertino,CA,95014,3200000,4,2.5,,2300,10701,1962,,1391,,,,,http://www.redfin.com/CA/Cupertino/10301-Creston-Dr-95014/home/774709,,,N,Y,37.327069,-122.0608621
PAST SALE,April-9-2021,Single Family Residential,1026 W Homestead Rd,Sunnyvale,CA,94087,2110000,4,2.0,Cupertino Zone,1685,7956,1957,142,1252,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1026-W-Homestead-Rd-94087/home/772513,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40938243,N,Y,37.3372459,-122.0563782
PAST SALE,July-21-2021,Single Family Residential,21885 Meadowview Ln,CUPERTINO,CA,95014,3272000,4,3.0,CUPERTINO,2539,12737,1956,39,1289,,Sold,,,http://www.redfin.com/CA/Cupertino/21885-Meadowview-Ln-95014/home/772135,MLSListings,ML81849092,N,Y,37.3284594,-122.0576879
PAST SALE,August-19-2021,Single Family Residential,10166 Bonny Dr,CUPERTINO,CA,95014,3320000,4,2.5,CUPERTINO,1877,7490,1961,10,1769,,Sold,,,http://www.redfin.com/CA/Cupertino/10166-Bonny-Dr-95014/home/1418143,MLSListings,ML81853409,N,Y,37.32065,-122.0375308
PAST SALE,July-16-2021,Single Family Residential,670 Meadow Ave,SANTA CLARA,CA,95051,2070000,3,2.0,SANTA CLARA,1508,6922,1959,44,1373,,Sold,,,http://www.redfin.com/CA/Santa-Clara/670-Meadow-Ave-95051/home/1430599,MLSListings,ML81848189,N,Y,37.33378,-122.0045122
PAST SALE,July-29-2021,Single Family Residential,18941 Barnhart Ave,CUPERTINO,CA,95014,3400000,5,3.0,CUPERTINO,3135,5616,1998,31,1085,,Sold,,,http://www.redfin.com/CA/Cupertino/18941-Barnhart-Ave-95014/home/795172,MLSListings,ML81850205,N,Y,37.3158111,-122.0033129
PAST SALE,June-4-2021,Single Family Residential,22076 Rae Ln,CUPERTINO,CA,95014,3400000,4,3.0,CUPERTINO,2883,8000,1971,86,1179,,Sold,,,http://www.redfin.com/CA/Cupertino/22076-Rae-Ln-95014/home/781277,MLSListings,ML81841307,N,Y,37.3115475,-122.0609065
