SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-9-2021,Single Family Residential,4 Alma Ct,LOS ALTOS,CA,94022,3100000,4,2.5,LOS ALTOS,2242,11155,1960,173,1383,,Sold,,,http://www.redfin.com/CA/Los-Altos/4-Alma-Ct-94022/home/630979,MLSListings,ML81828577,N,Y,37.3907656,-122.1145205
PAST SALE,June-17-2021,Single Family Residential,10560 Chace Dr,CUPERTINO,CA,95014,2600000,4,3.0,CUPERTINO,1905,10089,1963,73,1365,,Sold,,,http://www.redfin.com/CA/Cupertino/10560-Chace-Dr-95014/home/692414,MLSListings,ML81843428,N,Y,37.3311144,-122.0675431
PAST SALE,March-19-2021,Single Family Residential,10547 Manzanita Ct,Cupertino,CA,95014,3900000,5,4.5,699 - Not Defined,3786,18892,2001,163,1030,,Sold,,,http://www.redfin.com/CA/Cupertino/10547-Manzanita-Ct-95014/home/1332180,CRMLS,FR21028699,N,Y,37.3306255,-122.0756219
PAST SALE,July-13-2021,Single Family Residential,471 Raquel Ln,LOS ALTOS,CA,94022,5200000,4,4.5,LOS ALTOS,3469,12671,1971,47,1499,,Sold,,,http://www.redfin.com/CA/Los-Altos/471-Raquel-Ln-94022/home/1622407,MLSListings,ML81848219,N,Y,37.3893537,-122.1251248
PAST SALE,,Single Family Residential,108 Coronado Ave,Los Altos,CA,94022,4375000,4,3.0,,2067,14818,1940,,2117,,,,,http://www.redfin.com/CA/Los-Altos/108-Coronado-Ave-94022/home/768679,,,N,Y,37.3856474,-122.1165616
PAST SALE,April-19-2021,Single Family Residential,611 Tomi Lea St,LOS ALTOS,CA,94022,3750000,3,2.5,LOS ALTOS,2075,10010,1953,132,1807,,Sold,,,http://www.redfin.com/CA/Los-Altos/611-Tomi-Lea-St-94022/home/1212587,MLSListings,ML81833396,N,Y,37.3924448,-122.1160957
PAST SALE,March-4-2021,Single Family Residential,166 N San Antonio Rd,LOS ALTOS,CA,94022,4100121,4,3.0,LOS ALTOS,2531,25068,1948,178,1620,,Sold,,,http://www.redfin.com/CA/Los-Altos/166-N-San-Antonio-Rd-94022/home/1303236,MLSListings,ML81825469,N,Y,37.3844116,-122.114698
PAST SALE,,Single Family Residential,116 Bridgton Ct,Los Altos,CA,94022,8725000,4,5.0,,4379,23103,1993,,1992,,,,,http://www.redfin.com/CA/Los-Altos/116-Bridgton-Ct-94022/home/1280822,,,N,Y,37.3839404,-122.1186692
PAST SALE,June-7-2021,Single Family Residential,1433 Miramonte Ave,LOS ALTOS,CA,94024,5205000,4,4.5,LOS ALTOS,3308,14205,2021,83,1573,,Sold,,,http://www.redfin.com/CA/Los-Altos/1433-Miramonte-Ave-94024/home/645608,MLSListings,ML81843743,N,Y,37.3567984,-122.0866294
PAST SALE,July-14-2021,Single Family Residential,951 Dolores Ave,Los Altos,CA,94024,1753000,2,1.0,North Los Altos,996,5400,1946,46,1760,,Sold,,,http://www.redfin.com/CA/Los-Altos/951-Dolores-Ave-94024/home/1164857,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40953758,N,Y,37.3544858,-122.0883825
