SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-26-2021,Single Family Residential,727 San Benito Ave,MENLO PARK,CA,94025,2658000,4,3.5,MENLO PARK,2256,5350,2021,125,1178,,Sold,,,http://www.redfin.com/CA/Menlo-Park/727-San-Benito-Ave-94025/home/847701,MLSListings,ML81833151,N,Y,37.4759296,-122.1940493
PAST SALE,,Single Family Residential,828 Fifteenth Ave,Menlo Park,CA,94025,1405000,3,1.0,,1110,7400,1950,,1266,,,,,http://www.redfin.com/CA/Menlo-Park/828-Fifteenth-Ave-94025/home/1864313,,,N,Y,37.4762319,-122.1908779
PAST SALE,May-27-2021,Single Family Residential,751 Partridge Ave,MENLO PARK,CA,94025,2875000,3,2.5,MENLO PARK,1910,8116,1991,94,1505,,Sold,,,http://www.redfin.com/CA/Menlo-Park/751-Partridge-Ave-94025/home/1507189,MLSListings,ML81842096,N,Y,37.4470542,-122.1760931
PAST SALE,March-29-2021,Single Family Residential,179 Hedge Rd,MENLO PARK,CA,94025,2375000,3,2.5,MENLO PARK,1400,5500,1947,153,1696,,Sold,,,http://www.redfin.com/CA/Menlo-Park/179-Hedge-Rd-94025/home/1942357,MLSListings,ML81830575,N,Y,37.4784865,-122.1757802
PAST SALE,April-21-2021,Single Family Residential,301 Arbor Rd,MENLO PARK,CA,94025,4050000,3,3.0,MENLO PARK,2344,10788,1948,130,1728,,Sold,,,http://www.redfin.com/CA/Menlo-Park/301-Arbor-Rd-94025/home/892927,MLSListings,ML81837419,N,Y,37.4426036,-122.1806138
PAST SALE,,Single Family Residential,654 Hermosa Way,Menlo Park,CA,94025,5400000,4,2.0,,1750,21816,1933,,3086,,,,,http://www.redfin.com/CA/Menlo-Park/654-Hermosa-Way-94025/home/1809660,,,N,Y,37.4408961,-122.1872209
PAST SALE,July-8-2021,Single Family Residential,966 Menlo Ave,MENLO PARK,CA,94025,2970000,4,3.0,MENLO PARK,1714,7696,2021,52,1733,,Sold,,,http://www.redfin.com/CA/Menlo-Park/966-Menlo-Ave-94025/home/1851281,MLSListings,ML81838204,N,Y,37.4480705,-122.1862897
PAST SALE,,Single Family Residential,727 San Benito Ave,Menlo Park,CA,94025,2658000,4,4.0,,2256,5350,2021,,1178,,,,,http://www.redfin.com/CA/Menlo-Park/727-San-Benito-Ave-94025/home/146704919,,,N,Y,37.4759296,-122.1940493
PAST SALE,,Single Family Residential,555 Hamilton Ave,Menlo Park,CA,94025,429000,4,3.0,,2020,3070,2007,,212,,,,,http://www.redfin.com/CA/Menlo-Park/555-Hamilton-Ave-94025/home/17307517,,,N,Y,37.4792239,-122.1589273
PAST SALE,June-7-2021,Single Family Residential,895 15th Ave,Menlo Park,CA,94025,1515000,2,2.0,North Fair Oaks,1030,6200,1950,83,1471,,Sold,,,http://www.redfin.com/CA/Menlo-Park/895-Fifteenth-Ave-94025/home/1231549,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40948523,N,Y,37.476522,-122.1873261
PAST SALE,April-9-2021,Single Family Residential,546 6th Ave,MENLO PARK,CA,94025,1608750,2,2.0,MENLO PARK,1100,6000,1922,142,1463,,Sold,,,http://www.redfin.com/CA/Menlo-Park/546-Sixth-Ave-94025/home/845808,MLSListings,ML81834928,N,Y,37.4751818,-122.2011876
PAST SALE,July-9-2021,Single Family Residential,417 9th Ave,MENLO PARK,CA,94025,2000000,3,2.0,MENLO PARK,1420,5350,1950,51,1408,,Sold,,,http://www.redfin.com/CA/Menlo-Park/417-9th-Ave-94025/home/1991978,MLSListings,ML81845283,Y,Y,37.4710429,-122.2010102
PAST SALE,May-28-2021,Single Family Residential,659 Palmer Ln,MENLO PARK,CA,94025,2560000,4,3.5,MENLO PARK,2740,5700,2007,93,934,,Sold,,,http://www.redfin.com/CA/Menlo-Park/659-Palmer-Ln-94025/home/17307403,MLSListings,ML81836756,N,Y,37.4740982,-122.1928078
PAST SALE,July-23-2021,Single Family Residential,515 Palmer Ln,MENLO PARK,CA,94025,4015000,5,5.5,MENLO PARK,3176,10000,2011,37,1264,,Sold,,,http://www.redfin.com/CA/Menlo-Park/515-Palmer-Ln-94025/home/1802560,MLSListings,ML81845042,N,Y,37.4719867,-122.1945814
PAST SALE,July-30-2021,Single Family Residential,501 Fanita Way,MENLO PARK,CA,94025,5150000,4,4.0,MENLO PARK,3301,12600,1950,30,1560,,Sold,,,http://www.redfin.com/CA/Menlo-Park/501-Fanita-Way-94025/home/888416,MLSListings,ML81843378,N,Y,37.4353955,-122.1909012
PAST SALE,June-23-2021,Single Family Residential,2045 Sharon Rd,MENLO PARK,CA,94025,4700000,3,1.5,MENLO PARK,1720,15904,1937,67,2733,,Sold,,,http://www.redfin.com/CA/Menlo-Park/2045-Sharon-Rd-94025/home/1988663,MLSListings,ML81846576,N,Y,37.4311406,-122.1980619
PAST SALE,May-4-2021,Single Family Residential,998 Lucky Ave,MENLO PARK,CA,94025,2320000,2,1.0,MENLO PARK,860,5225,1955,117,2698,,Sold,,,http://www.redfin.com/CA/Menlo-Park/998-Lucky-Ave-94025/home/2059259,MLSListings,ML81836948,Y,Y,37.4318855,-122.1993698
PAST SALE,July-27-2021,Single Family Residential,950 Cloud Ave,MENLO PARK,CA,94025,2950000,4,2.0,MENLO PARK,1730,5500,1946,33,1705,,Sold,,,http://www.redfin.com/CA/Menlo-Park/950-Cloud-Ave-94025/home/1016437,MLSListings,ML81847655,N,Y,37.4329416,-122.1984831
PAST SALE,May-27-2021,Single Family Residential,775 Oak Knoll Ln,MENLO PARK,CA,94025,6000000,5,4.0,MENLO PARK,4007,13585,2012,94,1497,,Sold,,,http://www.redfin.com/CA/Menlo-Park/775-Oak-Knoll-Ln-94025/home/1727134,MLSListings,ML81828420,N,Y,37.4322125,-122.1954443
PAST SALE,April-27-2021,Single Family Residential,170 Stone Pine Ln,MENLO PARK,CA,94025,2350000,3,2.5,MENLO PARK,2456,1742,1964,124,957,195,Sold,,,http://www.redfin.com/CA/Menlo-Park/170-Stone-Pine-Ln-94025/home/1931964,MLSListings,ML81838423,N,Y,37.4592527,-122.1908679
PAST SALE,,Single Family Residential,720 Twelfth Ave,Menlo Park,CA,94025,3070000,5,5.0,,2934,8025,2020,,1046,,,,,http://www.redfin.com/CA/Menlo-Park/720-Twelfth-Ave-94025/home/146704918,,,N,Y,37.4759387,-122.1944061
PAST SALE,,Single Family Residential,765 Fourteenth Ave,Menlo Park,CA,94025,1450000,3,2.0,,1260,5350,1947,,1151,,,,,http://www.redfin.com/CA/Menlo-Park/765-Fourteenth-Ave-94025/home/1836695,,,N,Y,37.4760854,-122.1926748
PAST SALE,,Single Family Residential,540 Palmer Ln,Menlo Park,CA,94025,3000000,4,4.0,,2447,9600,1959,,1226,,,,,http://www.redfin.com/CA/Menlo-Park/540-Palmer-Ln-94025/home/1050009,,,N,Y,37.4725438,-122.1931182
PAST SALE,April-19-2021,Single Family Residential,561 6th Ave,MENLO PARK,CA,94025,1650000,3,2.0,MENLO PARK,1516,5600,1924,132,1088,,Sold,,,http://www.redfin.com/CA/Menlo-Park/561-Sixth-Ave-94025/home/1904274,MLSListings,ML81833219,N,Y,37.4752581,-122.2016753
PAST SALE,April-9-2021,Single Family Residential,500 8th Ave,MENLO PARK,CA,94025,2850000,4,3.5,MENLO PARK,3030,8025,2007,142,941,,Sold,,,http://www.redfin.com/CA/Menlo-Park/500-Eighth-Ave-94025/home/2029889,MLSListings,ML81831865,N,Y,37.4735512,-122.1999018
PAST SALE,,Single Family Residential,1165 San Mateo Dr,Menlo Park,CA,94025,7702500,4,3.0,,3320,35700,1936,,2320,,,,,http://www.redfin.com/CA/Menlo-Park/1165-San-Mateo-Dr-94025/home/884466,,,N,Y,37.4453676,-122.1916106
PAST SALE,,Single Family Residential,1016 Cotton St,Menlo Park,CA,94025,4300000,4,3.0,,2230,11000,1950,,1928,,,,,http://www.redfin.com/CA/Menlo-Park/1016-Cotton-St-94025/home/889371,,,N,Y,37.441892,-122.1918323
PAST SALE,March-11-2021,Single Family Residential,6 Patterson Ave,MENLO PARK,CA,94025,3600000,4,3.0,MENLO PARK,2940,7800,1988,171,1224,,Sold,,,http://www.redfin.com/CA/Menlo-Park/6-Patterson-Ave-94025/home/884531,MLSListings,ML81826804,N,Y,37.4400484,-122.2061531
PAST SALE,May-7-2021,Single Family Residential,2051 Valparaiso Ave,MENLO PARK,CA,94025,3600000,4,3.0,MENLO PARK,2528,6000,2016,114,1424,,Sold,,,http://www.redfin.com/CA/Menlo-Park/2051-Valparaiso-Ave-94025/home/2020402,MLSListings,ML81835264,N,Y,37.4346312,-122.2050004
PAST SALE,March-19-2021,Single Family Residential,1760 Croner Ave,MENLO PARK,CA,94025,4200000,4,3.5,MENLO PARK,2503,5650,2017,163,1678,,Sold,,,http://www.redfin.com/CA/Menlo-Park/1760-Croner-Ave-94025/home/1324669,MLSListings,ML81832138,N,Y,37.4362185,-122.1999018
