SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-1-2021,Single Family Residential,2507 Alvin St,MOUNTAIN VIEW,CA,94043,1925000,3,2.0,MOUNTAIN VIEW,1502,5870,1954,150,1282,,Sold,,,http://www.redfin.com/CA/Mountain-View/2507-Alvin-St-94043/home/606881,MLSListings,ML81809676,N,Y,37.412259,-122.1011811
PAST SALE,May-17-2021,Single Family Residential,2525 Nedson Ct,MOUNTAIN VIEW,CA,94043,2080000,3,2.0,MOUNTAIN VIEW,1116,5246,1954,104,1864,,Sold,,,http://www.redfin.com/CA/Mountain-View/2525-Nedson-Ct-94043/home/1610759,MLSListings,ML81838017,N,Y,37.4134435,-122.1000544
PAST SALE,March-23-2021,Single Family Residential,1436 Brookmill Rd,LOS ALTOS,CA,94024,2998880,4,2.0,LOS ALTOS,1820,10440,1956,159,1648,,Sold,,,http://www.redfin.com/CA/Los-Altos/1436-Brookmill-Rd-94024/home/743119,MLSListings,ML81828174,N,Y,37.3540713,-122.0633703
PAST SALE,May-28-2021,Single Family Residential,405 Chesley Ave,MOUNTAIN VIEW,CA,94040,3885000,4,3.5,MOUNTAIN VIEW,3383,8514,1994,93,1148,,Sold,,,http://www.redfin.com/CA/Mountain-View/405-Chesley-Ave-94040/home/649128,MLSListings,ML81841526,N,Y,37.3663235,-122.0747341
PAST SALE,July-13-2021,Single Family Residential,855 S Knickerbocker Dr,SUNNYVALE,CA,94087,2250000,3,2.0,SUNNYVALE,1352,5501,1952,47,1664,,Sold,,,http://www.redfin.com/CA/Sunnyvale/855-S-Knickerbocker-Dr-94087/home/1705822,MLSListings,ML81847957,N,Y,37.3684087,-122.0620607
PAST SALE,March-16-2021,Single Family Residential,1745 Selig Ln,LOS ALTOS,CA,94024,2850000,4,3.0,LOS ALTOS,2461,11397,1967,166,1158,,Sold,,,http://www.redfin.com/CA/Los-Altos/1745-Selig-Ln-94024/home/814159,MLSListings,ML81829237,N,Y,37.3577011,-122.0632815
PAST SALE,March-15-2021,Single Family Residential,818 Runningwood Cir,MOUNTAIN VIEW,CA,94040,1850000,3,2.0,MOUNTAIN VIEW,1609,5980,1977,167,1150,255,Sold,,,http://www.redfin.com/CA/Mountain-View/818-Runningwood-Cir-94040/home/649406,MLSListings,ML81828666,N,Y,37.3698588,-122.0621051
PAST SALE,April-12-2021,Single Family Residential,704 Hans Ave,MOUNTAIN VIEW,CA,94040,2310000,3,2.0,MOUNTAIN VIEW,1178,6851,1955,139,1961,,Sold,,,http://www.redfin.com/CA/Mountain-View/704-Hans-Ave-94040/home/856085,MLSListings,ML81832924,N,Y,37.379344,-122.0844824
PAST SALE,July-14-2021,Single Family Residential,755 Raymundo Ave,LOS ALTOS,CA,94024,3865000,3,2.0,LOS ALTOS,2735,17500,1951,46,1413,,Sold,,,http://www.redfin.com/CA/Los-Altos/755-Raymundo-Ave-94024/home/642075,MLSListings,ML81853539,N,Y,37.3832636,-122.0937083
PAST SALE,April-23-2021,Single Family Residential,965 Eichler Dr,MOUNTAIN VIEW,CA,94040,3225000,4,2.5,MOUNTAIN VIEW,1912,8991,1972,128,1687,,Sold,,,http://www.redfin.com/CA/Mountain-View/965-Eichler-Dr-94040/home/1174984,MLSListings,ML81835855,N,Y,37.3822538,-122.0893589
