SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-22-2021,Single Family Residential,188 Lois Ln,PALO ALTO,CA,94303,4108000,3,2.0,PALO ALTO,1652,7610,1950,129,2487,,Sold,,,http://www.redfin.com/CA/Palo-Alto/188-Lois-Ln-94303/home/546263,MLSListings,ML81834457,N,Y,37.4475551,-122.1365265
PAST SALE,,Single Family Residential,1911 Barbara Dr,Palo Alto,CA,94303,4318000,4,4.0,,2552,8819,1948,,1692,,,,,http://www.redfin.com/CA/Palo-Alto/1911-Barbara-Dr-94303/home/1733864,,,N,Y,37.4438595,-122.134752
PAST SALE,June-25-2021,Single Family Residential,4062 2nd St,PALO ALTO,CA,94306,3100000,3,2.0,PALO ALTO,1414,9193,1952,65,2192,,Sold,,,http://www.redfin.com/CA/Palo-Alto/4062-2nd-St-94306/home/1560613,MLSListings,ML81845217,N,Y,37.4167355,-122.1250804
PAST SALE,May-19-2021,Single Family Residential,167 Ramona Rd,PORTOLA VALLEY,CA,94028,1500000,2,1.0,PORTOLA VALLEY,810,12574,1963,102,1852,,Sold,,,http://www.redfin.com/CA/Portola-Valley/167-Ramona-Rd-94028/home/109581422,MLSListings,ML81836026,N,Y,37.3488296,-122.1967095
PAST SALE,August-13-2021,Single Family Residential,27935 Altamont Cir,LOS ALTOS HILLS,CA,94022,4375000,3,2.5,LOS ALTOS HILLS,2700,25586,1967,16,1620,63,Sold,,,http://www.redfin.com/CA/Los-Altos-Hills/27935-Altamont-Cir-94022/home/1575865,MLSListings,ML81855907,N,Y,37.3657767,-122.1708576
PAST SALE,August-16-2021,Single Family Residential,3106 Bandera Dr,PALO ALTO,CA,94304,4000000,4,3.0,PALO ALTO,2670,42667,1969,13,1498,,Sold,,,http://www.redfin.com/CA/Palo-Alto/3106-Bandera-Dr-94304/home/1427608,MLSListings,ML81850437,N,Y,37.3714055,-122.1706581
PAST SALE,,Single Family Residential,126 Lowell Ave,Palo Alto,CA,94301,5370000,5,3.0,,2731,7500,1936,,1966,,,,,http://www.redfin.com/CA/Palo-Alto/126-Lowell-Ave-94301/home/591318,,,N,Y,37.4343953,-122.148415
PAST SALE,,Single Family Residential,2331 Williams St,Palo Alto,CA,94306,1850000,2,1.0,,760,3570,1940,,2434,,,,,http://www.redfin.com/CA/Palo-Alto/2331-Williams-St-94306/home/658381,,,N,Y,37.4239919,-122.1477829
PAST SALE,June-28-2021,Single Family Residential,1640 Escobita Ave,PALO ALTO,CA,94306,3475000,3,3.0,PALO ALTO,2025,5775,1931,62,1716,,Sold,,,http://www.redfin.com/CA/Palo-Alto/1640-Escobita-Ave-94306/home/854592,MLSListings,ML81845347,N,Y,37.4321353,-122.1506772
PAST SALE,June-16-2021,Single Family Residential,2500 Bryant St,PALO ALTO,CA,94301,5650000,5,6.0,PALO ALTO,5100,8391,2008,74,1108,,Sold,,,http://www.redfin.com/CA/Palo-Alto/2500-Bryant-St-94301/home/962768,MLSListings,ML81795995,N,Y,37.4292063,-122.1359942
PAST SALE,,Single Family Residential,2551 Webster St,Palo Alto,CA,94301,4200000,5,4.0,,3197,8899,2020,,1314,,,,,http://www.redfin.com/CA/Palo-Alto/2551-Webster-St-94301/home/1760586,,,N,Y,37.4340412,-122.1319127
PAST SALE,May-14-2021,Single Family Residential,264 Oxford Ave,PALO ALTO,CA,94306,5250000,4,3.0,PALO ALTO,2999,7500,2020,107,1751,,Sold,,,http://www.redfin.com/CA/Palo-Alto/264-Oxford-Ave-94306/home/1798946,MLSListings,ML81832813,N,Y,37.4300066,-122.1463302
PAST SALE,April-21-2021,Single Family Residential,1645 Mariposa Ave,PALO ALTO,CA,94306,2751888,4,2.0,PALO ALTO,1717,6960,1926,130,1603,,Sold,,,http://www.redfin.com/CA/Palo-Alto/1645-Mariposa-Ave-94306/home/592412,MLSListings,ML81833437,N,Y,37.4332145,-122.1487255
PAST SALE,April-19-2021,Single Family Residential,2510 Waverley St,PALO ALTO,CA,94301,4750000,4,3.5,PALO ALTO,3595,12992,1937,132,1321,,Sold,,,http://www.redfin.com/CA/Palo-Alto/2510-Waverley-St-94301/home/684038,MLSListings,ML81803277,N,Y,37.4309459,-122.1352622
PAST SALE,August-10-2021,Single Family Residential,2277 Bryant St,PALO ALTO,CA,94301,5000000,5,4.0,PALO ALTO,3484,8400,1930,19,1435,,Sold,,,http://www.redfin.com/CA/Palo-Alto/2277-Bryant-St-94301/home/1072281,MLSListings,ML81843554,N,Y,37.4321457,-122.139277
PAST SALE,March-5-2021,Single Family Residential,930 Los Robles Ave,PALO ALTO,CA,94306,4388000,6,4.5,PALO ALTO,3108,10055,2015,177,1412,,Sold,,,http://www.redfin.com/CA/Palo-Alto/930-Los-Robles-Ave-94306/home/1377669,MLSListings,ML81825117,N,Y,37.407775,-122.1344858
PAST SALE,June-1-2021,Single Family Residential,3310 South Ct,PALO ALTO,CA,94306,4160000,4,3.0,PALO ALTO,2380,6664,2001,89,1748,,Sold,,,http://www.redfin.com/CA/Palo-Alto/3310-South-Ct-94306/home/602524,MLSListings,ML81839858,N,Y,37.4230113,-122.1249029
PAST SALE,July-2-2021,Single Family Residential,3785 Park Blvd,Palo Alto,CA,94306,1700000,3,2.0,Palo Alto,1234,5635,1940,58,1378,,Sold,,,http://www.redfin.com/CA/Palo-Alto/3785-Park-Blvd-94306/home/1149731,CRMLS,PW20218886,N,Y,37.4210373,-122.1295614
PAST SALE,April-26-2021,Single Family Residential,762 Stone Ln,PALO ALTO,CA,94303,4150000,3,2.0,PALO ALTO,2000,11782,1956,125,2075,,Sold,,,http://www.redfin.com/CA/Palo-Alto/762-Stone-Ln-94303/home/1704313,MLSListings,ML81838538,N,Y,37.4272203,-122.1155411
PAST SALE,March-19-2021,Single Family Residential,3128 Avalon Ct,Palo Alto,CA,94306,3988888,4,3.0,Palo Alto,2493,7405,1998,163,1600,,Sold,,,http://www.redfin.com/CA/Palo-Alto/3128-Avalon-Ct-94306/home/1843455,San Francisco MLS,421519457,N,Y,37.428025,-122.1253023
PAST SALE,April-1-2021,Single Family Residential,930 Clara Dr,PALO ALTO,CA,94303,3310000,3,2.0,PALO ALTO,1682,6413,1953,150,1968,,Sold,,,http://www.redfin.com/CA/Palo-Alto/930-Clara-Dr-94303/home/1271960,MLSListings,ML81831518,N,Y,37.4363659,-122.1196675
PAST SALE,May-4-2021,Single Family Residential,3705 Park Blvd,PALO ALTO,CA,94306,2200000,4,3.0,PALO ALTO,1909,5000,1945,117,1152,,Sold,,,http://www.redfin.com/CA/Palo-Alto/3705-Park-Blvd-94306/home/1007445,MLSListings,ML81833188,N,Y,37.4214007,-122.1300938
PAST SALE,August-6-2021,Single Family Residential,585 Ashton Ave,PALO ALTO,CA,94306,4250000,4,3.0,PALO ALTO,2303,6363,2001,23,1845,,Sold,,,http://www.redfin.com/CA/Palo-Alto/585-Ashton-Ave-94306/home/893315,MLSListings,ML81847163,N,Y,37.425184,-122.1197119
PAST SALE,May-11-2021,Single Family Residential,151 Waverley St,PALO ALTO,CA,94301,4000000,4,2.5,PALO ALTO,2270,7250,1920,110,1762,,Sold,,,http://www.redfin.com/CA/Palo-Alto/151-Waverley-St-94301/home/1344453,MLSListings,ML81833796,N,Y,37.450183,-122.1647817
PAST SALE,August-11-2021,Single Family Residential,166 Cowper St,PALO ALTO,CA,94301,1670000,2,1.0,PALO ALTO,762,2050,1921,18,2192,,Sold,,,http://www.redfin.com/CA/Palo-Alto/166-Cowper-St-94301/home/1493809,MLSListings,ML81850368,N,Y,37.4509316,-122.1636729
PAST SALE,March-3-2021,Single Family Residential,767 Stone Ln,PALO ALTO,CA,94303,4180000,4,3.0,PALO ALTO,2477,11480,1956,179,1688,,Sold,,,http://www.redfin.com/CA/Palo-Alto/767-Stone-Ln-94303/home/688324,MLSListings,ML81828443,N,Y,37.4276547,-122.1157629
PAST SALE,June-30-2021,Single Family Residential,1176 Greenwood Ave,PALO ALTO,CA,94301,4005000,3,3.0,PALO ALTO,1824,7899,1946,60,2196,,Sold,,,http://www.redfin.com/CA/Palo-Alto/1176-Greenwood-Ave-94301/home/1134870,MLSListings,ML81844717,N,Y,37.4474852,-122.1431807
PAST SALE,July-12-2021,Single Family Residential,246 Walter Hays Dr,PALO ALTO,CA,94303,3588888,6,3.0,PALO ALTO,2108,7124,1951,48,1703,,Sold,,,http://www.redfin.com/CA/Palo-Alto/246-Walter-Hays-Dr-94303/home/1599917,MLSListings,ML81846264,N,Y,37.4478718,-122.1391883
PAST SALE,June-1-2021,Single Family Residential,567 Hale St,PALO ALTO,CA,94301,8600000,5,5.5,PALO ALTO,6821,16068,1908,89,1261,,Sold,,,http://www.redfin.com/CA/Palo-Alto/567-Hale-St-94301/home/1745758,MLSListings,ML81827427,N,Y,37.4539865,-122.1519414
PAST SALE,,Single Family Residential,1400 Hamilton Ave,Palo Alto,CA,94301,5900000,4,5.0,,3997,12359,1934,,1476,,,,,http://www.redfin.com/CA/Palo-Alto/1400-Hamilton-Ave-94301/home/1708997,,,N,Y,37.4539479,-122.1428702
PAST SALE,,Single Family Residential,885 Sharon Ct,Palo Alto,CA,94301,5000000,5,4.0,,2952,6825,1955,,1694,,,,,http://www.redfin.com/CA/Palo-Alto/885-Sharon-Ct-94301/home/1457555,,,N,Y,37.4491094,-122.1408518
PAST SALE,May-7-2021,Single Family Residential,1808 Mark Twain St,PALO ALTO,CA,94303,5280000,5,5.0,PALO ALTO,3100,7630,2020,114,1703,,Sold,,,http://www.redfin.com/CA/Palo-Alto/1808-Mark-Twain-St-94303/home/546780,MLSListings,ML81831937,N,Y,37.4430638,-122.1386116
PAST SALE,April-15-2021,Single Family Residential,660 Seale Ave,PALO ALTO,CA,94301,3925000,3,1.5,PALO ALTO,1769,7648,1946,136,2219,,Sold,,,http://www.redfin.com/CA/Palo-Alto/660-Seale-Ave-94301/home/1069408,MLSListings,ML81839139,N,Y,37.4391935,-122.1396984
PAST SALE,August-13-2021,Single Family Residential,893 Sharon Ct,PALO ALTO,CA,94301,3130000,3,2.0,PALO ALTO,1786,6798,1955,16,1753,,Sold,,,http://www.redfin.com/CA/Palo-Alto/893-Sharon-Ct-94301/home/1745821,MLSListings,ML81852363,N,Y,37.4489475,-122.1408296
PAST SALE,August-6-2021,Single Family Residential,315 Concord Dr,MENLO PARK,CA,94025,2980000,3,2.0,MENLO PARK,1580,8400,1948,23,1886,,Sold,,,http://www.redfin.com/CA/Menlo-Park/315-Concord-Dr-94025/home/1584043,MLSListings,ML81851978,N,Y,37.4560393,-122.1579515
PAST SALE,May-7-2021,Single Family Residential,173 Monroe Dr,PALO ALTO,CA,94306,3180000,3,2.0,PALO ALTO,1502,12090,1950,114,2117,,Sold,,,http://www.redfin.com/CA/Palo-Alto/173-Monroe-Dr-94306/home/2121087,MLSListings,ML81834562,N,Y,37.4086948,-122.1159848
PAST SALE,,Single Family Residential,4168 Maybell Way,Palo Alto,CA,94306,3200000,3,2.0,,1976,8322,1959,,1619,,,,,http://www.redfin.com/CA/Palo-Alto/4168-Maybell-Way-94306/home/1396625,,,N,Y,37.405626,-122.130178
PAST SALE,June-10-2021,Single Family Residential,25811 Estacada Dr,LOS ALTOS HILLS,CA,94022,3400000,3,2.0,LOS ALTOS HILLS,2262,27295,1954,80,1503,,Sold,,,http://www.redfin.com/CA/Los-Altos-Hills/25811-Estacada-Dr-94022/home/1240112,MLSListings,ML81840086,N,Y,37.3900705,-122.1284523
PAST SALE,April-12-2021,Single Family Residential,4184 Old Adobe Rd,PALO ALTO,CA,94306,9000000,5,6.5,PALO ALTO,7111,45764,1979,139,1266,,Sold,,,http://www.redfin.com/CA/Palo-Alto/4184-Old-Adobe-Rd-94306/home/1722823,MLSListings,ML81833833,N,Y,37.3915691,-122.1373029
PAST SALE,,Single Family Residential,2265 OLD PAGE MILL RD,LOS ALTOS HILLS,CA,94022,3950000,5,3.0,,2365,58860,1952,,1670,,,,,http://www.redfin.com/CA/LOS-ALTOS-HILLS/2265-OLD-PAGE-MILL-RD-94022/home/1736162,,,N,Y,37.395076,-122.166784
PAST SALE,May-9-2021,Single Family Residential,2303 Louis Rd,PALO ALTO,CA,94303,3396700,4,2.5,PALO ALTO,1790,9242,1959,112,1898,,Sold,,,http://www.redfin.com/CA/Palo-Alto/2303-Louis-Rd-94303/home/547140,MLSListings,ML81842999,N,Y,37.4418587,-122.1296723
PAST SALE,August-10-2021,Single Family Residential,973 Moreno Ave,Palo Alto,CA,94303,3310000,4,2.0,Palo Alto,1716,6400,1958,19,1929,,Sold,,,http://www.redfin.com/CA/Palo-Alto/973-Moreno-Ave-94303/home/593601,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40955278,N,Y,37.4416484,-122.1243705
PAST SALE,July-6-2021,Single Family Residential,740 Creek Dr,MENLO PARK,CA,94025,4500000,4,3.0,MENLO PARK,2975,12463,1939,54,1513,,Sold,,,http://www.redfin.com/CA/Menlo-Park/740-Creek-Dr-94025/home/1871444,MLSListings,ML81849981,N,Y,37.4454358,-122.1739398
PAST SALE,August-17-2021,Single Family Residential,1277 Woodland Ave,MENLO PARK,CA,94025,2950000,4,2.5,MENLO PARK,1930,9720,1953,12,1528,,Sold,,,http://www.redfin.com/CA/Menlo-Park/1277-Woodland-Ave-94025/home/1882415,MLSListings,ML81853045,N,Y,37.4577404,-122.1504333
PAST SALE,August-3-2021,Single Family Residential,124 Oak Ct,MENLO PARK,CA,94025,1530000,2,1.0,MENLO PARK,845,4673,1930,26,1811,,Sold,,,http://www.redfin.com/CA/Menlo-Park/124-Oak-Ct-94025/home/2002426,MLSListings,ML81838110,N,Y,37.4590657,-122.1520523
PAST SALE,July-13-2021,Single Family Residential,471 Raquel Ln,LOS ALTOS,CA,94022,5200000,4,4.5,LOS ALTOS,3469,12671,1971,47,1499,,Sold,,,http://www.redfin.com/CA/Los-Altos/471-Raquel-Ln-94022/home/1622407,MLSListings,ML81848219,N,Y,37.3893537,-122.1251248
PAST SALE,June-22-2021,Single Family Residential,531 Kendall Ave,Palo Alto,CA,94306,2248000,4,1.5,Palo Alto,1912,5150,1921,68,1176,,Sold,,,http://www.redfin.com/CA/Palo-Alto/531-Kendall-Ave-94306/home/1354087,CRMLS,SW21067087,Y,Y,37.4177925,-122.1334655
PAST SALE,June-14-2021,Single Family Residential,4103 Clemo Ave,PALO ALTO,CA,94306,4985000,0,1.0,PALO ALTO,0,1,2021,76,,202,Sold,,,http://www.redfin.com/CA/Palo-Alto/4103-Clemo-Ave-94306/home/168868861,MLSListings,ML81829681,N,Y,37.408143,-122.126794
PAST SALE,March-9-2021,Single Family Residential,3719 Starr King Cir,PALO ALTO,CA,94306,2800000,4,2.0,PALO ALTO,1772,6520,1952,173,1580,,Sold,,,http://www.redfin.com/CA/Palo-Alto/3719-Starr-King-Cir-94306/home/763167,MLSListings,ML81828082,N,Y,37.4158294,-122.1195344
PAST SALE,March-29-2021,Single Family Residential,365 Wilton Ave,PALO ALTO,CA,94306,2420000,3,2.0,PALO ALTO,1467,5985,1942,153,1650,,Sold,,,http://www.redfin.com/CA/Palo-Alto/365-Wilton-Ave-94306/home/1021578,MLSListings,ML81824238,N,Y,37.4197767,-122.1312473
PAST SALE,June-28-2021,Single Family Residential,569 Maybell Ave,PALO ALTO,CA,94306,4985000,5,6.0,PALO ALTO,4492,6000,2020,62,1110,202,Sold,,,http://www.redfin.com/CA/Palo-Alto/569-Maybell-Ave-94306/home/168868857,MLSListings,ML81836140,N,Y,37.4086774,-122.1268013
PAST SALE,July-29-2021,Single Family Residential,263 Churchill Ave,PALO ALTO,CA,94301,6500000,5,3.0,PALO ALTO,3215,16594,1900,31,2022,,Sold,,,http://www.redfin.com/CA/Palo-Alto/263-Churchill-Ave-94301/home/591214,MLSListings,ML81827913,N,Y,37.4379901,-122.149657
PAST SALE,April-20-2021,Single Family Residential,525 Guinda St,PALO ALTO,CA,94301,4380000,4,3.0,PALO ALTO,2251,5730,2012,131,1946,,Sold,,,http://www.redfin.com/CA/Palo-Alto/525-Guinda-St-94301/home/1627909,MLSListings,ML81830155,N,Y,37.4517482,-122.1549354
PAST SALE,,Single Family Residential,935 Ramona St,Palo Alto,CA,94301,6100000,1,3.0,,3500,9855,1900,,1743,,,,,http://www.redfin.com/CA/Palo-Alto/935-Ramona-St-94301/home/1374317,,,N,Y,37.4418639,-122.1563991
PAST SALE,April-26-2021,Single Family Residential,451 Chaucer St,PALO ALTO,CA,94301,4200000,3,3.0,PALO ALTO,2026,10500,1908,125,2073,,Sold,,,http://www.redfin.com/CA/Palo-Alto/451-Chaucer-St-94301/home/1800368,MLSListings,ML81828123,N,Y,37.4560994,-122.152385
PAST SALE,March-30-2021,Single Family Residential,2529 Betlo Ave,MOUNTAIN VIEW,CA,94043,1750000,3,2.0,MOUNTAIN VIEW,1140,5269,1959,152,1535,,Sold,,,http://www.redfin.com/CA/Mountain-View/2529-Betlo-Ave-94043/home/1575036,MLSListings,ML81829482,N,Y,37.4099475,-122.1041146
PAST SALE,July-30-2021,Single Family Residential,2130 Bowdoin St,PALO ALTO,CA,94306,1605000,1,1.0,PALO ALTO,636,1852,1931,30,2524,150,Sold,,,http://www.redfin.com/CA/Palo-Alto/2130-Bowdoin-St-94306/home/1005461,MLSListings,ML81847789,N,Y,37.418265,-122.1552348
PAST SALE,August-24-2021,Single Family Residential,316 Waverley St,PALO ALTO,CA,94301,3560000,4,5.0,PALO ALTO,2450,5250,1902,5,1453,,Sold,,,http://www.redfin.com/CA/Palo-Alto/316-Waverley-St-94301/home/878885,MLSListings,ML81857817,N,Y,37.448213,-122.162739
PAST SALE,August-24-2021,Single Family Residential,2000 Amherst St,PALO ALTO,CA,94306,2600000,2,2.0,PALO ALTO,1316,9000,1952,5,1976,,Sold,,,http://www.redfin.com/CA/Palo-Alto/2000-Amherst-St-94306/home/605235,MLSListings,ML81855734,Y,Y,37.418107,-122.156967
PAST SALE,April-23-2021,Single Family Residential,947 Mears Ct,STANFORD,CA,94305,2350000,4,2.5,STANFORD,2653,20318,1968,128,886,,Sold,,,http://www.redfin.com/CA/Stanford/947-Mears-Ct-94305/home/608290,MLSListings,ML81833490,N,Y,37.4148333,-122.1547801
PAST SALE,April-7-2021,Single Family Residential,1014 Paradise Way,PALO ALTO,CA,94306,2810000,4,3.0,PALO ALTO,2067,6122,1965,144,1359,,Sold,,,http://www.redfin.com/CA/Palo-Alto/1014-Paradise-Way-94306/home/1227336,MLSListings,ML81828311,N,Y,37.4083445,-122.1370589
PAST SALE,July-2-2021,Single Family Residential,4206 Pomona Ave,PALO ALTO,CA,94306,5190000,5,5.5,PALO ALTO,3564,9386,2021,58,1456,,Sold,,,http://www.redfin.com/CA/Palo-Alto/4206-Pomona-Ave-94306/home/1561386,MLSListings,ML81838182,N,Y,37.4042861,-122.1270104
PAST SALE,August-19-2021,Single Family Residential,26660 Snell Ln,LOS ALTOS HILLS,CA,94022,6000000,4,3.5,LOS ALTOS HILLS,4400,45738,1980,10,1364,,Sold,,,http://www.redfin.com/CA/Los-Altos-Hills/26660-Snell-Ln-94022/home/1524115,MLSListings,ML81855701,N,Y,37.3869028,-122.1381014
PAST SALE,August-13-2021,Single Family Residential,1585 Bay Laurel Dr,Menlo Park,CA,94025,7600000,5,3.5,Menlo Park,4000,23435,1952,16,1900,,Sold,,,http://www.redfin.com/CA/Menlo-Park/1585-Bay-Laurel-Dr-94025/home/2022200,San Francisco MLS,421569374,N,Y,37.4354728,-122.1840504
PAST SALE,June-29-2021,Single Family Residential,132 Abelia Way,EAST PALO ALTO,CA,94303,1200000,4,2.0,EAST PALO ALTO,1570,5000,1950,61,764,,Sold,,,http://www.redfin.com/CA/East-Palo-Alto/132-Abelia-Way-94303/home/1240679,MLSListings,ML81837526,N,Y,37.4551868,-122.1266776
PAST SALE,July-23-2021,Single Family Residential,1022 N California Ave,PALO ALTO,CA,94303,3402000,4,2.0,PALO ALTO,1747,7202,1957,37,1947,,Sold,,,http://www.redfin.com/CA/Palo-Alto/1022-N-California-Ave-94303/home/1353274,MLSListings,ML81848538,N,Y,37.44551,-122.1283192
PAST SALE,May-25-2021,Single Family Residential,445 Maple St,PALO ALTO,CA,94301,6200000,5,6.0,PALO ALTO,5887,7745,2013,96,1053,,Sold,,,http://www.redfin.com/CA/Palo-Alto/445-Maple-St-94301/home/1627919,MLSListings,ML81845792,N,Y,37.4562458,-122.1491247
PAST SALE,April-30-2021,Single Family Residential,1033 Amarillo Ave,PALO ALTO,CA,94303,5000000,7,4.0,PALO ALTO,3276,21318,1947,121,1526,,Sold,,,http://www.redfin.com/CA/Palo-Alto/1033-Amarillo-Ave-94303/home/592270,MLSListings,ML81822540,N,Y,37.441846,-122.122172
PAST SALE,,Single Family Residential,265 Scripps Ct,Palo Alto,CA,94306,2100000,4,3.0,,1948,7555,1955,,1078,,,,,http://www.redfin.com/CA/Palo-Alto/265-Scripps-Ct-94306/home/1652992,,,N,Y,37.4130647,-122.1114588
PAST SALE,July-28-2021,Single Family Residential,3409 Greer Rd,PALO ALTO,CA,94303,2750000,3,2.0,PALO ALTO,1779,7149,1957,32,1546,,Sold,,,http://www.redfin.com/CA/Palo-Alto/3409-Greer-Rd-94303/home/1821353,MLSListings,ML81849074,N,Y,37.4332129,-122.1111482
PAST SALE,June-14-2021,Single Family Residential,28437 Christopher Ln,LOS ALTOS HILLS,CA,94022,4250000,5,3.0,LOS ALTOS HILLS,3661,50325,1976,76,1161,,Sold,,,http://www.redfin.com/CA/LOS-ALTOS-HILLS/28437-CHRISTOPHER-LN-94022/home/640564,MLSListings,ML81834768,N,Y,37.39402,-122.166833
PAST SALE,April-15-2021,Single Family Residential,28190 Radcliffe Ln,LOS ALTOS HILLS,CA,94022,4619000,4,3.0,LOS ALTOS HILLS,2764,44152,1974,136,1671,,Sold,,,http://www.redfin.com/CA/Los-Altos-Hills/28190-Radcliffe-Ln-94022/home/1439774,MLSListings,ML81832868,N,Y,37.3857767,-122.1689506
PAST SALE,April-21-2021,Single Family Residential,930 Guinda St,PALO ALTO,CA,94301,5500000,5,4.0,PALO ALTO,3938,7603,1990,130,1397,,Sold,,,http://www.redfin.com/CA/Palo-Alto/930-Guinda-St-94301/home/1560333,MLSListings,ML81838287,N,Y,37.4481956,-122.1501006
PAST SALE,March-11-2021,Single Family Residential,930 Channing Ave,PALO ALTO,CA,94301,3550000,3,2.0,PALO ALTO,1873,9825,1951,171,1895,,Sold,,,http://www.redfin.com/CA/Palo-Alto/930-Channing-Ave-94301/home/1556244,MLSListings,ML81827571,N,Y,37.4485361,-122.1482376
PAST SALE,March-25-2021,Single Family Residential,1218 Middlefield Rd,PALO ALTO,CA,94301,2800000,5,1.5,PALO ALTO,1422,6003,1922,157,1969,,Sold,,,http://www.redfin.com/CA/Palo-Alto/1218-Middlefield-Rd-94301/home/588520,MLSListings,ML81829897,N,Y,37.44472,-122.1480047
PAST SALE,April-14-2021,Single Family Residential,11 Valley Oak St,PORTOLA VALLEY,CA,94028,3900000,5,3.5,PORTOLA VALLEY,4970,22215,1987,137,785,366,Sold,,,http://www.redfin.com/CA/Portola-Valley/11-Valley-Oak-St-94028/home/2041426,MLSListings,ML81833518,N,Y,37.3634679,-122.2034709
PAST SALE,March-18-2021,Single Family Residential,26425 Aric Ln,LOS ALTOS HILLS,CA,94022,4450000,4,2.5,LOS ALTOS HILLS,3603,47446,1962,164,1235,,Sold,,,http://www.redfin.com/CA/Los-Altos-Hills/26425-Aric-Ln-94022/home/723166,MLSListings,ML81834675,N,Y,37.3907149,-122.1404304
PAST SALE,July-12-2021,Single Family Residential,426 Matadero Ave,PALO ALTO,CA,94306,2300000,3,1.0,PALO ALTO,1268,5997,1948,48,1814,,Sold,,,http://www.redfin.com/CA/Palo-Alto/426-Matadero-Ave-94306/home/602396,MLSListings,ML81845808,Y,Y,37.42005,-122.1330662
PAST SALE,July-15-2021,Single Family Residential,2470 Bryant St,PALO ALTO,CA,94301,3075000,3,1.0,PALO ALTO,1487,6426,1941,45,2068,,Sold,,,http://www.redfin.com/CA/Palo-Alto/2470-Bryant-St-94301/home/1007427,MLSListings,ML81853647,N,Y,37.4300375,-122.1368371
PAST SALE,July-5-2021,Single Family Residential,520 Rhodes Dr,PALO ALTO,CA,94303,3500000,3,2.0,PALO ALTO,1866,8211,1950,55,1876,,Sold,,,http://www.redfin.com/CA/Palo-Alto/520-Rhodes-Dr-94303/home/1556180,MLSListings,ML81845981,N,Y,37.4520061,-122.1311142
PAST SALE,June-11-2021,Single Family Residential,797 Paul Ave,PALO ALTO,CA,94306,4250763,3,3.0,PALO ALTO,2226,8307,1948,79,1910,,Sold,,,http://www.redfin.com/CA/Palo-Alto/797-Paul-Ave-94306/home/1007512,MLSListings,ML81838116,N,Y,37.4121587,-122.1339978
PAST SALE,August-17-2021,Single Family Residential,4097 Park Blvd,PALO ALTO,CA,94306,2155000,3,2.0,PALO ALTO,1656,6300,1952,12,1301,,Sold,,,http://www.redfin.com/CA/Palo-Alto/4097-Park-Blvd-94306/home/721896,MLSListings,ML81852508,N,Y,37.4174521,-122.123705
PAST SALE,August-18-2021,Single Family Residential,883 Robb Rd,PALO ALTO,CA,94306,16500000,7,9.0,PALO ALTO,9750,38909,2016,11,1692,,Sold,,,http://www.redfin.com/CA/Palo-Alto/883-Robb-Rd-94306/home/913497,MLSListings,ML81858717,N,Y,37.3917929,-122.1350182
