SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-27-2021,Single Family Residential,1006 8th Ave,REDWOOD CITY,CA,94063,980000,2,1.0,REDWOOD CITY,1120,6000,1947,124,875,,Sold,,,http://www.redfin.com/CA/Redwood-City/1006-Eighth-Ave-94063/home/822872,MLSListings,ML81839096,N,Y,37.4827919,-122.1946257
PAST SALE,June-4-2021,Single Family Residential,1099 Haven Ave,REDWOOD CITY,CA,94063,1050000,4,2.0,REDWOOD CITY,1260,5850,1940,86,833,,Sold,,,http://www.redfin.com/CA/Redwood-City/1099-Haven-Ave-94063/home/823111,MLSListings,ML81842718,N,Y,37.4843719,-122.1904135
PAST SALE,May-20-2021,Single Family Residential,984 8th Ave,REDWOOD CITY,CA,94063,1600000,5,2.0,REDWOOD CITY,2067,7400,1947,101,774,,Sold,,,http://www.redfin.com/CA/Redwood-City/984-Eighth-Ave-94063/home/823327,MLSListings,ML81838964,Y,Y,37.4822619,-122.1948917
PAST SALE,,Single Family Residential,3203 Page St,Redwood City,CA,94063,1050000,2,1.0,,910,6000,1946,,1154,,,,,http://www.redfin.com/CA/Redwood-City/3203-Page-St-94063/home/1173237,,,N,Y,37.4834071,-122.1966652
PAST SALE,June-11-2021,Single Family Residential,1033 Haven Ave,Redwood City,CA,94063,1876100,3,3.0,Redwood City,1998,6000,1947,79,939,,Sold,,,http://www.redfin.com/CA/Redwood-City/1033-Haven-Ave-94063/home/1523746,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40946922,N,Y,37.4825901,-122.1908569
PAST SALE,August-11-2021,Single Family Residential,1176 Eighteenth Ave,REDWOOD CITY,CA,94063,1300000,2,1.0,REDWOOD CITY,1100,6000,1948,18,1182,,Sold,,,http://www.redfin.com/CA/Redwood-City/1176-18th-Ave-94063/home/1881861,MLSListings,ML81851885,N,Y,37.4825678,-122.1846491
PAST SALE,March-25-2021,Single Family Residential,3338 Page St,Redwood City,CA,94063,1710000,3,2.5,Redwood City,1855,6950,1947,157,922,,Sold,,,http://www.redfin.com/CA/Redwood-City/3338-Page-St-94063/home/1249410,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40937392,N,Y,37.4819086,-122.1939606
PAST SALE,July-1-2021,Single Family Residential,3335 spring,Redwood City,CA,94063,1955888,6,4.0,Redwood City,2400,8000,1947,59,815,,Sold,,,http://www.redfin.com/CA/Redwood-City/3335-Spring-St-94063/home/1685638,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40950750,N,Y,37.4784631,-122.1951356
PAST SALE,March-24-2021,Single Family Residential,667 4th Ave,REDWOOD CITY,CA,94063,725000,2,1.0,REDWOOD CITY,800,3000,1957,158,906,,Sold,,,http://www.redfin.com/CA/Redwood-City/667-Fourth-Ave-94063/home/1685964,MLSListings,ML81832639,N,Y,37.4778409,-122.2025066
PAST SALE,July-1-2021,Single Family Residential,1020 8th Ave,REDWOOD CITY,CA,94063,1355000,3,1.5,REDWOOD CITY,930,7542,1949,59,1457,,Sold,,,http://www.redfin.com/CA/Redwood-City/1020-Eighth-Ave-94063/unit-H/home/1793104,MLSListings,ML81835792,N,Y,37.4832172,-122.1945814
PAST SALE,April-30-2021,Single Family Residential,1016 Dodge Dr,REDWOOD CITY,CA,94063,1383000,3,2.0,REDWOOD CITY,1495,5790,1985,121,925,,Sold,,,http://www.redfin.com/CA/Redwood-City/1016-Dodge-Dr-94063/home/1850355,MLSListings,ML81832643,N,Y,37.4835704,-122.1955125
PAST SALE,June-2-2021,Single Family Residential,748 3rd Ave,REDWOOD CITY,CA,94063,1250000,2,1.0,REDWOOD CITY,930,6000,1940,88,1344,,Sold,,,http://www.redfin.com/CA/Redwood-City/748-Third-Ave-94063/home/1876537,MLSListings,ML81841179,N,Y,37.479747,-122.2018083
PAST SALE,August-19-2021,Single Family Residential,947 7th Ave,REDWOOD CITY,CA,94063,1500000,3,2.0,REDWOOD CITY,1552,5355,1955,10,966,,Sold,,,http://www.redfin.com/CA/Redwood-City/947-Seventh-Ave-94063/home/2056387,MLSListings,ML81848361,N,Y,37.4824159,-122.1963549
PAST SALE,June-7-2021,Single Family Residential,895 15th Ave,Menlo Park,CA,94025,1515000,2,2.0,North Fair Oaks,1030,6200,1950,83,1471,,Sold,,,http://www.redfin.com/CA/Menlo-Park/895-Fifteenth-Ave-94025/home/1231549,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40948523,N,Y,37.476522,-122.1873261
PAST SALE,April-5-2021,Single Family Residential,3651 Florence St,REDWOOD CITY,CA,94063,1600000,3,3.0,REDWOOD CITY,1737,5500,1948,146,921,,Sold,,,http://www.redfin.com/CA/Redwood-City/3651-Florence-St-94063/home/1685670,MLSListings,ML81831392,N,Y,37.47895,-122.1879304
PAST SALE,March-9-2021,Single Family Residential,839 Marsh Rd,MENLO PARK,CA,94025,1371000,3,2.0,MENLO PARK,1300,4700,1949,173,1055,,Sold,,,http://www.redfin.com/CA/Menlo-Park/839-Marsh-Rd-94025/home/2032048,MLSListings,ML81828350,N,Y,37.4760899,-122.187487
PAST SALE,,Single Family Residential,2931 Crocker Ave,Redwood City,CA,94063,800000,,,,,5103,,,,,,,,http://www.redfin.com/CA/Redwood-City/2931-Crocker-Ave-94063/home/2044472,,,N,Y,37.4752512,-122.2074831
