SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-7-2021,Single Family Residential,149 Chestnut St,SAN CARLOS,CA,94070,2670000,3,2.0,SAN CARLOS,1981,5940,1947,114,1348,,Sold,,,http://www.redfin.com/CA/San-Carlos/149-Chestnut-St-94070/home/770974,MLSListings,ML81836007,Y,Y,37.5096274,-122.2682023
PAST SALE,March-9-2021,Single Family Residential,262 Cedar St,SAN CARLOS,CA,94070,1900800,4,2.0,SAN CARLOS,1790,5170,1952,173,1062,,Sold,,,http://www.redfin.com/CA/San-Carlos/262-Cedar-St-94070/home/785295,MLSListings,ML81827491,N,Y,37.5077967,-122.2691771
PAST SALE,June-23-2021,Single Family Residential,428 Sycamore St,SAN CARLOS,CA,94070,2400000,3,2.0,SAN CARLOS,1790,5650,1956,67,1341,,Sold,,,http://www.redfin.com/CA/San-Carlos/428-Sycamore-St-94070/home/1808227,MLSListings,ML81848528,N,Y,37.5042131,-122.2683574
PAST SALE,June-9-2021,Single Family Residential,1612 Chula Vista Dr,BELMONT,CA,94002,2100000,5,3.0,BELMONT,1660,6256,1954,81,1265,,Sold,,,http://www.redfin.com/CA/Belmont/1612-Chula-Vista-Dr-94002/home/767076,MLSListings,ML81842247,N,Y,37.5111681,-122.2868101
PAST SALE,June-23-2021,Single Family Residential,1021 Palomar Dr,REDWOOD CITY,CA,94062,1750000,4,3.5,REDWOOD CITY,2920,54792,1966,67,599,,Sold,,,http://www.redfin.com/CA/Palomar-Park/1021-Palomar-Dr-94062/home/1815862,MLSListings,ML81847177,N,Y,37.4798535,-122.2755572
PAST SALE,April-7-2021,Single Family Residential,33 Maple Way,SAN CARLOS,CA,94070,2105000,4,3.0,SAN CARLOS,1620,6700,1953,144,1299,,Sold,,,http://www.redfin.com/CA/San-Carlos/33-Maple-Way-94070/home/799041,MLSListings,ML81831478,N,Y,37.4849342,-122.2625751
PAST SALE,March-12-2021,Single Family Residential,12 Wildwood Ave,SAN CARLOS,CA,94070,2525000,3,2.0,SAN CARLOS,1670,7874,1941,170,1512,,Sold,,,http://www.redfin.com/CA/San-Carlos/12-Wildwood-Ave-94070/home/1239515,MLSListings,ML81832441,N,Y,37.4913513,-122.2606697
PAST SALE,July-20-2021,Single Family Residential,632 Palomar Dr,REDWOOD CITY,CA,94062,2200000,3,2.5,REDWOOD CITY,2935,33976,1987,40,750,,Sold,,,http://www.redfin.com/CA/Redwood-City/632-Palomar-Dr-94062/home/1370601,MLSListings,ML81844257,N,Y,37.4816369,-122.2697088
PAST SALE,July-28-2021,Single Family Residential,160 Rogers Ave,SAN CARLOS,CA,94070,2150000,3,2.0,SAN CARLOS,1587,4840,1950,32,1355,,Sold,,,http://www.redfin.com/CA/San-Carlos/160-Rogers-Ave-94070/home/2042960,MLSListings,ML81850765,Y,Y,37.4907216,-122.2667845
PAST SALE,July-27-2021,Single Family Residential,2424 Saint Francis Way,SAN CARLOS,CA,94070,1800000,3,1.5,SAN CARLOS,1320,5225,1950,33,1364,,Sold,,,http://www.redfin.com/CA/San-Carlos/2424-St-Francis-Way-94070/home/1699652,MLSListings,ML81849902,Y,Y,37.4854659,-122.2584984
PAST SALE,,Single Family Residential,24 Sunnydale Ave,San Carlos,CA,94070,2200000,3,2.0,,1900,5500,1929,,1158,,,,,http://www.redfin.com/CA/San-Carlos/24-Sunnydale-Ave-94070/home/1059639,,,N,Y,37.4929979,-122.2472869
PAST SALE,April-15-2021,Single Family Residential,302 Edgewood Rd,REDWOOD CITY,CA,94062,2948000,4,2.5,REDWOOD CITY,2560,6710,1930,136,1152,,Sold,,,http://www.redfin.com/CA/Redwood-City/302-Edgewood-Rd-94062/home/1983869,MLSListings,ML81832641,N,Y,37.4898112,-122.2459574
PAST SALE,July-21-2021,Single Family Residential,215 Oakdale St,REDWOOD CITY,CA,94062,2100000,4,3.0,REDWOOD CITY,2100,6160,1930,39,1000,,Sold,,,http://www.redfin.com/CA/Redwood-City/215-Oakdale-St-94062/home/805738,MLSListings,ML81848500,Y,Y,37.4899203,-122.2460903
PAST SALE,June-22-2021,Single Family Residential,202 Timothy Dr,SAN CARLOS,CA,94070,3000000,4,2.5,SAN CARLOS,2543,7644,1973,68,1180,,Sold,,,http://www.redfin.com/CA/San-Carlos/202-Timothy-Dr-94070/home/1616412,MLSListings,ML81843935,N,Y,37.4841837,-122.2616002
PAST SALE,June-18-2021,Single Family Residential,1318 Pebble Dr,SAN CARLOS,CA,94070,2775000,3,2.0,SAN CARLOS,1760,9798,1968,72,1577,,Sold,,,http://www.redfin.com/CA/San-Carlos/1318-Pebble-Dr-94070/home/794458,MLSListings,ML81846294,Y,Y,37.4800237,-122.2789243
PAST SALE,June-7-2021,Single Family Residential,255 Ruby Ave,SAN CARLOS,CA,94070,3000000,4,3.5,SAN CARLOS,2207,4400,1946,83,1359,,Sold,,,http://www.redfin.com/CA/San-Carlos/255-Ruby-Ave-94070/home/797203,MLSListings,ML81842313,N,Y,37.4858666,-122.2552193
PAST SALE,,Single Family Residential,215 Ruby Ave,San Carlos,CA,94070,735000,3,2.0,,1790,8800,1942,,411,,,,,http://www.redfin.com/CA/San-Carlos/215-Ruby-Ave-94070/home/1725849,,,N,Y,37.4864602,-122.2559726
PAST SALE,April-7-2021,Single Family Residential,30 Avondale Ave,REDWOOD CITY,CA,94062,2850000,5,4.5,REDWOOD CITY,3447,6650,2020,144,827,,Sold,,,http://www.redfin.com/CA/Redwood-City/30-Avondale-Ave-94062/home/1434255,MLSListings,ML81824257,N,Y,37.4922104,-122.2436085
PAST SALE,May-10-2021,Single Family Residential,2901 Franciscan Ct,SAN CARLOS,CA,94070,2200000,4,2.5,SAN CARLOS,2280,6120,1957,111,965,,Sold,,,http://www.redfin.com/CA/San-Carlos/2901-Franciscan-Ct-94070/home/1332640,MLSListings,ML81836737,N,Y,37.4852129,-122.2671832
PAST SALE,April-12-2021,Single Family Residential,35 Elston Ct,SAN CARLOS,CA,94070,2890000,3,2.0,SAN CARLOS,2550,6300,1979,139,1133,,Sold,,,http://www.redfin.com/CA/San-Carlos/35-Elston-Ct-94070/home/1903622,MLSListings,ML81832483,N,Y,37.4977805,-122.2770846
