SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,1498 Wright Ave,Sunnyvale,CA,94087,2560000,3,2.0,,2004,7923,1955,,1277,,,,,http://www.redfin.com/CA/Sunnyvale/1498-Wright-Ave-94087/home/1622275,,,N,Y,37.3450731,-122.0548244
PAST SALE,June-24-2021,Single Family Residential,1097 Butte Ct,SUNNYVALE,CA,94087,2150000,3,2.0,SUNNYVALE,1900,8473,1958,66,1132,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1097-Butte-Ct-94087/home/1714008,MLSListings,ML81843283,N,Y,37.3491483,-122.0593527
PAST SALE,,Single Family Residential,1010 Robin Way,Sunnyvale,CA,94087,2890000,3,3.0,,2235,9020,1954,,1293,,,,,http://www.redfin.com/CA/Sunnyvale/1010-Robin-Way-94087/home/1717713,,,N,Y,37.3635991,-122.0599076
PAST SALE,July-22-2021,Single Family Residential,1720 Laurentian Way,SUNNYVALE,CA,94087,2500000,6,3.0,SUNNYVALE,2940,8681,1968,38,850,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1720-Laurentian-Way-94087/home/1344568,MLSListings,ML81835748,N,Y,37.3366543,-122.0509397
PAST SALE,August-5-2021,Single Family Residential,979 Chelan Dr,Sunnyvale,CA,94087,2425000,3,2.0,Sunnyvale,1235,8134,1955,24,1964,,Sold,,,http://www.redfin.com/CA/Sunnyvale/979-Chelan-Dr-94087/home/1243467,San Francisco MLS,421566919,N,Y,37.3464834,-122.0537589
PAST SALE,April-2-2021,Single Family Residential,1111 Lynn Way,SUNNYVALE,CA,94087,2200000,3,2.0,SUNNYVALE,1272,6259,1955,149,1730,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1111-Lynn-Way-94087/home/652848,MLSListings,ML81830574,N,Y,37.368555,-122.0548688
PAST SALE,April-16-2021,Single Family Residential,1075 Rockefeller Dr,SUNNYVALE,CA,94087,2629727,4,3.0,SUNNYVALE,1957,8392,1961,135,1344,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1075-Rockefeller-Dr-94087/home/1094434,MLSListings,ML81835002,N,Y,37.3589929,-122.0569554
PAST SALE,,Single Family Residential,1090 Remsen Ct,Sunnyvale,CA,94087,3101000,4,3.0,,2442,9151,1961,,1270,,,,,http://www.redfin.com/CA/Sunnyvale/1090-Remsen-Ct-94087/home/1294249,,,N,Y,37.3586577,-122.0580652
PAST SALE,,Single Family Residential,1409 Enderby Way,Sunnyvale,CA,94087,2680000,4,3.0,,1728,8000,1956,,1551,,,,,http://www.redfin.com/CA/Sunnyvale/1409-Enderby-Way-94087/home/1227056,,,N,Y,37.3473977,-122.0562007
PAST SALE,June-10-2021,Single Family Residential,897 Helena Dr,SUNNYVALE,CA,94087,3060000,4,2.0,SUNNYVALE,1570,11922,1957,80,1949,,Sold,,,http://www.redfin.com/CA/Sunnyvale/897-Helena-Dr-94087/home/800869,MLSListings,ML81844568,N,Y,37.3412627,-122.0507843
PAST SALE,August-13-2021,Single Family Residential,1152 Parkington Ave,SUNNYVALE,CA,94087,2375000,4,3.0,SUNNYVALE,1499,6646,1955,16,1584,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1152-Parkington-Ave-94087/home/1247113,MLSListings,ML81847317,N,Y,37.3690185,-122.0560675
PAST SALE,,Single Family Residential,1157 Parkington Ave,Sunnyvale,CA,94087,2375000,3,2.0,,1473,6771,1955,,1612,,,,,http://www.redfin.com/CA/Sunnyvale/1157-Parkington-Ave-94087/home/1659890,,,N,Y,37.3694554,-122.0561119
PAST SALE,August-2-2021,Single Family Residential,1758 Heron Ave,SUNNYVALE,CA,94087,2120000,3,2.0,SUNNYVALE,1545,6896,1959,27,1372,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1758-Heron-Ave-94087/home/1056082,MLSListings,ML81850665,N,Y,37.3349065,-122.019213
PAST SALE,August-5-2021,Single Family Residential,1136 Northumberland Dr,SUNNYVALE,CA,94087,3650000,5,4.5,SUNNYVALE,3027,7621,2021,24,1206,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1136-Northumberland-Dr-94087/home/869406,MLSListings,ML81841385,N,Y,37.3609201,-122.0587756
PAST SALE,June-1-2021,Single Family Residential,1508 Condor Way,SUNNYVALE,CA,94087,2650000,5,2.5,SUNNYVALE,2097,6346,1970,89,1264,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1508-Condor-Way-94087/home/1752476,MLSListings,ML81840395,N,Y,37.3445,-122.0252527
PAST SALE,August-4-2021,Single Family Residential,1532 Cormorant Ct,Sunnyvale,CA,94087,2668000,4,2.5,Sunnyvale,2097,7276,1970,25,1272,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1532-Cormorant-Ct-94087/home/1200007,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40949337,N,Y,37.3435129,-122.0245421
PAST SALE,,Single Family Residential,583 Dublin Way,Sunnyvale,CA,94087,2800000,3,2.0,,1762,6828,1961,,1589,,,,,http://www.redfin.com/CA/Sunnyvale/583-Dublin-Way-94087/home/1048392,,,N,Y,37.3463539,-122.0276951
PAST SALE,April-5-2021,Single Family Residential,1326 Dunnock Way,SUNNYVALE,CA,94087,2683000,4,2.0,SUNNYVALE,1830,8950,1963,146,1466,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1326-Dunnock-Way-94087/home/1530249,MLSListings,ML81832498,N,Y,37.3509308,-122.0247198
PAST SALE,April-30-2021,Single Family Residential,811 Selkirk Pl,SUNNYVALE,CA,94087,2570000,4,2.0,SUNNYVALE,1751,9992,1959,121,1468,,Sold,,,http://www.redfin.com/CA/Sunnyvale/811-Selkirk-Pl-94087/home/762200,MLSListings,ML81835421,N,Y,37.335735,-122.018458
PAST SALE,August-26-2021,Single Family Residential,1476 Flamingo Way,SUNNYVALE,CA,94087,2400000,4,2.0,SUNNYVALE,1690,6534,1961,3,1420,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1476-Flamingo-Way-94087/home/1064693,MLSListings,ML81856526,N,Y,37.3458518,-122.0214557
PAST SALE,April-29-2021,Single Family Residential,406 Central Ave,SUNNYVALE,CA,94086,1850000,3,1.0,SUNNYVALE,1713,5736,1948,122,1080,,Sold,,,http://www.redfin.com/CA/Sunnyvale/406-Central-Ave-94086/home/665442,MLSListings,ML81835797,N,Y,37.3714828,-122.0244089
PAST SALE,August-12-2021,Single Family Residential,1308 Yarmouth Ter,SUNNYVALE,CA,94087,1740000,4,2.5,SUNNYVALE,1705,3153,1994,17,1021,155,Sold,,,http://www.redfin.com/CA/Sunnyvale/1308-Yarmouth-Ter-94087/home/1792316,MLSListings,ML81841165,N,Y,37.3507959,-122.0327574
PAST SALE,April-8-2021,Single Family Residential,1545 Orillia Ct,SUNNYVALE,CA,94087,3102000,4,3.0,SUNNYVALE,2590,8925,1965,143,1198,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1545-Orillia-Ct-94087/home/1815228,MLSListings,ML81831509,N,Y,37.3435488,-122.0397287
PAST SALE,April-9-2021,Single Family Residential,823 Rubis Dr,SUNNYVALE,CA,94087,3025000,6,3.0,SUNNYVALE,2270,6209,1965,142,1333,,Sold,,,http://www.redfin.com/CA/Sunnyvale/823-Rubis-Dr-94087/home/1079495,MLSListings,ML81829991,N,Y,37.3657469,-122.0409276
PAST SALE,August-9-2021,Single Family Residential,612 Princeton Dr,SUNNYVALE,CA,94087,2706000,5,2.5,SUNNYVALE,2415,7118,1966,20,1120,,Sold,,,http://www.redfin.com/CA/Sunnyvale/612-Princeton-Dr-94087/home/1462566,MLSListings,ML81851172,N,Y,37.3595725,-122.0375086
PAST SALE,,Single Family Residential,1524 Hollenbeck Ave,Sunnyvale,CA,94087,2300000,4,2.0,,1837,7997,1965,,1252,,,,,http://www.redfin.com/CA/Sunnyvale/1524-Hollenbeck-Ave-94087/home/771854,,,N,Y,37.344131,-122.0412828
PAST SALE,March-23-2021,Single Family Residential,343 Beemer Ave,SUNNYVALE,CA,94086,2200000,4,2.5,SUNNYVALE,1989,4600,2002,159,1106,,Sold,,,http://www.redfin.com/CA/Sunnyvale/343-Beemer-Ave-94086/home/685598,MLSListings,ML81829187,N,Y,37.3812169,-122.0318249
PAST SALE,June-1-2021,Single Family Residential,562 Morse Ave,SUNNYVALE,CA,94085,1800000,5,3.5,SUNNYVALE,2317,5184,1950,89,777,,Sold,,,http://www.redfin.com/CA/Sunnyvale/562-Morse-Ave-94085/home/869517,MLSListings,ML81839570,N,Y,37.3880918,-122.0202344
PAST SALE,May-27-2021,Single Family Residential,983 Carson Dr,SUNNYVALE,CA,94086,2010000,3,2.0,SUNNYVALE,1305,6041,1956,94,1540,,Sold,,,http://www.redfin.com/CA/Sunnyvale/983-Carson-Dr-94086/home/578578,MLSListings,ML81839772,N,Y,37.3811114,-122.0444796
PAST SALE,June-11-2021,Single Family Residential,571 S Taaffe St,SUNNYVALE,CA,94086,1415000,2,1.0,SUNNYVALE,1040,5000,1932,79,1361,,Sold,,,http://www.redfin.com/CA/Sunnyvale/571-S-Taaffe-St-94086/home/664903,MLSListings,ML81839271,N,Y,37.3697064,-122.035022
PAST SALE,June-9-2021,Single Family Residential,477 S Taaffe St,SUNNYVALE,CA,94086,1400000,2,1.0,SUNNYVALE,896,5774,1948,81,1563,,Sold,,,http://www.redfin.com/CA/Sunnyvale/477-S-Taaffe-St-94086/home/1010084,MLSListings,ML81837810,N,Y,37.3717559,-122.0343458
PAST SALE,May-20-2021,Single Family Residential,580 Sunnymount Ave,SUNNYVALE,CA,94087,2050000,4,2.0,SUNNYVALE,1820,8731,1949,101,1126,,Sold,,,http://www.redfin.com/CA/Sunnyvale/580-Sunnymount-Ave-94087/home/1255072,MLSListings,ML81839713,N,Y,37.3596059,-122.0358435
PAST SALE,June-17-2021,Single Family Residential,588 Utica Ct,SUNNYVALE,CA,94087,3100000,4,3.0,SUNNYVALE,1986,9062,1967,73,1561,,Sold,,,http://www.redfin.com/CA/Sunnyvale/588-Utica-Ct-94087/home/1423322,MLSListings,ML81844697,N,Y,37.3554862,-122.0359989
PAST SALE,May-5-2021,Single Family Residential,1127 W Iowa Ave,SUNNYVALE,CA,94086,2011000,3,2.0,SUNNYVALE,1214,5662,1955,116,1657,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1127-W-Iowa-Ave-94086/home/547553,MLSListings,ML81834904,N,Y,37.3769048,-122.0520718
PAST SALE,March-17-2021,Single Family Residential,1033 Fuller Ter,SUNNYVALE,CA,94086,1600000,3,4.0,SUNNYVALE,1697,1900,2005,165,943,180,Sold,,,http://www.redfin.com/CA/Sunnyvale/1033-Fuller-Ter-94086/home/1670567,MLSListings,ML81825543,N,Y,37.3793269,-122.0469591
PAST SALE,April-7-2021,Single Family Residential,969 Sutter Ave,SUNNYVALE,CA,94086,2261000,4,2.5,SUNNYVALE,1756,5500,1954,144,1288,,Sold,,,http://www.redfin.com/CA/Sunnyvale/969-Sutter-Ave-94086/home/1523958,MLSListings,ML81829008,N,Y,37.3749813,-122.0463888
PAST SALE,July-27-2021,Single Family Residential,1230 Sesame Ct,SUNNYVALE,CA,94087,2325000,4,2.0,SUNNYVALE,1559,10855,1961,33,1491,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1230-Sesame-Ct-94087/home/656630,MLSListings,ML81850410,N,Y,37.3528132,-122.0382634
PAST SALE,March-11-2021,Single Family Residential,1561 Reston Ter,SUNNYVALE,CA,94087,2010000,3,2.5,SUNNYVALE,1809,3095,2007,171,1111,97,Sold,,,http://www.redfin.com/CA/Sunnyvale/1561-Reston-Ter-94087/home/23043335,MLSListings,ML81830993,N,Y,37.3426099,-122.0378638
PAST SALE,May-14-2021,Single Family Residential,486 Vine Ave,SUNNYVALE,CA,94086,1570000,3,2.0,SUNNYVALE,1559,5000,1943,107,1007,,Sold,,,http://www.redfin.com/CA/Sunnyvale/486-Vine-Ave-94086/home/664811,MLSListings,ML81825600,N,Y,37.3709455,-122.0256301
PAST SALE,,Single Family Residential,851 S Mary Ave,Sunnyvale,CA,94087,1850000,3,2.0,,1240,6544,1954,,1492,,,,,http://www.redfin.com/CA/Sunnyvale/851-S-Mary-Ave-94087/home/1603200,,,N,Y,37.3660037,-122.0505179
PAST SALE,June-1-2021,Single Family Residential,1720 Karameos Dr,SUNNYVALE,CA,94087,2900000,4,4.0,SUNNYVALE,2138,8630,1962,89,1356,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1720-Karameos-Dr-94087/home/1499822,MLSListings,ML81833860,N,Y,37.3367457,-122.0538699
PAST SALE,August-4-2021,Single Family Residential,1020 W Homestead Rd,SUNNYVALE,CA,94087,2200000,3,2.0,SUNNYVALE,1350,8490,1957,25,1630,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1020-W-Homestead-Rd-94087/home/772516,MLSListings,ML81848676,N,Y,37.3372138,-122.0561119
PAST SALE,May-3-2021,Single Family Residential,1673 Kamsack Dr,SUNNYVALE,CA,94087,2680000,3,2.0,SUNNYVALE,1544,9117,1961,118,1736,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1673-Kamsack-Dr-94087/home/1430822,MLSListings,ML81837085,N,Y,37.3385544,-122.0529153
PAST SALE,,Single Family Residential,1153 Susan Way,Sunnyvale,CA,94087,1500000,3,2.0,,1272,5880,1955,,1179,,,,,http://www.redfin.com/CA/Sunnyvale/1153-Susan-Way-94087/home/1576065,,,N,Y,37.368024,-122.0563782
PAST SALE,June-29-2021,Single Family Residential,1319 Cuernavaca Circulo,Mountain View,CA,94040,2406000,3,3.0,Mountain View,2022,4484,1985,61,1190,310,Sold,,,http://www.redfin.com/CA/Mountain-View/1319-Cuernavaca-Circulo-94040/home/810490,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40951066,N,Y,37.372103,-122.060126
PAST SALE,April-19-2021,Single Family Residential,1115 Bennington Dr,SUNNYVALE,CA,94087,2420000,5,3.0,SUNNYVALE,2373,7526,1956,132,1020,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1115-Bennington-Dr-94087/home/652810,MLSListings,ML81831711,N,Y,37.3700615,-122.0546024
PAST SALE,,Single Family Residential,877 Shirley Ave,Sunnyvale,CA,94086,1200000,4,3.0,,1602,6218,1950,,749,,,,,http://www.redfin.com/CA/Sunnyvale/877-Shirley-Ave-94086/home/1575610,,,N,Y,37.3854647,-122.0388851
PAST SALE,July-9-2021,Single Family Residential,894 Lori Ave,SUNNYVALE,CA,94086,1500000,3,1.0,SUNNYVALE,1000,5000,1950,51,1500,,Sold,,,http://www.redfin.com/CA/Sunnyvale/894-Lori-Ave-94086/home/628220,MLSListings,ML81847096,N,Y,37.3843175,-122.0399507
PAST SALE,May-28-2021,Single Family Residential,890 Lori Ave,SUNNYVALE,CA,94086,1450000,3,1.0,SUNNYVALE,1000,5000,1950,93,1450,,Sold,,,http://www.redfin.com/CA/Sunnyvale/890-Lori-Ave-94086/home/1772404,MLSListings,ML81841814,N,Y,37.3842961,-122.0397731
PAST SALE,June-17-2021,Single Family Residential,418 Peralta Ave,SUNNYVALE,CA,94086,2320000,4,2.0,SUNNYVALE,1581,5500,1954,73,1467,,Sold,,,http://www.redfin.com/CA/Sunnyvale/418-Peralta-Ave-94086/home/627883,MLSListings,ML81843114,N,Y,37.3734002,-122.042304
PAST SALE,July-13-2021,Single Family Residential,489 Rincon Ave,SUNNYVALE,CA,94086,2037750,3,2.5,SUNNYVALE,1750,6187,1956,47,1164,,Sold,,,http://www.redfin.com/CA/Sunnyvale/489-Rincon-Ave-94086/home/672921,MLSListings,ML81843453,N,Y,37.3717517,-122.0415492
