SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-14-2021,Single Family Residential,18 Ethel Ct,REDWOOD CITY,CA,94061,2850000,3,2.0,REDWOOD CITY,2150,11016,1954,107,1326,,Sold,,,http://www.redfin.com/CA/Redwood-City/18-Ethel-Ct-94061/home/1926850,MLSListings,ML81840977,N,Y,37.4559606,-122.2424563
PAST SALE,July-7-2021,Single Family Residential,1686 Maryland St,REDWOOD CITY,CA,94061,2050000,4,2.5,REDWOOD CITY,1780,6050,1951,53,1152,,Sold,,,http://www.redfin.com/CA/Redwood-City/1686-Maryland-St-94061/home/1072327,MLSListings,ML81843808,N,Y,37.4547019,-122.2374925
PAST SALE,July-29-2021,Single Family Residential,1838 Alameda De Las Pulgas,REDWOOD CITY,CA,94061,1515000,3,1.0,REDWOOD CITY,1030,6240,1952,31,1471,,Sold,,,http://www.redfin.com/CA/Redwood-City/1838-Alameda-de-las-Pulgas-94061/home/1351599,MLSListings,ML81847437,N,Y,37.4523725,-122.2356753
PAST SALE,June-9-2021,Single Family Residential,642 Woodside Way,WOODSIDE,CA,94062,4800000,4,3.5,WOODSIDE,3715,22651,1936,81,1292,,Sold,,,http://www.redfin.com/CA/Woodside/642-Woodside-Way-94062/home/1568196,MLSListings,ML81841728,N,Y,37.4511444,-122.2742945
PAST SALE,May-25-2021,Single Family Residential,310 Kings Mountain Rd,WOODSIDE,CA,94062,9500000,5,5.5,WOODSIDE,5893,130680,1964,96,1612,,Sold,,,http://www.redfin.com/CA/Woodside/310-Kings-Mountain-Rd-94062/home/1876925,MLSListings,ML81804305,N,Y,37.4305639,-122.2718134
PAST SALE,,Single Family Residential,789 Canada Rd,Woodside,CA,94062,1700000,3,1.0,,1240,15246,1946,,1371,,,,,http://www.redfin.com/CA/Woodside/789-Canada-Rd-94062/home/1926768,,,N,Y,37.4512621,-122.27888
PAST SALE,June-22-2021,Single Family Residential,800 Patrol,WOODSIDE,CA,94062,3050000,3,3.0,WOODSIDE,2630,64033,1963,68,1160,,Sold,,,http://www.redfin.com/CA/Woodside/800-Patrol-Rd-94062/home/1634210,MLSListings,ML81850270,N,Y,37.4312862,-122.2885378
PAST SALE,July-29-2021,Single Family Residential,790 Patrol Rd,WOODSIDE,CA,94062,3198000,4,3.5,WOODSIDE,3030,53579,1959,31,1055,,Sold,,,http://www.redfin.com/CA/Woodside/790-Patrol-Rd-94062/home/1028332,MLSListings,ML81848744,N,Y,37.4316864,-122.2879619
PAST SALE,July-2-2021,Single Family Residential,170 Woodside Dr,WOODSIDE,CA,94062,4250000,5,4.5,WOODSIDE,3200,44895,1955,58,1328,16,Sold,,,http://www.redfin.com/CA/Woodside/170-Woodside-Dr-94062/home/1269189,MLSListings,ML81842615,N,Y,37.4516404,-122.2393096
PAST SALE,June-29-2021,Single Family Residential,2828 Carolina Ave,REDWOOD CITY,CA,94061,1675000,3,1.0,REDWOOD CITY,1206,7302,1951,61,1389,,Sold,,,http://www.redfin.com/CA/Redwood-City/2828-Carolina-Ave-94061/home/1926841,MLSListings,ML81844695,N,Y,37.4508713,-122.2331046
