SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-14-2021,Single Family Residential,14531 La Honda Rd,WOODSIDE,CA,94062,1350000,3,2.0,WOODSIDE,1760,32900,1987,15,767,,Sold,,,http://www.redfin.com/CA/Woodside/14531-La-Honda-Rd-94062/home/897585,MLSListings,ML81853650,N,Y,37.382621,-122.264237
PAST SALE,September-10-2021,Single Family Residential,1325 College Ave,PALO ALTO,CA,94306,2300000,2,1.0,PALO ALTO,1140,5750,1926,19,2018,,Sold,,,http://www.redfin.com/CA/Palo-Alto/1325-College-Ave-94306/home/1253776,MLSListings,ML81855903,Y,Y,37.4198144,-122.1526289
PAST SALE,September-27-2021,Single Family Residential,123 Alexander Ave,REDWOOD CITY,CA,94061,1750000,3,1.5,REDWOOD CITY,1150,5100,1949,2,1522,,Sold,,,http://www.redfin.com/CA/Redwood-City/123-Alexander-Ave-94061/home/846538,MLSListings,ML81859866,N,Y,37.4586245,-122.2258355
PAST SALE,August-30-2021,Single Family Residential,1123 Hollyburne Ave,MENLO PARK,CA,94025,920000,2,1.0,MENLO PARK,780,5750,1949,30,1179,,Sold,,,http://www.redfin.com/CA/Menlo-Park/1123-Hollyburne-Ave-94025/home/2034464,MLSListings,ML81854749,N,Y,37.4728869,-122.1593264
PAST SALE,September-14-2021,Single Family Residential,5 Vera Ct,REDWOOD CITY,CA,94061,1500000,3,2.0,REDWOOD CITY,1695,4800,1924,15,885,,Sold,,,http://www.redfin.com/CA/Redwood-City/5-Vera-Ct-94061/home/1991748,MLSListings,ML81855666,Y,Y,37.4796231,-122.229531
PAST SALE,September-9-2021,Single Family Residential,46 Skyline Dr,WOODSIDE,CA,94062,1320000,3,2.0,WOODSIDE,1645,17800,1926,20,802,,Sold,,,http://www.redfin.com/CA/Redwood-City/46-Skyline-Dr-94062/home/1525083,MLSListings,ML81849523,N,Y,37.3782474,-122.2607969
PAST SALE,September-2-2021,Single Family Residential,1751 Cherrytree Ln,MOUNTAIN VIEW,CA,94040,3250000,4,3.0,MOUNTAIN VIEW,1975,6421,1954,27,1646,,Sold,,,http://www.redfin.com/CA/Mountain-View/1751-Cherrytree-Ln-94040/home/1722584,MLSListings,ML81854718,N,Y,37.3721796,-122.0903575
PAST SALE,,Single Family Residential,26455 St Francis Rd,Los Altos Hills,CA,94022,5000000,5,3.0,,2514,46441,1960,,1989,,,,,http://www.redfin.com/CA/Los-Altos-Hills/26455-St-Francis-Rd-94022/home/821490,,,N,Y,37.3858881,-122.1399646
PAST SALE,,Single Family Residential,11556 Hillpark Ln,Los Altos Hills,CA,94024,4000000,3,3.0,,2951,43922,1978,,1355,,,,,http://www.redfin.com/CA/Los-Altos-Hills/11556-Hillpark-Ln-94024/home/871698,,,N,Y,37.3469389,-122.1045423
PAST SALE,September-21-2021,Single Family Residential,25608 Deerfield Dr,LOS ALTOS HILLS,CA,94022,6875000,5,6.0,LOS ALTOS HILLS,4334,14427,2016,8,1586,,Sold,,,http://www.redfin.com/CA/Los-Altos-Hills/25608-Deerfield-Dr-94022/home/108567101,MLSListings,ML81860853,N,Y,37.3751382,-122.1222852
PAST SALE,September-7-2021,Single Family Residential,774 Stone Ln,PALO ALTO,CA,94303,4250000,4,3.0,PALO ALTO,1823,9046,1956,22,2331,,Sold,,,http://www.redfin.com/CA/Palo-Alto/774-Stone-Ln-94303/home/1690321,MLSListings,ML81858288,N,Y,37.4274921,-122.1151861
PAST SALE,September-23-2021,Single Family Residential,2947 Clara Dr,PALO ALTO,CA,94303,4100000,4,3.0,PALO ALTO,2497,6600,2004,6,1642,,Sold,,,http://www.redfin.com/CA/Palo-Alto/2947-Clara-Dr-94303/home/1465815,MLSListings,ML81854248,N,Y,37.4377937,-122.1189132
PAST SALE,September-1-2021,Single Family Residential,215 Angela Dr,LOS ALTOS,CA,94022,4400000,3,3.0,LOS ALTOS,2080,13426,1950,28,2115,,Sold,,,http://www.redfin.com/CA/Los-Altos/215-Angela-Dr-94022/home/935052,MLSListings,ML81852153,N,Y,37.3834736,-122.1093733
PAST SALE,August-30-2021,Single Family Residential,1415 Alameda De Las Pulgas,REDWOOD CITY,CA,94061,1600000,3,1.0,REDWOOD CITY,1120,6634,1952,30,1429,,Sold,,,http://www.redfin.com/CA/Redwood-City/1415-Alameda-de-las-Pulgas-94061/home/1953189,MLSListings,ML81855367,N,Y,37.4582045,-122.2403733
PAST SALE,September-1-2021,Single Family Residential,1133 Ebener St,REDWOOD CITY,CA,94061,1600000,3,2.0,REDWOOD CITY,1447,3990,1925,28,1106,,Sold,,,http://www.redfin.com/CA/Redwood-City/1133-Ebener-St-94061/home/1406705,MLSListings,ML81852563,N,Y,37.4745884,-122.2299577
PAST SALE,September-13-2021,Single Family Residential,261 Pacific Ave,REDWOOD CITY,CA,94063,1315000,3,2.0,REDWOOD CITY,1260,5800,1988,16,1044,,Sold,,,http://www.redfin.com/CA/Redwood-City/261-Pacific-Ave-94063/home/816243,MLSListings,ML81858699,N,Y,37.4746978,-122.2115173
PAST SALE,September-2-2021,Single Family Residential,644 Barbour Dr,REDWOOD CITY,CA,94062,3900000,5,3.5,REDWOOD CITY,4073,21605,1990,27,958,,Sold,,,http://www.redfin.com/CA/Redwood-City/644-Barbour-Dr-94062/home/2056413,MLSListings,ML81853879,N,Y,37.4719801,-122.257014
PAST SALE,,Single Family Residential,97 Mesa Ct,Atherton,CA,94027,7700000,5,3.0,,2860,57064,1962,,2692,,,,,http://www.redfin.com/CA/Atherton/97-Mesa-Ct-94027/home/1463433,,,N,Y,37.438956,-122.223597
PAST SALE,September-3-2021,Single Family Residential,309 Hillside Dr,WOODSIDE,CA,94062,2725000,4,3.0,WOODSIDE,2108,9500,1930,26,1293,,Sold,,,http://www.redfin.com/CA/Woodside/309-Hillside-Dr-94062/home/1155183,MLSListings,ML81856406,N,Y,37.438067,-122.2570804
PAST SALE,September-3-2021,Single Family Residential,498 Walsh Road Rd,ATHERTON,CA,94027,7799000,6,5.5,ATHERTON,6210,50240,1982,26,1256,,Sold,,,http://www.redfin.com/CA/Atherton/498-Walsh-Rd-94027/home/1909880,MLSListings,ML81855560,N,Y,37.4249704,-122.2259906
PAST SALE,September-2-2021,Single Family Residential,270 Cuesta Dr,LOS ALTOS,CA,94022,3825000,3,2.5,LOS ALTOS,2369,13415,1961,27,1615,,Sold,,,http://www.redfin.com/CA/Los-Altos/270-Cuesta-Dr-94022/home/1463539,MLSListings,ML81857995,N,Y,37.3738328,-122.1094399
PAST SALE,September-3-2021,Single Family Residential,170 Cherokee Way,PORTOLA VALLEY,CA,94028,4500000,3,2.5,PORTOLA VALLEY,2645,47916,1986,26,1701,,Sold,,,http://www.redfin.com/CA/Portola-Valley/170-Cherokee-Way-94028/home/1785221,MLSListings,ML81855039,N,Y,37.3805446,-122.2121601
PAST SALE,September-3-2021,Single Family Residential,30 Firethorn Way,PORTOLA VALLEY,CA,94028,5900000,5,4.5,PORTOLA VALLEY,4350,43560,1965,26,1356,,Sold,,,http://www.redfin.com/CA/Portola-Valley/30-Firethorn-Way-94028/home/2057554,MLSListings,ML81856040,N,Y,37.3756664,-122.2010768
PAST SALE,,Single Family Residential,3378 Tryna Dr,Mountain View,CA,94040,3560000,5,3.0,,2834,8193,1977,,1256,,,,,http://www.redfin.com/CA/Mountain-View/3378-Tryna-Dr-94040/home/647633,,,N,Y,37.3624006,-122.0671658
PAST SALE,September-16-2021,Single Family Residential,3424 Ridgemont Dr,MOUNTAIN VIEW,CA,94040,4336000,4,2.5,MOUNTAIN VIEW,2588,8527,1968,13,1675,,Sold,,,http://www.redfin.com/CA/Mountain-View/3424-Ridgemont-Dr-94040/home/646477,MLSListings,ML81856850,N,Y,37.3597469,-122.0721596
