SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-3-2022,Single Family Residential,2023 Oregon Ave,REDWOOD CITY,CA,94061,2580000,3,2.0,REDWOOD CITY,1870,6968,1951,10,1380,,Sold,,,https://www.redfin.com/CA/Redwood-City/2023-Oregon-Ave-94061/home/838078,MLSListings,ML81870117,Y,Y,37.4624724,-122.2354537
PAST SALE,December-3-2021,Single Family Residential,3618 Midfield Way,REDWOOD CITY,CA,94062,3150000,4,3.5,REDWOOD CITY,2960,13031,1958,41,1064,,Sold,,,https://www.redfin.com/CA/Redwood-City/3618-Midfield-Way-94062/home/2005884,MLSListings,ML81870704,N,Y,37.4676543,-122.2520508
PAST SALE,November-5-2021,Single Family Residential,437 E Oakwood Blvd,REDWOOD CITY,CA,94061,1550000,3,1.5,REDWOOD CITY,1450,7847,1957,69,1069,,Sold,,,https://www.redfin.com/CA/Redwood-City/437-E-Oakwood-Blvd-94061/home/143944539,MLSListings,ML81858305,N,Y,37.4674741,-122.2142215
PAST SALE,,Single Family Residential,2674 Thornhill Dr,San Carlos,CA,94070,2800000,4,3.0,,1975,5650,1949,,1418,,,,,https://www.redfin.com/CA/San-Carlos/2674-Thornhill-Dr-94070/home/1947129,,,N,Y,37.4873058,-122.2662084
PAST SALE,December-29-2021,Single Family Residential,1618 Lenolt St,REDWOOD CITY,CA,94063,1788000,2,2.0,REDWOOD CITY,1330,5000,1942,15,1344,,Sold,,,https://www.redfin.com/CA/Redwood-City/1618-Lenolt-St-94063/home/804827,MLSListings,ML81871004,N,Y,37.4946724,-122.239088
PAST SALE,October-29-2021,Single Family Residential,182 Hillcrest Rd,SAN CARLOS,CA,94070,2400000,3,2.0,SAN CARLOS,1735,7810,1950,76,1383,,Sold,,,https://www.redfin.com/CA/San-Carlos/182-Hillcrest-Rd-94070/home/1886141,MLSListings,ML81864825,N,Y,37.5067687,-122.2720571
PAST SALE,October-22-2021,Single Family Residential,1651 Hull Dr,SAN CARLOS,CA,94070,1580000,3,1.5,SAN CARLOS,1380,5400,1951,83,1145,,Sold,,,https://www.redfin.com/CA/San-Carlos/1651-Hull-Dr-94070/home/770783,MLSListings,ML81863300,Y,Y,37.5081912,-122.2709494
PAST SALE,November-12-2021,Single Family Residential,121 Northam Ave,SAN CARLOS,CA,94070,3550000,5,3.5,SAN CARLOS,3420,6750,2005,62,1038,,Sold,,,https://www.redfin.com/CA/San-Carlos/121-Northam-Ave-94070/home/1971750,MLSListings,ML81866027,N,Y,37.5081185,-122.2756015
PAST SALE,January-6-2022,Single Family Residential,146 Hillcrest Rd,SAN CARLOS,CA,94070,1895000,2,1.0,SAN CARLOS,1250,17280,1950,7,1516,,Sold,,,https://www.redfin.com/CA/San-Carlos/146-Hillcrest-Rd-94070/home/768967,MLSListings,ML81871180,N,Y,37.5074803,-122.2725444
PAST SALE,November-4-2021,Single Family Residential,379 Portofino Dr,SAN CARLOS,CA,94070,3000000,3,2.0,SAN CARLOS,1920,20203,1963,70,1563,,Sold,,,https://www.redfin.com/CA/San-Carlos/379-Portofino-Dr-94070/home/2058021,MLSListings,ML81864401,N,Y,37.4923905,-122.2779939
PAST SALE,,Single Family Residential,274 Loma Rd,San Carlos,CA,94070,3030000,3,2.5,,1860,7760,1968,,1629,,,,,https://www.redfin.com/CA/San-Carlos/274-Loma-Rd-94070/home/1098731,,,N,Y,37.4843574,-122.2760002
PAST SALE,November-19-2021,Single Family Residential,3140 Brittan Ave,SAN CARLOS,CA,94070,2670000,3,2.5,SAN CARLOS,2210,11200,1966,55,1208,,Sold,,,https://www.redfin.com/CA/San-Carlos/3140-Brittan-Ave-94070/home/1926132,MLSListings,ML81866811,N,Y,37.4850034,-122.2792787
PAST SALE,November-17-2021,Single Family Residential,104 Loma Rd,SAN CARLOS,CA,94070,3450000,4,3.0,SAN CARLOS,2563,8125,1968,57,1346,,Sold,,,https://www.redfin.com/CA/San-Carlos/104-Loma-Rd-94070/home/795254,MLSListings,ML81867092,N,Y,37.4826813,-122.2746268
PAST SALE,December-7-2021,Single Family Residential,263 Loma Rd,SAN CARLOS,CA,94070,2651000,3,2.0,SAN CARLOS,1760,8880,1968,37,1506,,Sold,,,https://www.redfin.com/CA/San-Carlos/263-Loma-Rd-94070/home/1608429,MLSListings,ML81868753,N,Y,37.4838679,-122.2761332
PAST SALE,,Single Family Residential,955 Palomar Dr,Redwood City,CA,94062,1810000,3,2.0,,1700,19600,1961,,1065,,,,,https://www.redfin.com/CA/Redwood-City/955-Palomar-Dr-94062/home/806158,,,N,Y,37.4792622,-122.2741837
PAST SALE,November-29-2021,Single Family Residential,1110 Royal Ln,SAN CARLOS,CA,94070,2340000,3,2.5,SAN CARLOS,2880,3409,1985,45,813,506,Sold,,,https://www.redfin.com/CA/San-Carlos/1110-Royal-Ln-94070/home/1947151,MLSListings,ML81867877,N,Y,37.4818344,-122.2846393
