SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-4-2021,Townhouse,956 Bonita Ave #10,MOUNTAIN VIEW,CA,94040,1150000,2,1.5,MOUNTAIN VIEW,1126,2790,1978,86,1021,365,Sold,,,https://www.redfin.com/CA/Mountain-View/956-Bonita-Ave-94040/unit-10/home/647063,MLSListings,ML81864187,N,Y,37.3831554,-122.0810586
PAST SALE,November-10-2021,Townhouse,1921 Rock St #30,MOUNTAIN VIEW,CA,94043,928288,2,1.5,MOUNTAIN VIEW,972,458,1974,80,955,555,Sold,,,https://www.redfin.com/CA/Mountain-View/1921-Rock-St-94043/unit-30/home/1512636,MLSListings,ML81863895,N,Y,37.411993,-122.0882531
PAST SALE,November-10-2021,Condo/Co-op,255 S Rengstorff Ave #130,MOUNTAIN VIEW,CA,94040,775000,2,2.0,MOUNTAIN VIEW,1003,,1965,80,773,562,Sold,,,https://www.redfin.com/CA/Mountain-View/255-S-Rengstorff-Ave-94040/unit-130/home/940749,MLSListings,ML81851725,N,Y,37.4000438,-122.0990008
PAST SALE,December-7-2021,Single Family Residential,451 Wilton Ave,PALO ALTO,CA,94306,2518000,3,2.0,PALO ALTO,1475,7200,1942,53,1707,,Sold,,,https://www.redfin.com/CA/Palo-Alto/451-Wilton-Ave-94306/home/577787,MLSListings,ML81869597,Y,Y,37.4188367,-122.1319682
PAST SALE,January-25-2022,Condo/Co-op,675 Sharon Park Dr #141,MENLO PARK,CA,94025,900000,2,2.0,MENLO PARK,986,,1968,4,913,588,Sold,,,https://www.redfin.com/CA/Menlo-Park/675-Sharon-Park-Dr-94025/unit-141/home/983189,MLSListings,ML81869914,N,Y,37.4228505,-122.2014083
PAST SALE,December-16-2021,Multi-Family (2-4 Unit),1023 Dale Ave,MOUNTAIN VIEW,CA,94040,2400888,5,3.0,MOUNTAIN VIEW,2379,7131,1963,44,1009,,Sold,,,https://www.redfin.com/CA/Mountain-View/1023-Dale-Ave-94040/home/1137780,MLSListings,ML81869724,N,Y,37.3744538,-122.0628245
PAST SALE,,Multi-Family (2-4 Unit),830 Cowper St,Palo Alto,CA,94301,3500000,,,,3328,5749,1903,,1052,,,,,https://www.redfin.com/CA/Palo-Alto/830-Cowper-St-94301/home/1082292,,,N,Y,37.4454385,-122.1551128
PAST SALE,November-19-2021,Townhouse,551 Lytton Ave,PALO ALTO,CA,94301,2400000,3,2.5,PALO ALTO,1898,1075,1991,71,1264,567,Sold,,,https://www.redfin.com/CA/Palo-Alto/551-Lytton-Ave-94301/home/1320257,MLSListings,ML81865863,N,Y,37.449898,-122.160059
PAST SALE,,Condo/Co-op,334 Cowper St,Palo Alto,CA,94301,2135000,3,3.0,,1542,,1981,,1385,,,,,https://www.redfin.com/CA/Palo-Alto/334-Cowper-St-94301/home/589442,,,N,Y,37.449316,-122.161287
PAST SALE,November-2-2021,Condo/Co-op,119 Emerson St,PALO ALTO,CA,94301,1935000,2,2.0,PALO ALTO,1445,,1980,88,1339,1025,Sold,,,https://www.redfin.com/CA/Palo-Alto/119-Emerson-St-94301/home/589591,MLSListings,ML81856931,N,Y,37.4480999,-122.16741
