SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,2 Parkwood Dr,Atherton,CA,94027,7900000,5,5.0,,5100,42000,1952,,1549,,,,,https://www.redfin.com/CA/Atherton/2-Parkwood-Dr-94027/home/2022055,,,N,Y,37.4692054,-122.1694163
PAST SALE,November-4-2022,Single Family Residential,140 Stone Pine Ln,Menlo Park,CA,94025,1500000,3,2.5,MENLO PARK,1980,2002,1964,,758,183,Sold,,,https://www.redfin.com/CA/Menlo-Park/140-Stone-Pine-Ln-94025/home/850381,MLSListings,ML81912409,N,Y,37.4588213,-122.1911783
PAST SALE,,Single Family Residential,197 Oak Grove Ave,Atherton,CA,94027,15500000,5,6.0,,7722,54418,1928,,2007,,,,,https://www.redfin.com/CA/Atherton/197-Oak-Grove-Ave-94027/home/2039369,,,N,Y,37.4613501,-122.1796826
PAST SALE,,Single Family Residential,10 Spiros Way,Menlo Park,CA,94025,4200000,4,3.0,,2410,10100,1963,,1743,,,,,https://www.redfin.com/CA/Menlo-Park/10-Spiros-Way-94025/home/1762027,,,N,Y,37.4377233,-122.2077411
PAST SALE,,Single Family Residential,71 Linda Vista Ave,Atherton,CA,94027,19000000,3,7.0,,7975,47600,2003,,2382,,,,,https://www.redfin.com/CA/Atherton/71-Linda-Vista-Ave-94027/home/1892787,,,N,Y,37.4426026,-122.2091456
PAST SALE,,Single Family Residential,371 Cam Al Lago,Menlo Park,CA,94027,4550000,4,4.0,,2606,6000,2011,,1746,,,,,https://www.redfin.com/CA/Menlo-Park/371-Cam-Al-Lago-94027/home/1163335,,,N,Y,37.4357044,-122.2128029
PAST SALE,August-16-2022,Single Family Residential,2191 Mills Ave,Menlo Park,CA,94025,5200000,5,5.5,MENLO PARK,2957,6957,2022,,1759,,Sold,,,https://www.redfin.com/CA/Menlo-Park/2191-Mills-Ave-94025/home/1145702,MLSListings,ML81903975,N,Y,37.4350452,-122.212138
PAST SALE,June-23-2022,Single Family Residential,2161 Mills Ave,Menlo Park,CA,94025,5025000,4,3.5,MENLO PARK,2417,5026,2022,,2079,,Sold,,,https://www.redfin.com/CA/Menlo-Park/2161-Mills-Ave-94025/home/175877053,MLSListings,ML81897542,N,Y,37.4352864,-122.2119606
PAST SALE,,Single Family Residential,96 Isabella Ave,Atherton,CA,94027,19600000,7,8.0,,8090,77560,1965,,2423,,,,,https://www.redfin.com/CA/Atherton/96-Isabella-Ave-94027/home/17309142,,,N,Y,37.4553733,-122.2007664
PAST SALE,July-28-2022,Single Family Residential,516 Placitas Ave,Menlo Park,CA,94025,3225000,4,3.0,MENLO PARK,1970,11880,1959,,1637,,Sold,,,https://www.redfin.com/CA/Menlo-Park/516-Placitas-Ave-94025/home/1726552,MLSListings,ML81902219,N,Y,37.4724015,-122.196111
PAST SALE,October-19-2022,Single Family Residential,230 Felton Dr,Menlo Park,CA,94025,3300000,5,3.0,MENLO PARK,2290,10640,1948,,1441,,Sold,,,https://www.redfin.com/CA/Menlo-Park/230-Felton-Dr-94025/home/852404,MLSListings,ML81910946,N,Y,37.4631131,-122.1901474
PAST SALE,January-24-2022,Single Family Residential,7 Fair Oaks Ln,Atherton,CA,94027,6100000,7,5.5,ATHERTON,4505,17762,2021,,1354,,Sold,,,https://www.redfin.com/CA/Atherton/7-Fair-Oaks-Ln-94027/home/849807,MLSListings,ML81875499,N,Y,37.4626896,-122.2006556
PAST SALE,,Single Family Residential,107 Reservoir Rd,Atherton,CA,94027,7045000,5,4.0,,3750,58153,1986,,1879,,,,,https://www.redfin.com/CA/Atherton/107-Reservoir-Rd-94027/home/895929,,,N,Y,37.4296159,-122.2270322
PAST SALE,,Single Family Residential,420 Selby Ln,Atherton,CA,94027,22500000,4,6.0,,11721,47000,1978,,1920,,,,,https://www.redfin.com/CA/Atherton/420-Selby-Ln-94027/home/1135562,,,N,Y,37.4507419,-122.2124261
PAST SALE,,Single Family Residential,5 Light Way,Menlo Park,CA,94025,1550000,2,2.0,,1210,7000,1983,,1281,,,,,https://www.redfin.com/CA/Menlo-Park/5-Light-Way-94025/home/2043087,,,N,Y,37.4739017,-122.1987491
PAST SALE,,Single Family Residential,2 Camino Por Los Arboles,Atherton,CA,94027,5600000,3,4.0,,2190,11761,1941,,2557,,,,,https://www.redfin.com/CA/Atherton/2-Camino-Por-Los-Arboles-94027/home/2012010,,,N,Y,37.441046,-122.2050891
PAST SALE,October-21-2022,Single Family Residential,59 James Ave,Atherton,CA,94027,6500000,3,2.0,ATHERTON,3075,40002,1951,,2114,,Sold,,,https://www.redfin.com/CA/Atherton/59-James-Ave-94027/home/851203,MLSListings,ML81911170,N,Y,37.4700471,-122.185935
PAST SALE,January-10-2023,Single Family Residential,35 Hesketh Dr,Menlo Park,CA,94025,8900000,5,6.5,MENLO PARK,4683,10028,2023,,1900,,Sold,,,https://www.redfin.com/CA/Menlo-Park/35-Hesketh-Dr-94025/home/1232846,MLSListings,ML81916010,N,Y,37.4411516,-122.1981505
PAST SALE,April-25-2022,Single Family Residential,559 Santa Clara Ave,Redwood City,CA,94061,4200000,4,3.0,REDWOOD CITY,3240,8120,1999,,1296,,Sold,,,https://www.redfin.com/CA/Redwood-City/559-Santa-Clara-Ave-94061/home/1678669,MLSListings,ML81884276,N,Y,37.4485975,-122.222245
PAST SALE,July-6-2022,Single Family Residential,45 Melanie Ln,Atherton,CA,94027,13500000,3,4.5,ATHERTON,4982,60112,1951,,2710,,Sold,,,https://www.redfin.com/CA/Atherton/45-Melanie-Ln-94027/home/1417881,MLSListings,ML81893026,N,Y,37.4380957,-122.227409
PAST SALE,April-28-2022,Single Family Residential,1300 Stockbridge Ave,Redwood City,CA,94061,3800000,5,5.5,REDWOOD CITY,2766,5775,2014,,1374,,Sold,,,https://www.redfin.com/CA/Redwood-City/1300-Stockbridge-Ave-94061/home/1307348,MLSListings,ML81884244,N,Y,37.4523378,-122.2185658
PAST SALE,July-15-2022,Single Family Residential,244 Park Ln,Atherton,CA,94027,11000000,4,5.0,ATHERTON,4540,36000,1946,,2423,,Sold,,,https://www.redfin.com/CA/Atherton/244-Park-Ln-94027/home/1038385,MLSListings,ML81899453,N,Y,37.4451384,-122.202961
PAST SALE,May-23-2022,Single Family Residential,5 Fennwood Dr,Atherton,CA,94027,8113000,5,6.0,ATHERTON,5080,36406,1942,,1597,,Sold,,,https://www.redfin.com/CA/Atherton/5-Fenwood-Dr-94027/home/2037555,MLSListings,ML81890991,N,Y,37.4610944,-122.1816337
PAST SALE,February-28-2022,Single Family Residential,399 Camino Al Lago,Menlo Park,CA,94027,3440000,2,2.5,MENLO PARK,1720,10500,1954,,2000,,Sold,,,https://www.redfin.com/CA/Menlo-Park/399-Cam-Al-Lago-94027/home/1932384,MLSListings,ML81877145,N,Y,37.4354767,-122.2129359
PAST SALE,April-27-2022,Single Family Residential,454 Ninth Ave,Menlo Park,CA,94025,2810000,3,2.5,MENLO PARK,2075,9748,1980,,1354,,Sold,,,https://www.redfin.com/CA/Menlo-Park/454-9th-Ave-94025/home/2059175,MLSListings,ML81884473,Y,Y,37.47194,-122.1994141
PAST SALE,March-16-2022,Single Family Residential,99 Irving Ave,Atherton,CA,94027,5600000,5,4.0,ATHERTON,3230,52037,1956,,1734,,Sold,,,https://www.redfin.com/CA/Atherton/99-Irving-Ave-94027/home/1144845,MLSListings,ML81878673,N,Y,37.476313,-122.1864449
PAST SALE,March-29-2022,Single Family Residential,89 Larch Dr,Atherton,CA,94027,7150000,6,6.0,ATHERTON,9550,40836,1954,,749,,Sold,,,https://www.redfin.com/CA/Atherton/89-Larch-Dr-94027/home/851082,MLSListings,ML81883268,N,Y,37.4732872,-122.1789065
PAST SALE,March-14-2022,Single Family Residential,42 San Benito Ave,Atherton,CA,94027,3350000,4,3.0,ATHERTON,3049,13200,1922,,1099,,Sold,,,https://www.redfin.com/CA/Atherton/42-San-Benito-Ave-94027/home/1567674,MLSListings,ML81880124,N,Y,37.4704981,-122.1952908
PAST SALE,August-30-2022,Single Family Residential,1 Fairfax Ave,Atherton,CA,94027,5330000,4,3.5,ATHERTON,3187,13940,1945,,1672,,Sold,,,https://www.redfin.com/CA/Atherton/1-Fairfax-Ave-94027/home/850122,MLSListings,ML81898246,N,Y,37.4665592,-122.2039364
PAST SALE,September-15-2022,Single Family Residential,32 Markham Ave,Redwood City,CA,94063,1174375,3,2.0,REDWOOD CITY,1560,4700,1926,,753,,Sold,,,https://www.redfin.com/CA/Redwood-City/32-Markham-Ave-94063/home/1315910,MLSListings,ML81905780,N,Y,37.4695997,-122.2101874
PAST SALE,September-14-2022,Single Family Residential,153 Stone Pine Ln,Menlo Park,CA,94025,2800000,3,2.5,MENLO PARK,2625,1898,1964,,1067,31,Sold,,,https://www.redfin.com/CA/Menlo-Park/153-Stone-Pine-Ln-94025/home/1090548,MLSListings,ML81903642,N,Y,37.4592153,-122.1914222
PAST SALE,October-31-2022,Single Family Residential,247 Stockbridge Ave,Atherton,CA,94027,2500000,3,2.0,ATHERTON,1380,7800,1951,,1812,,Sold,,,https://www.redfin.com/CA/Atherton/247-Stockbridge-Ave-94027/home/886080,MLSListings,ML81908756,N,Y,37.4489811,-122.2207379
PAST SALE,May-13-2022,Single Family Residential,76 Rittenhouse Ave,Atherton,CA,94027,6500000,4,3.0,Atherton,3016,14760,2012,,2155,,Sold,,,https://www.redfin.com/CA/Atherton/76-Rittenhouse-Ave-94027/home/849707,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40990543,N,Y,37.4646019,-122.2032935
PAST SALE,,Single Family Residential,42 Tuscaloosa Ave,Atherton,CA,94027,19259000,1,1.0,,7240,81900,1994,,2660,,,,,https://www.redfin.com/CA/Atherton/42-Tuscaloosa-Ave-94027/home/1700925,,,N,Y,37.4613581,-122.2043576
PAST SALE,September-6-2022,Single Family Residential,48 Oak Dr,Atherton,CA,94027,3000000,3,2.0,ATHERTON,1650,14700,1953,,1818,,Sold,,,https://www.redfin.com/CA/Atherton/48-Oak-Dr-94027/home/1037445,MLSListings,ML81904231,N,Y,37.4720929,-122.1976185
