SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-22-2022,Single Family Residential,1830 Limetree Ln,Mountain View,CA,94040,2900000,4,2.5,MOUNTAIN VIEW,1646,8085,1957,,1762,,Sold,,,https://www.redfin.com/CA/Mountain-View/1830-Limetree-Ln-94040/home/644690,MLSListings,ML81899646,N,Y,37.3700757,-122.0953281
PAST SALE,December-30-2022,Single Family Residential,580 Camellia Way,Los Altos,CA,94024,4540000,5,3.5,LOS ALTOS,2980,10141,1955,,1523,,Sold,,,https://www.redfin.com/CA/Los-Altos/580-Camellia-Way-94024/home/1292626,MLSListings,ML81908991,N,Y,37.3807751,-122.1003207
PAST SALE,May-26-2022,Single Family Residential,1310 Villa Dr,Los Altos,CA,94024,7850000,5,5.5,LOS ALTOS,4271,20037,2006,,1838,,Sold,,,https://www.redfin.com/CA/Los-Altos/1310-Villa-Dr-94024/home/12173043,MLSListings,ML81893549,N,Y,37.3552041,-122.0990337
PAST SALE,May-6-2022,Single Family Residential,554 Palm Ave,Los Altos,CA,94022,4150000,3,3.0,LOS ALTOS,2297,6498,1985,,1807,,Sold,,,https://www.redfin.com/CA/Los-Altos/554-Palm-Ave-94022/home/637368,MLSListings,ML81882753,N,Y,37.3730278,-122.1156298
PAST SALE,,Single Family Residential,1238 Brookdale Ave,Mountain View,CA,94040,3500000,4,4.0,,3160,10272,1949,,1108,,,,,https://www.redfin.com/CA/Mountain-View/1238-Brookdale-Ave-94040/home/1525414,,,N,Y,37.3797962,-122.090291
PAST SALE,September-28-2022,Single Family Residential,1524 Wessex Ave,Los Altos,CA,94024,4150000,3,2.0,LOS ALTOS,1651,10301,1958,,2514,,Sold,,,https://www.redfin.com/CA/Los-Altos/1524-Wessex-Ave-94024/home/980078,MLSListings,ML81908780,N,Y,37.3541353,-122.071294
PAST SALE,,Single Family Residential,1243 Townsend Ter,Sunnyvale,CA,94087,2100000,4,3.0,,1878,4519,1995,,1118,,,,,https://www.redfin.com/CA/Sunnyvale/1243-Townsend-Ter-94087/home/1114815,,,N,Y,37.3539605,-122.0608177
PAST SALE,April-27-2022,Single Family Residential,1268 Nightingale Ct,Los Altos,CA,94024,5400000,5,3.5,LOS ALTOS,3011,11394,1990,,1793,,Sold,,,https://www.redfin.com/CA/Los-Altos/1268-Nightingale-Ct-94024/home/766697,MLSListings,ML81884215,N,Y,37.3496351,-122.0784848
PAST SALE,June-30-2022,Single Family Residential,237 Delphi Cir,Los Altos,CA,94022,4810000,4,4.0,LOS ALTOS,3424,11160,1981,,1405,,Sold,,,https://www.redfin.com/CA/Los-Altos/237-Delphi-Ct-94022/home/1511502,MLSListings,ML81893755,N,Y,37.393809,-122.109932
PAST SALE,July-15-2022,Single Family Residential,430 Hacienda Way,Los Altos,CA,94022,5100000,4,3.5,LOS ALTOS,2838,12000,1970,,1797,,Sold,,,https://www.redfin.com/CA/Los-Altos/430-Hacienda-Way-94022/home/941415,MLSListings,ML81900430,N,Y,37.3897909,-122.1233723
