SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-25-2022,Single Family Residential,1133 18th Ave,Redwood City,CA,94063,1500000,2,1.0,REDWOOD CITY,1100,6000,1948,,1364,,Sold,,,https://www.redfin.com/CA/Redwood-City/1133-18th-Ave-94063/home/819193,MLSListings,ML81897695,N,Y,37.4819988,-122.1855359
PAST SALE,January-10-2023,Single Family Residential,35 Hesketh Dr,Menlo Park,CA,94025,8900000,5,6.5,MENLO PARK,4683,10028,2023,,1900,,Sold,,,https://www.redfin.com/CA/Menlo-Park/35-Hesketh-Dr-94025/home/1232846,MLSListings,ML81916010,N,Y,37.4411516,-122.1981505
PAST SALE,,Single Family Residential,828 Fourteenth Ave,Menlo Park,CA,94025,3095000,4,4.5,,2634,5382,2022,,1175,,,,,https://www.redfin.com/CA/Menlo-Park/828-Fourteenth-Ave-94025/home/2014752,,,N,Y,37.4771277,-122.1907155
PAST SALE,,Single Family Residential,5 Light Way,Menlo Park,CA,94025,1550000,2,2.0,,1210,7000,1983,,1281,,,,,https://www.redfin.com/CA/Menlo-Park/5-Light-Way-94025/home/2043087,,,N,Y,37.4739017,-122.1987491
PAST SALE,April-15-2022,Single Family Residential,752 Gilbert Ave,Menlo Park,CA,94025,4280000,4,3.5,Menlo Park,2483,5450,2022,,1724,,Sold,,,https://www.redfin.com/CA/Menlo-Park/752-Gilbert-Ave-94025/home/855525,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40989028,N,Y,37.4611279,-122.1632738
PAST SALE,,Single Family Residential,2191 Poplar Ave,East Palo Alto,CA,94303,1050000,2,1.0,,920,5000,1950,,1141,,,,,https://www.redfin.com/CA/East-Palo-Alto/2191-Poplar-Ave-94303/home/2037609,,,N,Y,37.4672897,-122.1500243
PAST SALE,July-26-2022,Single Family Residential,2040 Menalto,Menlo Park,CA,94025,3850000,4,3.0,MENLO PARK,2257,5452,2021,,1706,,Sold,,,https://www.redfin.com/CA/Menlo-Park/2040-Menalto-Ave-94025/home/868896,MLSListings,ML81888492,N,Y,37.4621218,-122.1516087
PAST SALE,,Single Family Residential,130 Hanna Way,Menlo Park,CA,94025,6150000,4,3.0,,2960,10766,1998,,2078,,,,,https://www.redfin.com/CA/Menlo-Park/130-Hanna-Way-94025/home/1111918,,,N,Y,37.4619918,-122.1659792
PAST SALE,,Single Family Residential,1147 Windsor Way,Menlo Park,CA,94025,4400000,3,3.0,,1710,10200,1948,,2573,,,,,https://www.redfin.com/CA/Menlo-Park/1147-Windsor-Way-94025/home/1240861,,,N,Y,37.4452963,-122.1875313
PAST SALE,August-30-2022,Single Family Residential,2360 Branner Dr,Menlo Park,CA,94025,3000000,3,2.5,MENLO PARK,2580,11000,1962,,1163,,Sold,,,https://www.redfin.com/CA/Menlo-Park/2360-Branner-Dr-94025/home/1964442,MLSListings,ML81905916,N,Y,37.4229223,-122.1942266
