SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-2-2022,Single Family Residential,2176 University Ave,Mountain View,CA,94040,2157000,3,2.5,MOUNTAIN VIEW,1545,4255,1999,,1396,,Sold,,,https://www.redfin.com/CA/Mountain-View/2176-University-Ave-94040/home/12171570,MLSListings,ML81901784,N,Y,37.4007455,-122.1006313
PAST SALE,June-23-2022,Single Family Residential,165 N Whisman Rd,Mountain View,CA,94043,2300000,2,1.0,MOUNTAIN VIEW,1540,14883,1947,,1494,,Sold,,,https://www.redfin.com/CA/Mountain-View/165-N-Whisman-Rd-94043/home/626066,MLSListings,ML81892958,N,Y,37.3927936,-122.0609509
PAST SALE,December-15-2022,Single Family Residential,859 Runningwood Cir,Mountain View,CA,94040,1705000,2,2.0,MOUNTAIN VIEW,1497,5480,1977,,1139,270,Sold,,,https://www.redfin.com/CA/Mountain-View/859-Runningwood-Cir-94040/home/651012,MLSListings,ML81912137,N,Y,37.3694081,-122.0633481
PAST SALE,July-13-2022,Single Family Residential,210 Orchard Glen Ct,Mountain View,CA,94043,2180000,3,2.5,MOUNTAIN VIEW,1586,3615,1996,,1375,37,Sold,,,https://www.redfin.com/CA/Mountain-View/210-Orchard-Glen-Ct-94043/home/1561652,MLSListings,ML81891237,N,Y,37.3943553,-122.0703225
PAST SALE,August-22-2022,Single Family Residential,1830 Limetree Ln,Mountain View,CA,94040,2900000,4,2.5,MOUNTAIN VIEW,1646,8085,1957,,1762,,Sold,,,https://www.redfin.com/CA/Mountain-View/1830-Limetree-Ln-94040/home/644690,MLSListings,ML81899646,N,Y,37.3700757,-122.0953281
PAST SALE,December-5-2022,Single Family Residential,124 Azalea Dr,Mountain View,CA,94041,1706500,3,3.5,MOUNTAIN VIEW,1844,1570,2008,,925,275,Sold,,,https://www.redfin.com/CA/Mountain-View/124-Azalea-Dr-94041/home/12479010,MLSListings,ML81907495,N,Y,37.3891172,-122.0719529
PAST SALE,,Single Family Residential,739 Arroyo Rd,Los Altos,CA,94024,5800000,4,3.5,,3051,17500,1955,,1901,,,,,https://www.redfin.com/CA/Los-Altos/739-Arroyo-Rd-94024/home/1079355,,,N,Y,37.3821861,-122.0944184
PAST SALE,,Single Family Residential,235 Palo Alto Ave,Mountain View,CA,94041,2030000,2,1.0,,1118,7254,1940,,1816,,,,,https://www.redfin.com/CA/Mountain-View/235-Palo-Alto-Ave-94041/home/868395,,,N,Y,37.3958689,-122.085764
PAST SALE,,Single Family Residential,116 Savannah Loop,Mountain View,CA,94043,2200000,4,3.5,,1840,1262,2014,,1196,,,,,https://www.redfin.com/CA/Mountain-View/116-Savannah-Loop-94043/home/95956878,,,N,Y,37.3934373,-122.0670437
PAST SALE,,Single Family Residential,1243 Townsend Ter,Sunnyvale,CA,94087,2100000,4,3.0,,1878,4519,1995,,1118,,,,,https://www.redfin.com/CA/Sunnyvale/1243-Townsend-Ter-94087/home/1114815,,,N,Y,37.3539605,-122.0608177
