SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-18-2022,Single Family Residential,7448 Stanford Pl,Cupertino,CA,95014,2447250,3,2.0,CUPERTINO,1126,6016,1960,,2173,,Sold,,,https://www.redfin.com/CA/Cupertino/7448-Stanford-Pl-95014/home/713608,MLSListings,ML81883054,N,Y,37.3067298,-122.0361765
PAST SALE,,Single Family Residential,18660 Ralya Ct,Cupertino,CA,95014,4751000,6,5.0,,3807,9201,2022,,1248,,,,,https://www.redfin.com/CA/Cupertino/18660-Ralya-Ct-95014/home/1119379,,,N,Y,37.3193882,-121.9983603
PAST SALE,May-13-2022,Single Family Residential,10305 Tula Ln,Cupertino,CA,95014,4100000,4,2.5,CUPERTINO,2326,7811,1986,,1763,,Sold,,,https://www.redfin.com/CA/Cupertino/10305-Tula-Ln-95014/home/1216418,MLSListings,ML81891737,N,Y,37.3184471,-122.0400395
PAST SALE,July-28-2022,Single Family Residential,10080 Judy Ave,Cupertino,CA,95014,2500000,2,2.0,CUPERTINO,1613,9375,1949,,1550,,Sold,,,https://www.redfin.com/CA/Cupertino/10080-Judy-Ave-95014/home/794599,MLSListings,ML81901911,N,Y,37.3217102,-122.0051784
PAST SALE,August-4-2022,Single Family Residential,965 November Dr,Cupertino,CA,95014,2500000,3,2.0,CUPERTINO,1513,6000,1960,,1652,,Sold,,,https://www.redfin.com/CA/Cupertino/965-November-Dr-95014/home/785705,MLSListings,ML81900539,N,Y,37.3115982,-122.0476764
PAST SALE,,Single Family Residential,10930 Miramonte Rd,Cupertino,CA,95014,4000000,5,4.0,,4043,11047,1989,,989,,,,,https://www.redfin.com/CA/Cupertino/10930-Miramonte-Rd-95014/home/1150647,,,N,Y,37.3098345,-122.0701843
PAST SALE,,Single Family Residential,22079 San Fernando Ct,Cupertino,CA,95014,2500000,3,1.0,,2054,12797,1953,,1217,,,,,https://www.redfin.com/CA/Cupertino/22079-San-Fernando-Ct-95014/home/945575,,,N,Y,37.3174915,-122.0603737
PAST SALE,August-12-2022,Single Family Residential,10410 Oakville Ave,Cupertino,CA,95014,2000000,3,2.0,CUPERTINO,1392,6348,1959,,1437,,Sold,,,https://www.redfin.com/CA/Cupertino/10410-Oakville-Ave-95014/home/1472080,MLSListings,ML81902880,N,Y,37.3168371,-122.0187911
PAST SALE,,Single Family Residential,7326 Rainbow Dr,Cupertino,CA,95014,496000,4,4.0,,2036,1969,2005,,244,,,,,https://www.redfin.com/CA/Cupertino/7326-Rainbow-Dr-95014/home/1787250,,,N,Y,37.300192,-122.0330682
PAST SALE,November-24-2022,Single Family Residential,10629 Baxter Ave,,CA,94024,2595000,3,2.5,,,9583,1955,,,,Sold,,,https://www.redfin.com/CA/Los-Altos/10629-Baxter-Ave-94024/home/1487081,SBMLS,22-3807,N,Y,37.3320944,-122.0685863
PAST SALE,,Single Family Residential,1664 Mariani Dr,Sunnyvale,CA,94087,3950000,4,3.0,,2786,8417,1978,,1418,,,,,https://www.redfin.com/CA/Sunnyvale/1664-Mariani-Dr-94087/home/817000,,,N,Y,37.3389543,-122.0234097
PAST SALE,February-22-2022,Single Family Residential,12201 Via Roncole,Saratoga,CA,95070,4050000,4,3.0,SARATOGA,2600,13519,1968,,1558,,Sold,,,https://www.redfin.com/CA/Saratoga/12201-Via-Roncole-95070/home/1265541,MLSListings,ML81875448,N,Y,37.2921926,-122.0354882
PAST SALE,,Single Family Residential,7836 Jeanette Ct,Cupertino,CA,95014,3577000,5,3.0,,2494,6266,1986,,1434,,,,,https://www.redfin.com/CA/Cupertino/7836-Jeanette-Ct-95014/home/785657,,,N,Y,37.3093975,-122.0450124
PAST SALE,,Single Family Residential,19841 La Mar Dr,Cupertino,CA,95014,1750000,4,2.0,,1808,6440,1958,,968,,,,,https://www.redfin.com/CA/Cupertino/19841-La-Mar-Dr-95014/home/789465,,,N,Y,37.3180561,-122.0204787
PAST SALE,April-8-2022,Single Family Residential,7572 Kirwin Ln,Cupertino,CA,95014,2830000,3,2.0,CUPERTINO,1388,6448,1959,,2039,,Sold,,,https://www.redfin.com/CA/Cupertino/7572-Kirwin-Ln-95014/home/625161,MLSListings,ML81886170,N,Y,37.3130542,-122.037997
PAST SALE,January-3-2023,Single Family Residential,10531 N Portal Ave,Cupertino,CA,95014,1960000,4,2.5,CUPERTINO,1908,7884,1963,,1027,,Sold,,,https://www.redfin.com/CA/Cupertino/10531-N-Portal-Ave-95014/home/764445,MLSListings,ML81915486,N,Y,37.3307945,-122.0198406
PAST SALE,,Single Family Residential,10410 N Stelling Rd,Cupertino,CA,95014,4600000,5,5.0,,3769,9375,2020,,1220,,,,,https://www.redfin.com/CA/Cupertino/10410-N-Stelling-Rd-95014/home/1250266,,,N,Y,37.3288912,-122.041083
PAST SALE,July-22-2022,Single Family Residential,10616 Johnson Ave,Cupertino,CA,95014,1650000,3,2.0,CUPERTINO,1048,5150,1954,,1574,,Sold,,,https://www.redfin.com/CA/Cupertino/10616-Johnson-Ave-95014/home/582991,MLSListings,ML81901399,N,Y,37.3132695,-121.9994041
PAST SALE,May-16-2022,Single Family Residential,20711 Hanford Dr,Cupertino,CA,95014,4175000,5,3.5,CUPERTINO,3296,9775,1997,,1267,,Sold,,,https://www.redfin.com/CA/Cupertino/20711-Hanford-Dr-95014/home/900334,MLSListings,ML81891958,N,Y,37.3281119,-122.0361987
PAST SALE,,Single Family Residential,1045 Belvedere Ln,San Jose,CA,95129,2749000,3,3.0,,2173,7047,1957,,1265,,,,,https://www.redfin.com/CA/San-Jose/1045-Belvedere-Ln-95129/home/793689,,,N,Y,37.3085482,-122.0208083
PAST SALE,April-7-2022,Single Family Residential,10329 Colby Ave,Cupertino,CA,95014,2930000,3,2.0,CUPERTINO,1408,7587,1960,,2081,,Sold,,,https://www.redfin.com/CA/Cupertino/10329-Colby-Ave-95014/home/1662496,MLSListings,ML81883135,N,Y,37.3277508,-122.0189688
PAST SALE,November-29-2022,Single Family Residential,10264 Judy Ave,Cupertino,CA,95014,4900000,5,4.5,CUPERTINO,3727,9426,2022,,1315,,Sold,,,https://www.redfin.com/CA/Cupertino/10264-Judy-Ave-95014/home/1264241,MLSListings,ML81914008,N,Y,37.319082,-122.0051118
PAST SALE,September-30-2022,Single Family Residential,18980 Newsom Ave,Cupertino,CA,95014,1500000,3,1.0,CUPERTINO,897,5610,1955,,1672,,Sold,,,https://www.redfin.com/CA/Cupertino/18980-Newsom-Ave-95014/home/1659364,MLSListings,ML81898838,N,Y,37.3107137,-122.0046454
