SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-21-2022,Single Family Residential,367 Whitclem Pl,Palo Alto,CA,94306,4150000,4,2.0,PALO ALTO,1537,13939,1951,,2700,,Sold,,,https://www.redfin.com/CA/Palo-Alto/367-Whitclem-Pl-94306/home/2120644,MLSListings,ML81874887,N,Y,37.4102106,-122.1181589
PAST SALE,,Single Family Residential,128 Cornell Rd,Menlo Park,CA,94025,3650000,3,2.0,,1770,8400,1935,,2062,,,,,https://www.redfin.com/CA/Menlo-Park/128-Cornell-Rd-94025/home/1809643,,,N,Y,37.4457315,-122.175248
PAST SALE,,Single Family Residential,745 Greer Rd,Palo Alto,CA,94303,3747000,5,3.5,,2729,6470,1948,,1373,,,,,https://www.redfin.com/CA/Palo-Alto/745-Greer-Rd-94303/home/545208,,,N,Y,37.4474939,-122.1295614
PAST SALE,September-20-2022,Single Family Residential,722 Marion Ave,Palo Alto,CA,94303,2850000,3,1.0,PALO ALTO,1036,7790,1950,,2751,,Sold,,,https://www.redfin.com/CA/Palo-Alto/722-Marion-Ave-94303/home/1111815,MLSListings,ML81908098,N,Y,37.4353623,-122.1308924
PAST SALE,March-23-2022,Single Family Residential,833 Forest Ave,Palo Alto,CA,94301,4008000,5,2.5,PALO ALTO,2301,10052,1922,,1742,,Sold,,,https://www.redfin.com/CA/Palo-Alto/833-Forest-Ave-94301/home/1376580,MLSListings,ML81883647,N,Y,37.4511716,-122.152762
PAST SALE,June-24-2022,Single Family Residential,530 Jefferson Dr,Palo Alto,CA,94303,4450000,2,2.5,PALO ALTO,1968,10608,1952,,2261,,Sold,,,https://www.redfin.com/CA/Palo-Alto/530-Jefferson-Dr-94303/home/543621,MLSListings,ML81887140,N,Y,37.4530871,-122.1336651
PAST SALE,,Single Family Residential,1470 Channing Ave,Palo Alto,CA,94301,3600000,2,2.0,,1832,6729,1957,,1965,,,,,https://www.redfin.com/CA/Palo-Alto/1470-Channing-Ave-94301/home/1800443,,,N,Y,37.4485096,-122.1402973
PAST SALE,August-22-2022,Single Family Residential,716 Holly Oak Dr,Palo Alto,CA,94303,3650000,4,2.0,PALO ALTO,1815,7336,1960,,2011,,Sold,,,https://www.redfin.com/CA/Palo-Alto/716-Holly-Oak-Dr-94303/home/1338849,MLSListings,ML81904700,N,Y,37.4284625,-122.1194678
PAST SALE,January-20-2022,Single Family Residential,885 Aspen Way,Palo Alto,CA,94303,2950000,3,2.0,PALO ALTO,1395,7455,1956,,2115,,Sold,,,https://www.redfin.com/CA/Palo-Alto/885-Aspen-Way-94303/home/878919,MLSListings,ML81875179,N,Y,37.4292654,-122.111126
PAST SALE,,Single Family Residential,8 White Oak Ct,Menlo Park,CA,94025,4285000,3,3.0,,3101,13050,1952,,1382,,,,,https://www.redfin.com/CA/Menlo-Park/8-White-Oak-Ct-94025/home/1250721,,,N,Y,37.4330447,-122.1910564
PAST SALE,,Single Family Residential,2190 Webster St,Palo Alto,CA,94301,5500000,3,3.0,,2528,7939,1935,,2176,,,,,https://www.redfin.com/CA/Palo-Alto/2190-Webster-St-94301/home/591877,,,N,Y,37.4361023,-122.1371032
PAST SALE,May-9-2022,Single Family Residential,703 Coastland Dr,Palo Alto,CA,94303,3050000,3,2.0,PALO ALTO,1490,7370,1947,,2047,,Sold,,,https://www.redfin.com/CA/Palo-Alto/703-Coastland-Dr-94303/home/595852,MLSListings,ML81890787,N,Y,37.4354872,-122.1314691
PAST SALE,May-18-2022,Single Family Residential,14790 Manuella Rd,Los Altos Hills,CA,94022,12000000,5,8.5,LOS ALTOS HILLS,10266,47916,2007,,1169,,Sold,,,https://www.redfin.com/CA/Los-Altos-Hills/14790-Manuella-Rd-94022/home/1565458,MLSListings,ML81892354,N,Y,37.391571,-122.1313582
PAST SALE,,Single Family Residential,3341 Cowper St,Palo Alto,CA,94306,3505000,4,2.0,,1868,7000,1953,,1876,,,,,https://www.redfin.com/CA/Palo-Alto/3341-Cowper-St-94306/home/1466025,,,N,Y,37.4251115,-122.1219303
PAST SALE,,Single Family Residential,1728 Emerson St,Palo Alto,CA,94301,4580000,3,3.0,,2021,5000,2000,,2266,,,,,https://www.redfin.com/CA/Palo-Alto/1728-Emerson-St-94301/home/1147522,,,N,Y,37.4348623,-122.1476166
PAST SALE,,Single Family Residential,228 E Charleston Rd,Palo Alto,CA,94306,1970000,3,2.0,,1128,8121,1953,,1746,,,,,https://www.redfin.com/CA/Palo-Alto/228-E-Charleston-Rd-94306/home/609484,,,N,Y,37.4157482,-122.1168944
PAST SALE,January-28-2022,Single Family Residential,1551 College Ave,Palo Alto,CA,94306,3775000,4,3.5,PALO ALTO,2228,5750,1996,,1694,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1551-College-Ave-94306/home/603194,MLSListings,ML81876240,N,Y,37.4182565,-122.1538357
PAST SALE,,Single Family Residential,954 Van Auken Cir,Palo Alto,CA,94303,3100000,6,2.0,,1688,6434,1951,,1836,,,,,https://www.redfin.com/CA/Palo-Alto/954-Van-Auken-Cir-94303/home/592938,,,N,Y,37.4392537,-122.1218859
PAST SALE,,Single Family Residential,919 Amarillo Ave,Palo Alto,CA,94303,5250000,5,4.0,,2735,7671,2022,,1920,,,,,https://www.redfin.com/CA/Palo-Alto/919-Amarillo-Ave-94303/home/1056459,,,N,Y,37.4392445,-122.1246367
PAST SALE,May-26-2022,Single Family Residential,690 N California Ave,Palo Alto,CA,94301,5000000,3,2.0,PALO ALTO,2005,7684,1939,,2494,,Sold,,,https://www.redfin.com/CA/Palo-Alto/690-N-California-Ave-94301/home/1590660,MLSListings,ML81893613,N,Y,37.4370227,-122.1355506
PAST SALE,February-7-2022,Single Family Residential,90 Crescent Dr,Palo Alto,CA,94301,4150000,2,2.5,PALO ALTO,1769,9094,1960,,2346,,Sold,,,https://www.redfin.com/CA/Palo-Alto/90-Crescent-Dr-94301/home/1464760,MLSListings,ML81877303,N,Y,37.4571443,-122.1434469
PAST SALE,,Single Family Residential,3397 Ramona St,Palo Alto,CA,94306,3650000,3,2.0,,1722,6750,1950,,2120,,,,,https://www.redfin.com/CA/Palo-Alto/3397-Ramona-St-94306/home/1762144,,,N,Y,37.4211593,-122.1244593
PAST SALE,March-24-2022,Single Family Residential,3238 Waverley St,Palo Alto,CA,94306,5000000,6,4.0,PALO ALTO,3886,6679,2008,,1287,,Sold,,,https://www.redfin.com/CA/Palo-Alto/3238-Waverley-St-94306/home/684054,MLSListings,ML81883819,N,Y,37.4244482,-122.1254797
PAST SALE,,Single Family Residential,886 Loma Verde Ave,Palo Alto,CA,94303,1250000,3,2.0,,1516,7110,1952,,825,,,,,https://www.redfin.com/CA/Palo-Alto/886-Loma-Verde-Ave-94303/home/606839,,,N,Y,37.4325148,-122.1169165
PAST SALE,July-6-2022,Single Family Residential,1934 Waverley St,Palo Alto,CA,94301,28500000,4,4.0,PALO ALTO,5050,10920,2014,,5644,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1934-Waverley-St-94301/home/1238886,MLSListings,ML81899114,N,Y,37.4354892,-122.1423379
PAST SALE,March-23-2022,Single Family Residential,991 Channing Ave,Palo Alto,CA,94301,3062500,2,1.0,PALO ALTO,1184,6180,1948,,2587,,Sold,,,https://www.redfin.com/CA/Palo-Alto/991-Channing-Ave-94301/home/544734,MLSListings,ML81883597,N,Y,37.4489954,-122.1472174
PAST SALE,August-2-2022,Single Family Residential,1181 Lincoln Ave,Palo Alto,CA,94301,3819500,3,2.0,PALO ALTO,1650,3673,1920,,2315,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1181-Lincoln-Ave-94301/home/1620608,MLSListings,ML81902431,N,Y,37.4537413,-122.1477497
PAST SALE,,Single Family Residential,755 Newell Rd,Palo Alto,CA,94303,4250000,3,3.0,,2504,10803,1975,,1697,,,,,https://www.redfin.com/CA/Palo-Alto/755-Newell-Rd-94303/home/1609678,,,N,Y,37.4508353,-122.1382502
PAST SALE,May-6-2022,Single Family Residential,3151 Bryant St,Palo Alto,CA,94306,3098493,3,2.0,PALO ALTO,1448,8910,1955,,2140,,Sold,,,https://www.redfin.com/CA/Palo-Alto/3151-Bryant-St-94306/home/1272093,MLSListings,ML81877162,N,Y,37.4250677,-122.1286297
PAST SALE,November-4-2022,Single Family Residential,220 Matadero Ave,Palo Alto,CA,94306,4050000,4,4.0,PALO ALTO,2618,6000,2022,,1547,,Sold,,,https://www.redfin.com/CA/Palo-Alto/220-Matadero-Ave-94306/home/1186150,MLSListings,ML81885566,N,Y,37.4216662,-122.1316909
PAST SALE,February-28-2022,Single Family Residential,131 Lowell Ave,Palo Alto,CA,94301,2800000,2,2.0,PALO ALTO,1227,5000,1947,,2282,,Sold,,,https://www.redfin.com/CA/Palo-Alto/131-Lowell-Ave-94301/home/1377358,MLSListings,ML81875909,N,Y,37.4349803,-122.1490804
PAST SALE,May-31-2022,Single Family Residential,2280 Williams St,Palo Alto,CA,94306,3210000,3,2.0,PALO ALTO,1729,5750,1926,,1857,,Sold,,,https://www.redfin.com/CA/Palo-Alto/2280-Williams-St-94306/home/603693,MLSListings,ML81892386,N,Y,37.4238658,-122.148415
PAST SALE,March-21-2022,Single Family Residential,730 Los Robles Ave,Palo Alto,CA,94306,4080000,4,2.0,PALO ALTO,1768,12975,1950,,2308,,Sold,,,https://www.redfin.com/CA/Palo-Alto/730-Los-Robles-Ave-94306/home/563271,MLSListings,ML81877524,N,Y,37.4128107,-122.1309811
PAST SALE,May-9-2022,Single Family Residential,55 Waverley Oaks,Palo Alto,CA,94301,7600000,3,3.5,PALO ALTO,3743,10378,1928,,2030,,Sold,,,https://www.redfin.com/CA/Palo-Alto/55-Waverley-Oaks-94301/home/1338723,MLSListings,ML81885787,N,Y,37.434209,-122.1403195
PAST SALE,May-24-2022,Single Family Residential,811 Channing Ave,Palo Alto,CA,94301,3750000,3,2.5,PALO ALTO,1446,5192,1953,,2593,,Sold,,,https://www.redfin.com/CA/Palo-Alto/811-Channing-Ave-94301/home/544371,MLSListings,ML81891298,N,Y,37.4490409,-122.150278
PAST SALE,October-17-2022,Single Family Residential,193 E Creek Dr,Menlo Park,CA,94025,5100000,4,3.5,MENLO PARK,3102,10150,1955,,1644,,Sold,,,https://www.redfin.com/CA/Menlo-Park/193-E-Creek-Dr-94025/home/2048841,MLSListings,ML81906094,N,Y,37.4514506,-122.1684406
