SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-17-2022,Single Family Residential,254 Kelton Ave,San Carlos,CA,94070,2250000,2,1.0,SAN CARLOS,1340,4400,1947,,1679,,Sold,,,https://www.redfin.com/CA/San-Carlos/254-Kelton-Ave-94070/home/1397038,MLSListings,ML81893639,N,Y,37.4874462,-122.254333
PAST SALE,June-7-2022,Single Family Residential,3468 Oak Knoll Dr,Redwood City,CA,94062,2530000,3,3.5,REDWOOD CITY,2320,12204,1922,,1091,,Sold,,,https://www.redfin.com/CA/Emerald-Hills/3468-Oak-Knoll-Dr-94062/home/1995636,MLSListings,ML81892627,N,Y,37.4649318,-122.2623978
PAST SALE,October-14-2022,Single Family Residential,103 Somerset St,Redwood City,CA,94062,3940000,4,3.0,REDWOOD CITY,2850,6782,2017,,1382,,Sold,,,https://www.redfin.com/CA/Redwood-City/103-Somerset-St-94062/home/1919951,MLSListings,ML81907058,N,Y,37.4869595,-122.2468437
PAST SALE,June-21-2022,Single Family Residential,1916 Poplar Ave,Redwood City,CA,94061,1800000,2,2.0,REDWOOD CITY,1120,5050,1922,,1607,,Sold,,,https://www.redfin.com/CA/Redwood-City/1916-Poplar-Ave-94061/home/1999470,MLSListings,ML81891422,N,Y,37.4647239,-122.2362958
PAST SALE,July-25-2022,Single Family Residential,1133 18th Ave,Redwood City,CA,94063,1500000,2,1.0,REDWOOD CITY,1100,6000,1948,,1364,,Sold,,,https://www.redfin.com/CA/Redwood-City/1133-18th-Ave-94063/home/819193,MLSListings,ML81897695,N,Y,37.4819988,-122.1855359
PAST SALE,April-13-2022,Single Family Residential,505 Starboard Dr,Redwood City,CA,94065,2050000,2,2.0,REDWOOD CITY,1220,3990,1969,,1680,,Sold,,,https://www.redfin.com/CA/Redwood-City/505-Starboard-Dr-94065/home/1039776,MLSListings,ML81880986,N,Y,37.5308714,-122.2530147
PAST SALE,April-15-2022,Single Family Residential,665 Handley Trl,Redwood City,CA,94062,2300000,3,2.0,REDWOOD CITY,1460,5665,1995,,1575,,Sold,,,https://www.redfin.com/CA/Emerald-Hills/665-Handley-Trl-94062/home/1592406,MLSListings,ML81881440,N,Y,37.4657875,-122.2690442
PAST SALE,April-25-2022,Single Family Residential,248 Hudson St,Redwood City,CA,94062,2386500,4,2.0,REDWOOD CITY,1910,6500,1912,,1249,,Sold,,,https://www.redfin.com/CA/Redwood-City/248-Hudson-St-94062/home/1350308,MLSListings,ML81881101,Y,Y,37.4813202,-122.2415256
PAST SALE,September-14-2022,Single Family Residential,208 4th Ave,Redwood City,CA,94063,1150000,2,2.0,REDWOOD CITY,1250,6000,1941,,920,,Sold,,,https://www.redfin.com/CA/Redwood-City/208-Fourth-Ave-94063/home/2044541,MLSListings,ML81898643,N,Y,37.4707997,-122.2062418
PAST SALE,March-19-2022,Single Family Residential,1499 Hudson St,Redwood City,CA,94061,1425000,3,1.5,REDWOOD CITY,1140,6440,1950,,1250,,Sold,,,https://www.redfin.com/CA/Redwood-City/1499-Hudson-St-94061/home/841244,MLSListings,ML81876739,N,Y,37.4701866,-122.226589
