SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-17-2022,Single Family Residential,254 Kelton Ave,San Carlos,CA,94070,2250000,2,1.0,SAN CARLOS,1340,4400,1947,,1679,,Sold,,,https://www.redfin.com/CA/San-Carlos/254-Kelton-Ave-94070/home/1397038,MLSListings,ML81893639,N,Y,37.4874462,-122.254333
PAST SALE,October-25-2022,Single Family Residential,2312 Howard Ave,San Carlos,CA,94070,2325000,3,2.0,SAN CARLOS,1480,5550,1947,,1571,,Sold,,,https://www.redfin.com/CA/San-Carlos/2312-Howard-Ave-94070/home/1469857,MLSListings,ML81908783,N,Y,37.491315,-122.2627523
PAST SALE,September-15-2022,Single Family Residential,161 Fairmont Ave,San Carlos,CA,94070,2000000,3,1.0,SAN CARLOS,1570,5550,1940,,1274,,Sold,,,https://www.redfin.com/CA/San-Carlos/161-Fairmont-Ave-94070/home/1360052,MLSListings,ML81903307,N,Y,37.4901077,-122.2535797
PAST SALE,,Single Family Residential,130 Pearl Ave,San Carlos,CA,94070,2150000,4,3.0,,2150,4400,1959,,1000,,,,,https://www.redfin.com/CA/San-Carlos/130-Pearl-Ave-94070/home/1583330,,,N,Y,37.4886231,-122.2573463
PAST SALE,April-14-2022,Single Family Residential,22 Shratton Ave,San Carlos,CA,94070,3600000,3,3.0,SAN CARLOS,2890,5700,1991,,1246,,Sold,,,https://www.redfin.com/CA/San-Carlos/22-Shratton-Ave-94070/home/1919803,MLSListings,ML81882657,N,Y,37.5003938,-122.2864557
PAST SALE,March-18-2022,Single Family Residential,3395 Brittan Ave,San Carlos,CA,94070,2950000,4,2.5,SAN CARLOS,2420,10400,1977,,1219,,Sold,,,https://www.redfin.com/CA/San-Carlos/3395-Brittan-Ave-94070/home/796017,MLSListings,ML81883023,N,Y,37.483797,-122.2891801
PAST SALE,March-7-2022,Single Family Residential,263 Vine St,San Carlos,CA,94070,1800000,2,1.0,SAN CARLOS,960,5000,1939,,1875,,Sold,,,https://www.redfin.com/CA/San-Carlos/263-Vine-St-94070/home/1952313,MLSListings,ML81881197,N,Y,37.507539,-122.2695316
PAST SALE,June-6-2022,Single Family Residential,1381 Alameda De Las Pulgas,San Carlos,CA,94070,2175000,3,2.0,SAN CARLOS,1470,5500,1948,,1480,,Sold,,,https://www.redfin.com/CA/San-Carlos/1381-Alameda-de-las-Pulgas-94070/home/1172684,MLSListings,ML81895030,N,Y,37.4883543,-122.2619104
PAST SALE,October-3-2022,Single Family Residential,66 Chestnut St,San Carlos,CA,94070,2500000,3,2.0,SAN CARLOS,1710,8635,1955,,1462,,Sold,,,https://www.redfin.com/CA/San-Carlos/66-Chestnut-St-94070/home/770829,MLSListings,ML81905352,N,Y,37.5108031,-122.2696202
PAST SALE,,Single Family Residential,783 Kent Ave,San Carlos,CA,94070,3250000,4,3.0,,2800,10000,1980,,1161,,,,,https://www.redfin.com/CA/San-Carlos/783-Kent-Ave-94070/home/1257742,,,N,Y,37.4888383,-122.2874303
