SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-15-2022,Single Family Residential,859 Runningwood Cir,Mountain View,CA,94040,1705000,2,2.0,MOUNTAIN VIEW,1497,5480,1977,,1139,270,Sold,,,https://www.redfin.com/CA/Mountain-View/859-Runningwood-Cir-94040/home/651012,MLSListings,ML81912137,N,Y,37.3694081,-122.0633481
PAST SALE,August-3-2022,Single Family Residential,1731 Wright Ave,Sunnyvale,CA,94087,2935000,4,2.5,SUNNYVALE,1627,8034,1957,,1804,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1731-Wright-Ave-94087/home/676015,MLSListings,ML81895084,N,Y,37.3359158,-122.0553127
PAST SALE,,Single Family Residential,1067 Lois Ave,Sunnyvale,CA,94087,1600000,3,1.0,,1154,7346,1953,,1386,,,,,https://www.redfin.com/CA/Sunnyvale/1067-Lois-Ave-94087/home/1355123,,,N,Y,37.3604541,-122.0552239
PAST SALE,April-22-2022,Single Family Residential,161 Butano Ave,Sunnyvale,CA,94086,2208000,3,2.0,SUNNYVALE,1509,6237,1966,,1463,,Sold,,,https://www.redfin.com/CA/Sunnyvale/161-Butano-Ave-94086/home/627593,MLSListings,ML81883090,N,Y,37.3827955,-122.0526934
PAST SALE,April-12-2022,Single Family Residential,709 Lakefair Dr,Sunnyvale,CA,94089,1450000,3,2.0,SUNNYVALE,1108,6733,1957,,1309,,Sold,,,https://www.redfin.com/CA/Sunnyvale/709-Lakefair-Dr-94089/home/587295,MLSListings,ML81886657,N,Y,37.397336,-122.0058224
PAST SALE,,Single Family Residential,775 Cathedral Dr,Sunnyvale,CA,94087,4005000,4,2.0,,1469,10756,1959,,2726,,,,,https://www.redfin.com/CA/Sunnyvale/775-Cathedral-Dr-94087/home/1471573,,,N,Y,37.3475664,-122.0453232
PAST SALE,,Single Family Residential,829 Sutter Ave,Sunnyvale,CA,94086,1520000,3,2.0,,1201,5358,1959,,1266,,,,,https://www.redfin.com/CA/Sunnyvale/829-Sutter-Ave-94086/home/643442,,,N,Y,37.373681,-122.040293
PAST SALE,,Single Family Residential,956 Buckeye Dr,Sunnyvale,CA,94086,1950000,3,2.0,,1417,6626,1970,,1376,,,,,https://www.redfin.com/CA/Sunnyvale/956-Buckeye-Dr-94086/home/644499,,,N,Y,37.3660088,-122.0108857
PAST SALE,,Single Family Residential,1693 S Mary Ave,Sunnyvale,CA,94087,2580000,3,2.0,,1775,9723,1963,,1454,,,,,https://www.redfin.com/CA/Sunnyvale/1693-S-Mary-Ave-94087/home/945391,,,N,Y,37.3377417,-122.0503847
PAST SALE,,Single Family Residential,1273 Lime Dr,Sunnyvale,CA,94087,2100000,5,3.0,,2421,9212,1956,,867,,,,,https://www.redfin.com/CA/Sunnyvale/1273-Lime-Dr-94087/home/1094433,,,N,Y,37.3535684,-122.0536035
PAST SALE,,Single Family Residential,1002 Colusa Ave,Sunnyvale,CA,94085,1430000,4,2.0,,1585,6500,1954,,902,,,,,https://www.redfin.com/CA/Sunnyvale/1002-Colusa-Ave-94085/home/660149,,,N,Y,37.389005,-122.0001593
PAST SALE,,Single Family Residential,1664 Mariani Dr,Sunnyvale,CA,94087,3950000,4,3.0,,2786,8417,1978,,1418,,,,,https://www.redfin.com/CA/Sunnyvale/1664-Mariani-Dr-94087/home/817000,,,N,Y,37.3389543,-122.0234097
PAST SALE,,Single Family Residential,1671 Nightingale Ave,Sunnyvale,CA,94087,2320000,3,2.0,,1324,6355,1958,,1752,,,,,https://www.redfin.com/CA/Sunnyvale/1671-Nightingale-Ave-94087/home/726351,,,N,Y,37.3395548,-122.0126838
PAST SALE,August-30-2022,Single Family Residential,1354 Dunnock Way,Sunnyvale,CA,94087,2470000,3,2.0,SUNNYVALE,1570,7827,1963,,1573,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1354-Dunnock-Way-94087/home/757584,MLSListings,ML81902029,N,Y,37.3497401,-122.0248086
PAST SALE,,Single Family Residential,891 Firethorn Ter,Sunnyvale,CA,94086,2460000,3,3.0,,2055,4582,2006,,1197,,,,,https://www.redfin.com/CA/Sunnyvale/891-Firethorn-Ter-94086/home/2123160,,,N,Y,37.3646895,-122.0149495
PAST SALE,January-31-2022,Single Family Residential,315 Meadowlake Dr,Sunnyvale,CA,94089,1400000,3,2.0,SUNNYVALE,1108,6240,1957,,1264,,Sold,,,https://www.redfin.com/CA/Sunnyvale/315-Meadowlake-Dr-94089/home/577484,MLSListings,ML81876652,N,Y,37.3971428,-122.0042234
PAST SALE,August-16-2022,Single Family Residential,1473 Flicker Way,Sunnyvale,CA,94087,2500000,4,2.0,SUNNYVALE,1494,6414,1961,,1673,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1473-Flicker-Way-94087/home/1547759,MLSListings,ML81904405,N,Y,37.3460823,-122.0211893
PAST SALE,,Single Family Residential,476 E Arbor Ave,Sunnyvale,CA,94085,1000000,3,2.0,,1375,5954,1959,,727,,,,,https://www.redfin.com/CA/Sunnyvale/476-E-Arbor-Ave-94085/home/1802571,,,N,Y,37.3869163,-122.0189688
PAST SALE,,Single Family Residential,1243 Townsend Ter,Sunnyvale,CA,94087,2100000,4,3.0,,1878,4519,1995,,1118,,,,,https://www.redfin.com/CA/Sunnyvale/1243-Townsend-Ter-94087/home/1114815,,,N,Y,37.3539605,-122.0608177
PAST SALE,,Single Family Residential,367 S Bayview Ave,Sunnyvale,CA,94086,1875000,3,1.0,,1014,5401,1941,,1849,,,,,https://www.redfin.com/CA/Sunnyvale/367-S-Bayview-Ave-94086/home/1229006,,,N,Y,37.3722687,-122.0276507
PAST SALE,,Single Family Residential,148 Walnut Ave,Sunnyvale,CA,94085,1825000,3,2.0,,1551,7303,1942,,1177,,,,,https://www.redfin.com/CA/Sunnyvale/148-Walnut-Ave-94085/home/941931,,,N,Y,37.3845713,-122.0293851
PAST SALE,June-23-2022,Single Family Residential,1232 Pecos Way,Sunnyvale,CA,94089,1620000,3,2.0,SUNNYVALE,1108,5670,1958,,1462,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1232-Pecos-Way-94089/home/584832,MLSListings,ML81897532,N,Y,37.3986388,-121.989987
PAST SALE,,Single Family Residential,1397 Cordilleras Ave,Sunnyvale,CA,94087,3400000,5,4.0,,3500,9450,2005,,971,,,,,https://www.redfin.com/CA/Sunnyvale/1397-Cordilleras-Ave-94087/home/1593998,,,N,Y,37.3486946,-122.0389739
