SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,107 Reservoir Rd,Atherton,CA,94027,7045000,5,4.0,,3750,58153,1986,,1879,,,,,https://www.redfin.com/CA/Atherton/107-Reservoir-Rd-94027/home/895929,,,N,Y,37.4296159,-122.2270322
PAST SALE,November-10-2022,Single Family Residential,6 Cedar Ln,Woodside,CA,94062,6000000,4,3.0,WOODSIDE,2530,39204,1951,,2372,,Sold,,,https://www.redfin.com/CA/Woodside/6-Cedar-Ln-94062/home/1609836,MLSListings,ML81912779,N,Y,37.4285802,-122.2549756
PAST SALE,October-22-2022,Single Family Residential,1225 Godetia Dr,Woodside,CA,94062,5400000,3,4.5,WOODSIDE,4715,43750,1990,,1145,25,Sold,,,https://www.redfin.com/CA/Woodside/1225-Godetia-Dr-94062/home/1767881,MLSListings,ML81911241,N,Y,37.4471616,-122.2706614
PAST SALE,,Single Family Residential,121 Sheridan Way,Woodside,CA,94062,7800000,4,4.0,,4890,43560,1967,,1595,,,,,https://www.redfin.com/CA/Woodside/121-Sheridan-Way-94062/home/1816757,,,N,Y,37.4451788,-122.2430102
PAST SALE,,Single Family Residential,6 Montecito Rd,Woodside,CA,94062,9646500,3,6.0,,5765,264714,2018,,1673,,,,,https://www.redfin.com/CA/Woodside/6-Montecito-Rd-94062/home/11893993,,,N,Y,37.3907401,-122.2427747
PAST SALE,June-1-2022,Single Family Residential,199 Mapache Dr,Portola Valley,CA,94028,14000000,5,6.5,PORTOLA VALLEY,8471,109771,2020,,1653,10,Sold,,,https://www.redfin.com/CA/Portola-Valley/199-Mapache-Dr-94028/home/1937341,MLSListings,ML81894369,N,Y,37.3900981,-122.2285614
PAST SALE,,Single Family Residential,3 Bridle Ln,Woodside,CA,94062,32204500,4,5.0,,10040,550160,2005,,3208,,,,,https://www.redfin.com/CA/Woodside/3-Bridle-Ln-94062/home/2041890,,,N,Y,37.4127207,-122.2585427
PAST SALE,May-18-2022,Single Family Residential,25 Corto Ln,Woodside,CA,94062,4206000,3,2.5,WOODSIDE,2340,13500,1956,,1797,,Sold,,,https://www.redfin.com/CA/Woodside/25-Corto-Ln-94062/home/2052537,MLSListings,ML81882700,N,Y,37.4357523,-122.2589637
PAST SALE,,Single Family Residential,152 Alta Mesa Rd,Woodside,CA,94062,2350000,3,2.0,,1200,16200,1937,,1958,,,,,https://www.redfin.com/CA/Woodside/152-Alta-Mesa-Rd-94062/home/1061470,,,N,Y,37.4405076,-122.2545989
PAST SALE,July-6-2022,Single Family Residential,45 Melanie Ln,Atherton,CA,94027,13500000,3,4.5,ATHERTON,4982,60112,1951,,2710,,Sold,,,https://www.redfin.com/CA/Atherton/45-Melanie-Ln-94027/home/1417881,MLSListings,ML81893026,N,Y,37.4380957,-122.227409
PAST SALE,June-30-2022,Single Family Residential,190 Phillip Rd,Woodside,CA,94062,5700000,4,3.5,WOODSIDE,4155,117612,1953,,1372,,Sold,,,https://www.redfin.com/CA/Woodside/190-Phillip-Rd-94062/home/1479911,MLSListings,ML81881207,N,Y,37.400205,-122.2505663
PAST SALE,December-12-2022,Single Family Residential,1502 Mitchell Way,Redwood City,CA,94061,2325000,4,4.0,REDWOOD CITY,2580,6200,1954,,901,,Sold,,,https://www.redfin.com/CA/Redwood-City/1502-Mitchell-Way-94061/home/1221926,MLSListings,ML81912675,N,Y,37.4556226,-122.2446622
PAST SALE,May-31-2022,Single Family Residential,166 Olive Hill Ln,Woodside,CA,94062,17000000,5,6.0,WOODSIDE,9040,130680,2010,,1881,,Sold,,,https://www.redfin.com/CA/Woodside/166-Olive-Hill-Ln-94062/home/1308234,MLSListings,ML81886424,N,Y,37.4384047,-122.2667845
PAST SALE,June-17-2022,Single Family Residential,280 Grandview Dr,Woodside,CA,94062,3100000,4,3.0,WOODSIDE,2775,119790,1972,,1117,,Sold,,,https://www.redfin.com/CA/Woodside/280-Grandview-Dr-94062/home/898185,MLSListings,ML81891284,N,Y,37.3846436,-122.2583655
PAST SALE,May-27-2022,Single Family Residential,1941 Alameda De Las Pulgas,Redwood City,CA,94061,1950000,3,1.0,REDWOOD CITY,1030,6625,1952,,1893,,Sold,,,https://www.redfin.com/CA/Redwood-City/1941-Alameda-de-las-Pulgas-94061/home/1980181,MLSListings,ML81888205,N,Y,37.4513981,-122.2340797
PAST SALE,April-7-2022,Single Family Residential,191 Blakewood Way,Woodside,CA,94062,2075000,3,2.0,WOODSIDE,2110,49658,1934,,983,,Sold,,,https://www.redfin.com/CA/Woodside/191-Blakewood-Way-94062/home/897912,MLSListings,ML81881869,N,Y,37.3865271,-122.2678036
PAST SALE,May-3-2022,Single Family Residential,1858 Alameda De Las Pulgas,Redwood City,CA,94061,2740000,4,2.0,REDWOOD CITY,1520,5928,1952,,1803,,Sold,,,https://www.redfin.com/CA/Redwood-City/1858-Alameda-de-las-Pulgas-94061/home/1162933,MLSListings,ML81883956,N,Y,37.4522902,-122.2354537
PAST SALE,,Single Family Residential,99 Oak Haven Way,Woodside,CA,94062,4288000,4,3.5,,4140,48352,1981,,1036,,,,,https://www.redfin.com/CA/Woodside/99-Oak-Haven-Way-94062/home/1082488,,,N,Y,37.4385041,-122.2423676
PAST SALE,June-21-2022,Single Family Residential,252 Blakewood Way,Woodside,CA,94062,1820000,3,2.0,WOODSIDE,1431,12800,1930,,1272,,Sold,,,https://www.redfin.com/CA/Woodside/252-Blakewood-Way-94062/home/1259789,MLSListings,ML81891040,N,Y,37.3878798,-122.2692657
PAST SALE,May-11-2022,Single Family Residential,485 Summit Springs Rd,Woodside,CA,94062,5250000,4,4.5,Woodside,3308,55757,1961,,1587,,Sold,,,https://www.redfin.com/CA/Woodside/485-Summit-Spring-Rd-94062/home/2044704,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40987874,N,Y,37.4239046,-122.2786142
PAST SALE,March-8-2022,Single Family Residential,155 Brookwood Rd,Woodside,CA,94062,4025000,5,3.0,Woodside,2940,45269,1953,,1369,,Sold,,,https://www.redfin.com/CA/Woodside/155-Brookwood-Rd-94062/home/1995921,San Francisco MLS,422625891,N,Y,37.4456583,-122.246046
PAST SALE,August-1-2022,Single Family Residential,180 Wildwood Way,Woodside,CA,94062,3795000,2,3.0,WOODSIDE,2950,43604,1973,,1286,16,Sold,,,https://www.redfin.com/CA/Woodside/180-Wildwood-Way-94062/home/2027530,MLSListings,ML81897368,N,Y,37.4482738,-122.2473534
PAST SALE,May-16-2022,Single Family Residential,2740 Carolina Ave,Redwood City,CA,94061,2270000,4,2.0,REDWOOD CITY,1820,8470,1951,,1247,,Sold,,,https://www.redfin.com/CA/Redwood-City/2740-Carolina-Ave-94061/home/1333980,MLSListings,ML81886728,Y,Y,37.4524076,-122.2335922
PAST SALE,August-18-2022,Single Family Residential,5 Barrett Dr,Woodside,CA,94062,4000000,5,3.5,Woodside,4540,63336,1982,,881,,Sold,,,https://www.redfin.com/CA/Woodside/5-Barrett-Dr-94062/home/1650495,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41001321,N,Y,37.4393138,-122.2440739
PAST SALE,February-28-2022,Single Family Residential,729 Southdale Way,Woodside,CA,94062,1460000,2,1.0,WOODSIDE,930,31363,1938,,1570,,Sold,,,https://www.redfin.com/CA/Woodside/729-Southdale-Way-94062/home/2051532,MLSListings,ML81876244,N,Y,37.4519958,-122.2709494
PAST SALE,October-18-2022,Single Family Residential,1666 Maryland St,Redwood City,CA,94061,1705000,3,1.0,REDWOOD CITY,1020,6050,1951,,1672,,Sold,,,https://www.redfin.com/CA/Redwood-City/1666-Maryland-St-94061/home/1517347,MLSListings,ML81906769,N,Y,37.4550057,-122.237847
PAST SALE,May-13-2022,Single Family Residential,810 Glencrag Way,Woodside,CA,94062,3780000,4,4.0,WOODSIDE,1772,18094,1935,,2133,,Sold,,,https://www.redfin.com/CA/Woodside/810-Glencrag-Way-94062/home/876369,MLSListings,ML81885287,N,Y,37.4511496,-122.2772851
PAST SALE,May-3-2022,Single Family Residential,447 Eleanor Dr,Woodside,CA,94062,5300000,4,4.0,WOODSIDE,3510,42689,1953,,1510,,Sold,,,https://www.redfin.com/CA/Woodside/447-Eleanor-Dr-94062/home/1678496,MLSListings,ML81884231,N,Y,37.4382029,-122.2314868
